i,time,ay,h
400,424159.0,0.21000004,0.0
404,424195.0,0.0899992,0.0
408,424231.0,0.15999985,0.0
412,424267.0,0.12999916,0.0
416,424303.0,0.18999958,0.0
420,424339.0,0.049999237,0.0
424,424375.0,0.059999466,0.0
428,424411.0,0.069999695,0.0
432,424447.0,0.069999695,0.0
436,424483.0,0.25,0.0
440,424519.0,0.22999954,0.0
444,424555.0,0.22999954,0.0
448,424591.0,0.35999966,0.0
452,424627.0,0.21000004,0.0
456,424663.0,0.22999954,0.0
460,424699.0,0.049999237,0.0
464,424735.0,0.009999275,0.0
468,424771.0,0.069999695,0.0
472,424807.0,0.09999943,0.0
476,424843.0,0.09999943,0.0
480,424879.0,0.17999935,0.0
484,424915.0,0.25999928,0.0
488,424951.0,0.18999958,0.0
492,424987.0,0.14999962,0.0
496,425023.0,0.27999973,0.0
500,425059.0,0.32999992,0.0
504,425095.0,0.27999973,0.0
508,425131.0,0.22999954,0.0
512,425167.0,0.12999916,0.0
516,425203.0,0.059999466,0.0
520,425239.0,0.049999237,0.0
524,425275.0,0.21999931,0.0
528,425311.0,0.12999916,0.0
532,425347.0,0.0,0.0
536,425383.0,0.09999943,0.0
540,425419.0,0.23999977,0.0
544,425455.0,0.18999958,0.0
548,425491.0,0.049999237,0.0
552,425527.0,0.059999466,0.0
556,425563.0,0.15999985,0.0
560,425599.0,0.21000004,0.0
564,425635.0,0.21999931,0.0
568,425671.0,0.21999931,0.0
572,425707.0,0.019999504,0.0
576,425743.0,0.009999275,0.0
580,425779.0,0.0899992,0.0
584,425815.0,0.07999992,0.0
588,425851.0,0.019999504,0.0
592,425887.0,0.13999939,0.0
596,425923.0,0.119999886,0.0
600,425959.0,0.049999237,0.0
604,425995.0,0.13999939,0.0
608,426031.0,0.2699995,0.0
612,426067.0,0.43999958,0.0
616,426103.0,0.28999996,0.0
620,426139.0,0.27999973,0.0
624,426175.0,0.27999973,0.0
628,426211.0,0.119999886,0.0
632,426247.0,-0.08000088,0.0
636,426283.0,-0.020000458,0.0
640,426319.0,0.12999916,0.0
644,426355.0,0.07999992,0.0
648,426391.0,0.17999935,0.0
652,426427.0,0.21999931,0.0
656,426463.0,0.13999939,0.0
660,426499.0,-0.03999996,0.0
664,426535.0,0.03999996,0.0
668,426571.0,-0.010000229,0.0
672,426607.0,-0.05000019,0.0
676,426643.0,-0.07000065,0.0
680,426679.0,-0.07000065,0.0
684,426715.0,0.029999733,0.0
688,426751.0,0.6199999,0.0
692,426787.0,0.7399998,0.0
696,426823.0,0.5799999,0.0
700,426859.0,-0.20000076,0.0
704,426895.0,-0.5300007,0.0
708,426931.0,-0.14000034,0.0
712,426967.0,0.48999977,0.0
716,427003.0,0.53999996,0.0
720,427039.0,0.29999924,0.0
724,427075.0,0.0899992,0.0
728,427111.0,0.019999504,0.0
732,427147.0,0.029999733,0.0
736,427183.0,0.14999962,0.0
740,427219.0,0.23999977,0.0
744,427255.0,0.23999977,0.0
748,427291.0,0.17999935,0.0
752,427327.0,0.119999886,0.0
756,427363.0,0.09999943,0.0
760,427399.0,0.119999886,0.0
764,427435.0,0.13999939,0.0
768,427471.0,0.07999992,0.0
772,427507.0,0.15999985,0.0
776,427543.0,0.25,0.0
780,427579.0,0.12999916,0.0
784,427615.0,0.019999504,0.0
788,427651.0,-0.03999996,0.0
792,427687.0,0.019999504,0.0
796,427723.0,-0.030000687,0.0
800,427759.0,0.069999695,0.0
804,427795.0,0.30999947,0.0
808,427831.0,0.14999962,0.0
