i,time,ay,h
400,117979.0,-0.3000002,0.0
404,118015.0,-0.14000034,0.0
408,118051.0,-0.08000088,0.0
412,118087.0,-0.1600008,0.0
416,118123.0,-0.06000042,0.0
420,118159.0,-0.06000042,0.0
424,118195.0,-0.27000046,0.0
428,118231.0,-0.1800003,0.0
432,118267.0,-0.1600008,0.0
436,118303.0,-0.14000034,0.0
440,118339.0,-0.22000027,0.0
444,118375.0,-0.1600008,0.0
448,118411.0,-0.20000076,0.0
452,118447.0,-0.09000015,0.0
456,118483.0,-0.11000061,0.0
460,118519.0,-0.19000053,0.0
464,118555.0,-0.31000042,0.0
468,118591.0,-0.3000002,0.0
472,118627.0,0.13999939,0.0
476,118663.0,0.119999886,0.0
480,118699.0,0.21999931,0.0
484,118735.0,0.119999886,0.0
488,118771.0,-0.1600008,0.0
492,118807.0,-0.32000065,0.0
496,118843.0,-0.2300005,0.0
500,118879.0,-0.3800001,0.0
504,118915.0,-0.3600006,0.0
508,118951.0,-0.2800007,0.0
512,118987.0,-0.1800003,0.0
516,119023.0,-0.08000088,0.0
520,119059.0,-0.12000084,0.0
524,119095.0,-0.19000053,0.0
528,119131.0,-0.17000008,0.0
532,119167.0,-0.14000034,0.0
536,119203.0,-0.10000038,0.0
540,119239.0,-0.13000011,0.0
544,119275.0,-0.17000008,0.0
548,119311.0,-0.25,0.0
552,119347.0,-0.26000023,0.0
556,119383.0,-0.24000072,0.0
560,119419.0,-0.1600008,0.0
564,119455.0,-0.11000061,0.0
568,119491.0,-0.12000084,0.0
572,119527.0,-0.08000088,0.0
576,119563.0,-0.07000065,0.0
580,119599.0,-0.15000057,0.0
584,119635.0,-0.20000076,0.0
588,119671.0,-0.17000008,0.0
592,119707.0,-0.12000084,0.0
596,119743.0,-0.25,0.0
600,119779.0,-0.31000042,0.0
604,119815.0,-0.31000042,0.0
608,119851.0,-0.4100008,0.0
612,119887.0,-0.5300007,0.0
616,119923.0,-0.87000084,0.0
620,119959.0,-1.25,0.0
624,119995.0,-1.71,0.0
628,120031.0,-2.8000002,0.0
632,120067.0,-3.1300006,0.0
636,120103.0,-3.1500006,0.0
640,120139.0,-3.1300006,0.0
644,120175.0,-2.9600005,0.0
648,120211.0,-2.3600006,0.0
652,120247.0,-1.9600005,0.0
656,120283.0,-1.54,0.0
660,120319.0,-0.17000008,0.0
664,120355.0,2.08,0.0
668,120391.0,4.3499994,0.0
672,120427.0,9.12,0.0
676,120463.0,9.669999,0.0
680,120499.0,13.339999,0.0
684,120535.0,13.36,0.0
688,120571.0,12.589999,0.0
692,120607.0,11.89,0.0
696,120643.0,5.089999,0.0
700,120679.0,-0.3800001,0.0
704,120715.0,-2.9600005,0.0
708,120751.0,-6.9100003,0.0
712,120787.0,-6.92,0.0
716,120823.0,-9.700001,0.0
720,120859.0,-9.75,0.0
724,120895.0,-8.21,0.0
728,120931.0,-7.6800003,0.0
732,120967.0,-8.64,0.0
736,121003.0,-8.72,0.0
740,121039.0,-8.13,0.0
744,121075.0,-9.13,0.0
748,121111.0,-8.870001,0.0
752,121147.0,-8.68,0.0
756,121183.0,-5.05,0.0
760,121219.0,-0.82000065,0.0
764,121255.0,4.83,0.0
768,121291.0,4.7199993,0.0
772,121327.0,5.16,0.0
776,121363.0,8.759999,0.0
780,121399.0,5.0699997,0.0
784,121435.0,9.649999,0.0
788,121471.0,8.56,0.0
792,121507.0,6.8100004,0.0
796,121543.0,7.8499994,0.0
800,121579.0,6.659999,0.0
804,121615.0,5.74,0.0
808,121651.0,4.1899996,0.0
812,121687.0,1.9299994,0.0
816,121723.0,1.0899992,0.0
820,121759.0,0.0,0.0
824,121795.0,-1.7200003,0.0
828,121831.0,-1.9000006,0.0
832,121867.0,-2.7500005,0.0
836,121903.0,-3.4200006,0.0
840,121939.0,-3.5600004,0.0
844,121975.0,-3.4500003,0.0
848,122011.0,-2.7200003,0.0
852,122047.0,-2.4600005,0.0
856,122083.0,-1.4900007,0.0
860,122119.0,-1.1600008,0.0
864,122155.0,-0.42000008,0.0
868,122191.0,0.049999237,0.0
872,122227.0,-0.010000229,0.0
876,122263.0,0.029999733,0.0
880,122299.0,0.07999992,0.0
884,122335.0,-0.15000057,0.0
888,122371.0,-0.12000084,0.0
892,122407.0,-0.020000458,0.0
896,122443.0,0.009999275,0.0
900,122479.0,-0.030000687,0.0
904,122515.0,0.0899992,0.0
908,122551.0,0.13999939,0.0
912,122587.0,0.009999275,0.0
916,122623.0,0.0899992,0.0
920,122659.0,0.009999275,0.0
924,122695.0,-0.030000687,0.0
928,122731.0,0.049999237,0.0
932,122767.0,-0.06000042,0.0
936,122803.0,0.019999504,0.0
940,122839.0,0.14999962,0.0
944,122875.0,0.049999237,0.0
948,122911.0,0.0899992,0.0
952,122947.0,0.119999886,0.0
956,122983.0,0.069999695,0.0
