i,time,ay,h
400,817811.0,-0.3800001,0.0
404,817847.0,-0.4800005,0.0
408,817883.0,-0.31000042,0.0
412,817919.0,-0.1600008,0.0
416,817955.0,-0.14000034,0.0
420,817991.0,-0.07000065,0.0
424,818027.0,0.019999504,0.0
428,818063.0,-0.1600008,0.0
432,818099.0,-0.47000027,0.0
436,818135.0,-0.52000046,0.0
440,818171.0,-0.32000065,0.0
444,818207.0,-0.1600008,0.0
448,818243.0,-0.010000229,0.0
452,818279.0,0.0899992,0.0
456,818315.0,-0.1800003,0.0
460,818351.0,-0.5300007,0.0
464,818387.0,-0.5300007,0.0
468,818423.0,-0.2300005,0.0
472,818459.0,0.019999504,0.0
476,818495.0,0.009999275,0.0
480,818531.0,-0.05000019,0.0
484,818567.0,-0.1800003,0.0
488,818603.0,-0.34000015,0.0
492,818639.0,-0.40000057,0.0
496,818675.0,-0.3000002,0.0
500,818711.0,-0.14000034,0.0
504,818747.0,-0.05000019,0.0
508,818783.0,-0.06000042,0.0
512,818819.0,-0.14000034,0.0
516,818855.0,-0.35000038,0.0
520,818891.0,-0.45000076,0.0
524,818927.0,-0.2300005,0.0
528,818963.0,-0.08000088,0.0
532,818999.0,-0.20000076,0.0
536,819035.0,-0.1800003,0.0
540,819071.0,-0.13000011,0.0
544,819107.0,-0.10000038,0.0
548,819143.0,-0.1800003,0.0
552,819179.0,-0.28999996,0.0
556,819215.0,-0.25,0.0
560,819251.0,-0.20000076,0.0
564,819287.0,-0.2300005,0.0
568,819323.0,-0.26000023,0.0
572,819359.0,-0.07000065,0.0
576,819395.0,-0.14000034,0.0
580,819431.0,-0.2800007,0.0
584,819467.0,-0.34000015,0.0
588,819503.0,-0.25,0.0
592,819539.0,-0.1800003,0.0
596,819575.0,-0.10000038,0.0
600,819611.0,-0.1800003,0.0
604,819647.0,-0.21000004,0.0
608,819683.0,-0.2800007,0.0
612,819719.0,-0.31000042,0.0
616,819755.0,-0.24000072,0.0
620,819791.0,-0.20000076,0.0
624,819827.0,-0.17000008,0.0
628,819863.0,-0.13000011,0.0
632,819899.0,-0.14000034,0.0
636,819935.0,-0.39000034,0.0
640,819971.0,-0.4800005,0.0
644,820007.0,-0.25,0.0
648,820043.0,-0.10000038,0.0
652,820079.0,-0.1800003,0.0
656,820115.0,-0.35000038,0.0
660,820151.0,-0.22000027,0.0
664,820187.0,-0.11000061,0.0
668,820223.0,-0.09000015,0.0
672,820259.0,-0.14000034,0.0
676,820295.0,-0.2300005,0.0
680,820331.0,-0.22000027,0.0
684,820367.0,-0.19000053,0.0
688,820403.0,-0.26000023,0.0
692,820439.0,-0.13000011,0.0
696,820475.0,-0.05000019,0.0
700,820511.0,-0.20000076,0.0
704,820547.0,-0.15000057,0.0
708,820583.0,-0.05000019,0.0
712,820619.0,-0.14000034,0.0
716,820655.0,-0.25,0.0
720,820691.0,-0.20000076,0.0
724,820727.0,-0.020000458,0.0
728,820763.0,0.019999504,0.0
732,820799.0,-0.1600008,0.0
736,820835.0,-0.28999996,0.0
740,820871.0,-0.25,0.0
744,820907.0,-0.1800003,0.0
748,820943.0,-0.1800003,0.0
752,820979.0,-0.11000061,0.0
756,821015.0,-0.020000458,0.0
760,821051.0,-0.12000084,0.0
764,821087.0,-0.25,0.0
768,821123.0,-0.24000072,0.0
772,821159.0,-0.09000015,0.0
776,821195.0,-0.020000458,0.0
780,821231.0,-0.13000011,0.0
784,821267.0,-0.1800003,0.0
788,821303.0,-0.14000034,0.0
792,821339.0,-0.09000015,0.0
796,821375.0,-0.1600008,0.0
800,821411.0,-0.15000057,0.0
804,821447.0,0.029999733,0.0
808,821483.0,0.009999275,0.0
812,821519.0,-0.21000004,0.0
816,821555.0,-0.33000088,0.0
820,821591.0,-0.6100006,0.0
824,821627.0,-0.42000008,0.0
828,821663.0,-0.05000019,0.0
832,821699.0,0.029999733,0.0
836,821735.0,0.009999275,0.0
840,821771.0,-0.05000019,0.0
844,821807.0,-0.32000065,0.0
848,821843.0,-0.3600006,0.0
852,821879.0,-0.14000034,0.0
856,821915.0,-0.33000088,0.0
860,821951.0,-0.49000072,0.0
864,821987.0,-0.37000084,0.0
868,822023.0,-0.1600008,0.0
872,822059.0,-0.15000057,0.0
876,822095.0,-0.08000088,0.0
880,822131.0,-0.19000053,0.0
884,822167.0,-0.7300005,0.0
888,822203.0,-0.49000072,0.0
892,822239.0,-0.030000687,0.0
896,822275.0,-0.06000042,0.0
900,822311.0,-0.12000084,0.0
904,822347.0,-0.14000034,0.0
908,822383.0,-0.3000002,0.0
912,822419.0,-0.32000065,0.0
916,822455.0,-0.31000042,0.0
920,822491.0,-0.2800007,0.0
924,822527.0,-0.25,0.0
928,822563.0,-0.22000027,0.0
932,822599.0,-0.4300003,0.0
936,822635.0,-0.35000038,0.0
940,822671.0,0.059999466,0.0
944,822707.0,0.5,0.0
948,822743.0,-0.020000458,0.0
952,822779.0,-1.3400002,0.0
956,822815.0,-1.4700003,0.0
960,822851.0,-0.45000076,0.0
964,822887.0,0.6499996,0.0
968,822923.0,0.8699999,0.0
972,822959.0,-0.1600008,0.0
976,822995.0,-1.3100004,0.0
980,823031.0,-1.6000004,0.0
984,823067.0,-1.5700006,0.0
988,823103.0,-1.9100003,0.0
992,823139.0,-2.0200005,0.0
996,823175.0,-1.6900005,0.0
1000,823211.0,-1.7300005,0.0
1004,823247.0,-1.3000002,0.0
1008,823283.0,-0.69000053,0.0
1012,823319.0,-0.5300007,0.0
1016,823355.0,-0.97000027,0.0
1020,823391.0,-0.8000002,0.0
1024,823427.0,0.049999237,0.0
1028,823463.0,0.23999977,0.0
1032,823499.0,-0.05000019,0.0
1036,823535.0,-0.42000008,0.0
1040,823571.0,-0.42000008,0.0
1044,823607.0,-0.2800007,0.0
1048,823643.0,-0.10000038,0.0
1052,823679.0,0.28999996,0.0
1056,823715.0,1.0199995,0.0
1060,823751.0,1.3999996,0.0
1064,823787.0,1.0299997,0.0
1068,823823.0,0.79999924,0.0
1072,823859.0,1.0999994,0.0
1076,823895.0,1.4399996,0.0
1080,823931.0,1.0,0.0
1084,823967.0,0.79999924,0.0
1088,824003.0,0.8999996,0.0
1092,824039.0,0.60999966,0.0
1096,824075.0,0.34999943,0.0
1100,824111.0,-0.09000015,0.0
1104,824147.0,0.07999992,0.0
1108,824183.0,0.029999733,0.0
1112,824219.0,-0.27000046,0.0
1116,824255.0,-0.6800003,0.0
1120,824291.0,-1.0300007,0.0
1124,824327.0,-0.9900007,0.0
1128,824363.0,-0.72000027,0.0
1132,824399.0,0.67999935,0.0
1136,824435.0,3.5899992,0.0
1140,824471.0,8.55,0.0
1144,824507.0,11.489999,0.0
1148,824543.0,10.36,0.0
1152,824579.0,9.47,0.0
1156,824615.0,10.64,0.0
1160,824651.0,8.94,0.0
1164,824687.0,7.4700003,0.0
1168,824723.0,4.879999,0.0
1172,824759.0,-2.3600006,0.0
1176,824795.0,-10.63,0.0
1180,824831.0,-14.42,0.0
1184,824867.0,-11.530001,0.0
1188,824903.0,-9.450001,0.0
1192,824939.0,-9.54,0.0
