i,time,ay,h
400,225018.0,-0.5300007,0.0
404,225054.0,-0.42000008,0.0
408,225090.0,-0.37000084,0.0
412,225126.0,-0.39000034,0.0
416,225162.0,-0.35000038,0.0
420,225198.0,-0.3000002,0.0
424,225234.0,-0.33000088,0.0
428,225270.0,-0.31000042,0.0
432,225306.0,-0.33000088,0.0
436,225342.0,-0.31000042,0.0
440,225378.0,-0.26000023,0.0
444,225414.0,-0.3800001,0.0
448,225450.0,-0.7300005,0.0
452,225486.0,-1.0700006,0.0
456,225522.0,-1.3000002,0.0
460,225558.0,-1.3900003,0.0
464,225594.0,-1.4200001,0.0
468,225630.0,-1.3400002,0.0
472,225666.0,-1.1800003,0.0
476,225702.0,-0.8000002,0.0
480,225738.0,0.3199997,0.0
484,225774.0,2.9299994,0.0
488,225810.0,6.0599995,0.0
492,225846.0,9.179999,0.0
496,225882.0,10.54,0.0
500,225918.0,12.14,0.0
504,225954.0,12.62,0.0
508,225990.0,4.75,0.0
512,226026.0,-2.0500002,0.0
516,226062.0,-8.780001,0.0
520,226098.0,-11.68,0.0
524,226134.0,-10.88,0.0
528,226170.0,-10.360001,0.0
532,226206.0,-10.14,0.0
536,226242.0,-9.400001,0.0
540,226278.0,-9.08,0.0
544,226314.0,-9.5,0.0
548,226350.0,-9.9800005,0.0
552,226386.0,-9.51,0.0
556,226422.0,-9.070001,0.0
560,226458.0,-9.160001,0.0
564,226494.0,-2.4300003,0.0
568,226530.0,14.14,0.0
572,226566.0,11.95,0.0
576,226602.0,11.929999,0.0
580,226638.0,9.099999,0.0
584,226674.0,8.94,0.0
588,226710.0,8.739999,0.0
592,226746.0,7.88,0.0
596,226782.0,5.549999,0.0
600,226818.0,3.2599993,0.0
604,226854.0,0.32999992,0.0
608,226890.0,-2.6900005,0.0
612,226926.0,-5.4900002,0.0
616,226962.0,-6.4800005,0.0
620,226998.0,-6.9700003,0.0
624,227034.0,-6.0200005,0.0
628,227070.0,-4.0700006,0.0
632,227106.0,-1.6100006,0.0
636,227142.0,0.37999916,0.0
640,227178.0,0.8499994,0.0
644,227214.0,0.4699993,0.0
648,227250.0,-0.6300001,0.0
652,227286.0,-0.95000076,0.0
656,227322.0,-0.20000076,0.0
660,227358.0,0.09999943,0.0
664,227394.0,-0.17000008,0.0
668,227430.0,-0.4300003,0.0
672,227466.0,-0.28999996,0.0
676,227502.0,-0.2300005,0.0
680,227538.0,-0.34000015,0.0
684,227574.0,-0.35000038,0.0
688,227610.0,-0.24000072,0.0
692,227646.0,-0.15000057,0.0
696,227682.0,-0.11000061,0.0
700,227718.0,-0.2800007,0.0
704,227754.0,-0.4800005,0.0
708,227790.0,-0.26000023,0.0
712,227826.0,-0.42000008,0.0
716,227862.0,-0.7600002,0.0
720,227898.0,-1.29,0.0
724,227934.0,-1.7800007,0.0
728,227970.0,-0.71000004,0.0
732,228006.0,0.46000004,0.0
736,228042.0,0.6899996,0.0
740,228078.0,0.13999939,0.0
744,228114.0,-0.17000008,0.0
748,228150.0,-0.09000015,0.0
752,228186.0,0.19999981,0.0
756,228222.0,0.32999992,0.0
760,228258.0,-0.1800003,0.0
764,228294.0,-0.8300009,0.0
768,228330.0,-0.3800001,0.0
772,228366.0,-0.31000042,0.0
776,228402.0,-0.40000057,0.0
780,228438.0,-0.07000065,0.0
784,228474.0,0.019999504,0.0
788,228510.0,-0.08000088,0.0
792,228546.0,-0.11000061,0.0
796,228582.0,0.2699995,0.0
800,228618.0,0.4699993,0.0
804,228654.0,0.5199995,0.0
808,228690.0,0.42999935,0.0
812,228726.0,0.22999954,0.0
816,228762.0,0.07999992,0.0
820,228798.0,1.7799997,0.0
824,228834.0,2.9199991,0.0
828,228870.0,1.1099997,0.0
832,228906.0,0.029999733,0.0
836,228942.0,-0.24000072,0.0
840,228978.0,-0.4100008,0.0
844,229014.0,-0.71000004,0.0
848,229050.0,-1.4300003,0.0
852,229086.0,-1.7600002,0.0
856,229122.0,-1.8300004,0.0
860,229158.0,-1.9700003,0.0
864,229194.0,-2.1600003,0.0
868,229230.0,-2.3000002,0.0
872,229266.0,-2.0700006,0.0
876,229302.0,-1.8100004,0.0
880,229338.0,-1.9000006,0.0
884,229374.0,-2.0600004,0.0
888,229410.0,-1.9000006,0.0
892,229446.0,-1.5900002,0.0
896,229482.0,-1.3800001,0.0
900,229518.0,-1.2800007,0.0
904,229554.0,-1.1100006,0.0
908,229590.0,-1.1400003,0.0
912,229626.0,-1.2600002,0.0
916,229662.0,-1.2200003,0.0
920,229698.0,-1.2000008,0.0
924,229734.0,-1.21,0.0
928,229770.0,-1.1900005,0.0
932,229806.0,-1.0800009,0.0
936,229842.0,-1.0100002,0.0
940,229878.0,-1.04,0.0
944,229914.0,-1.0900002,0.0
948,229950.0,-1.04,0.0
952,229986.0,-1.0,0.0
956,230022.0,-1.0200005,0.0
960,230058.0,-1.04,0.0
964,230094.0,-1.0200005,0.0
968,230130.0,-1.04,0.0
972,230166.0,-1.0300007,0.0
976,230202.0,-1.0200005,0.0
980,230238.0,-1.0900002,0.0
984,230274.0,-1.1300001,0.0
988,230310.0,-1.1200008,0.0
992,230346.0,-1.04,0.0
996,230382.0,-1.0500002,0.0
1000,230418.0,-1.0500002,0.0
