i,time,ay,h
400,607158.0,0.07999992,99.72
404,607183.0,0.10999966,100.57
408,607208.0,0.0899992,100.15
412,607233.0,0.0899992,87.01
416,607257.0,0.07999992,100.18
420,607282.0,0.069999695,82.98
424,607306.0,0.07999992,99.72
428,607331.0,0.07999992,78.2
432,607354.0,0.07999992,91.53
436,607378.0,0.059999466,100.57
440,607403.0,0.0899992,86.96
444,607427.0,0.09999943,99.25
448,607452.0,0.07999992,68.1
452,607475.0,0.069999695,74.41
456,607498.0,0.069999695,100.11
460,607523.0,0.0899992,71.14
464,607546.0,0.07999992,100.98
468,607571.0,0.07999992,78.35
472,607594.0,0.07999992,69.89
476,607617.0,0.07999992,100.57
480,607642.0,0.07999992,61.68
484,607664.0,0.07999992,100.52
488,607689.0,0.07999992,69.77
492,607712.0,0.09999943,61.95
496,607734.0,0.10999966,101.39
500,607759.0,0.0899992,76.57
504,607782.0,0.0899992,93.72
508,607806.0,0.0899992,78.4
512,607829.0,0.07999992,100.56
516,607854.0,0.07999992,100.56
520,607879.0,0.07999992,100.56
524,607904.0,0.09999943,100.98
528,607929.0,0.0899992,69.84
532,607952.0,0.049999237,99.76
536,607977.0,0.029999733,100.57
540,608002.0,0.069999695,99.76
544,608027.0,0.07999992,100.57
548,608052.0,0.049999237,100.56
552,608077.0,0.069999695,100.18
556,608102.0,0.069999695,64.87
560,608125.0,0.07999992,101.01
564,608150.0,0.059999466,99.77
568,608175.0,0.069999695,74.05
572,608198.0,0.0899992,73.03
576,608221.0,0.069999695,100.16
580,608246.0,0.059999466,78.73
584,608269.0,0.07999992,99.71
588,608294.0,0.07999992,100.16
592,608319.0,0.07999992,70.64
596,608342.0,0.0899992,83.35
600,608366.0,0.07999992,100.15
604,608391.0,0.0899992,78.91
608,608414.0,0.07999992,70.43
612,608437.0,0.069999695,93.98
616,608461.0,0.059999466,79.02
620,608484.0,0.029999733,100.98
624,608509.0,0.009999275,100.59
628,608534.0,0.069999695,70.69
632,608557.0,0.059999466,98.82
636,608582.0,0.07999992,83.44
640,608606.0,0.09999943,100.18
644,608631.0,0.0899992,100.13
648,608656.0,0.069999695,79.0
652,608679.0,0.069999695,70.58
656,608702.0,0.07999992,100.18
660,608727.0,0.0899992,100.59
664,608752.0,0.0899992,68.95
668,608775.0,0.0899992,100.57
672,608800.0,0.0899992,60.49
676,608822.0,0.069999695,94.13
680,608846.0,0.069999695,100.98
684,608871.0,0.07999992,100.11
688,608896.0,0.0899992,100.21
692,608921.0,0.069999695,101.44
696,608946.0,0.059999466,64.33
700,608969.0,0.049999237,101.44
704,608994.0,0.03999996,101.01
708,609019.0,0.059999466,77.55
712,609042.0,0.049999237,83.54
716,609066.0,0.059999466,57.94
720,609088.0,0.029999733,100.98
724,609113.0,0.069999695,66.79
728,609136.0,0.069999695,101.42
732,609161.0,0.059999466,64.48
736,609184.0,0.059999466,100.18
740,609209.0,0.049999237,100.57
744,609234.0,0.03999996,70.79
748,609257.0,0.069999695,100.18
752,609282.0,0.07999992,101.42
756,609307.0,0.07999992,100.16
760,609332.0,0.059999466,67.9
764,609355.0,0.069999695,100.57
768,609380.0,0.059999466,59.28
772,609402.0,0.049999237,83.27
776,609426.0,0.059999466,79.47
780,609449.0,0.07999992,100.57
784,609474.0,0.07999992,101.01
788,609499.0,0.059999466,101.01
792,609524.0,0.03999996,74.0
796,609547.0,0.019999504,101.01
800,609572.0,0.029999733,69.17
804,609595.0,0.059999466,100.57
808,609620.0,0.069999695,100.16
812,609645.0,0.13999939,59.72
816,609667.0,0.13999939,99.72
820,609692.0,0.10999966,83.3
824,609716.0,0.0899992,63.94
828,609739.0,0.049999237,71.38
832,609762.0,0.009999275,100.49
836,609787.0,-0.020000458,99.67
840,609812.0,-0.010000229,69.29
844,609835.0,0.029999733,100.45
848,609860.0,0.049999237,100.45
852,609885.0,0.03999996,100.06
856,609910.0,0.07999992,99.62
860,609935.0,0.0899992,59.28
864,609957.0,0.049999237,100.44
868,609982.0,0.019999504,94.89
872,610006.0,-0.010000229,99.62
876,610031.0,-0.03999996,100.01
880,610056.0,-0.06000042,79.93
884,610079.0,-0.030000687,71.35
888,610102.0,-0.010000229,100.4
892,610127.0,0.009999275,100.03
896,610152.0,0.049999237,99.16
900,610177.0,0.09999943,69.5
904,610200.0,0.14999962,100.4
908,610225.0,0.17999935,100.06
912,610250.0,0.21999931,100.91
916,610275.0,0.17999935,100.54
920,610300.0,0.18999958,75.36
924,610323.0,0.17999935,67.4
928,610346.0,0.15999985,80.02
932,610369.0,-0.06000042,56.25
936,610391.0,-0.2800007,100.42
940,610416.0,-0.5300007,58.97
944,610438.0,-0.7300005,74.1
948,610461.0,-0.8500004,100.27
952,610486.0,-0.6500006,59.01
956,610508.0,-0.47000027,99.16
960,610533.0,-0.77000046,67.3
964,610556.0,-1.5200005,99.52
968,610581.0,-2.3100004,80.15
972,610604.0,-2.4500003,98.0
976,610629.0,-1.6100006,97.7
980,610654.0,-0.53999996,96.59
984,610678.0,-0.3600006,82.08
988,610702.0,-0.6600008,63.34
992,610724.0,-1.1600008,86.09
996,610748.0,-1.3200006,93.87
1000,610772.0,-0.9300003,63.78
1004,610794.0,-0.20000076,92.85
1008,610818.0,0.10999966,91.51
1012,610842.0,-0.08000088,69.02
1016,610865.0,0.0,89.18
1020,610889.0,0.18999958,71.03
1024,610912.0,0.18999958,87.31
1028,610936.0,0.27999973,65.18
1032,610959.0,0.3899994,85.05
1036,610983.0,0.4699993,84.95
1040,611007.0,0.55999947,83.64
1044,611031.0,0.65999985,63.0
1048,611054.0,1.0299997,82.03
1052,611078.0,1.4699993,81.74
1056,611102.0,1.5999994,80.72
1060,611126.0,1.4899998,59.45
1064,611148.0,1.3099995,54.04
1068,611170.0,1.25,62.1
1072,611192.0,1.1799994,79.92
1076,611215.0,1.0299997,79.61
1080,611238.0,0.8199997,67.8
1084,611261.0,0.67999935,79.15
1088,611284.0,0.6899996,78.54
1092,611307.0,0.54999924,78.4
1096,611330.0,0.5,78.25
1100,611353.0,0.5,78.56
1104,611376.0,0.42999935,77.69
1108,611399.0,0.53999996,77.62
1112,611422.0,0.5,78.46
1116,611445.0,0.41999912,77.66
1120,611468.0,0.3399992,70.91
1124,611491.0,0.27999973,78.93
1128,611514.0,0.22999954,72.9
1132,611537.0,0.25999928,64.74
1136,611560.0,0.5799999,78.69
1140,611583.0,1.1199999,78.86
1144,611606.0,1.5299997,62.87
1148,611628.0,1.8299999,79.02
1152,611651.0,2.4499998,62.8
1156,611673.0,3.1899996,79.36
1160,611696.0,4.16,81.48
1164,611720.0,5.2799997,76.93
1168,611743.0,6.46,84.0
1172,611767.0,8.89,64.94
1176,611790.0,10.3,88.18
1180,611814.0,10.96,92.51
1184,611838.0,10.54,70.87
1188,611861.0,8.149999,100.21
1192,611886.0,4.7299995,59.79
1196,611908.0,1.9399996,102.03
1200,611933.0,-2.8400006,102.19
1204,611958.0,-8.39,102.0
1208,611983.0,-11.9800005,122.26
1212,612009.0,-13.75,126.8
1216,612035.0,-15.27,90.76
1220,612059.0,-14.97,126.96
1224,612085.0,-12.05,60.37
1228,612107.0,-8.67,67.25
1232,612130.0,-5.9800005,124.42
1236,612156.0,-6.42,125.32
1240,612182.0,-8.63,67.3
1244,612205.0,-10.0,119.78
1248,612231.0,-11.05,67.25
1252,612254.0,-11.740001,113.73
1256,612279.0,-11.35,107.8
1260,612304.0,-10.97,103.79
1264,612329.0,-9.92,73.85
1268,612352.0,-8.68,67.3
1272,612375.0,4.5699997,86.34
1276,612399.0,29.419998,83.49
1280,612423.0,16.07,68.34
1284,612446.0,-3.2200003,80.27
1288,612469.0,0.53999996,73.3
1292,612492.0,13.28,71.33
1296,612515.0,13.239999,75.62
1300,612538.0,9.159999,75.02
1304,612561.0,5.339999,75.79
1308,612584.0,5.12,73.42
1312,612607.0,7.079999,76.18
1316,612630.0,8.7699995,76.98
1320,612653.0,7.79,68.87
1324,612676.0,5.629999,80.56
1328,612699.0,4.129999,73.51
1332,612722.0,3.4299994,86.11
1336,612746.0,3.0299997,87.82
1340,612770.0,2.3099995,78.06
1344,612793.0,1.0799999,93.93
1348,612817.0,-0.8100004,72.0
1352,612840.0,-2.5800004,97.95
1356,612865.0,-4.1400003,101.29
1360,612890.0,-5.6700006,98.12
1364,612915.0,-6.9000006,105.42
1368,612940.0,-7.5000005,104.81
1372,612965.0,-7.4100003,104.65
1376,612990.0,-7.34,103.7
1380,613015.0,-6.9300003,79.42
1384,613038.0,-5.3300004,72.33
1388,613061.0,-2.3200006,101.64
1392,613086.0,1.9899998,67.64
1396,613109.0,3.2399998,101.39
1400,613134.0,1.8699999,94.96
1404,613158.0,-0.6700001,102.2
1408,613183.0,-1.1700001,101.34
1412,613208.0,-0.6100006,68.56
1416,613231.0,-1.0,102.15
1420,613256.0,-1.0100002,67.69
1424,613279.0,-0.39000034,100.72
1428,613304.0,0.15999985,73.88
1432,613327.0,0.069999695,103.22
1436,613352.0,-0.4100008,65.55
1440,613375.0,-0.4100008,102.43
1444,613400.0,-0.44000053,56.66
1448,613422.0,-0.44000053,103.24
1452,613447.0,-0.31000042,101.59
1456,613472.0,-0.32000065,101.93
