i,time,ay,h
400,318247.0,0.0,0.0
404,318283.0,0.37999916,0.0
408,318319.0,0.34999943,0.0
412,318355.0,-0.08000088,0.0
416,318391.0,0.3199997,0.0
420,318427.0,0.6899996,0.0
424,318463.0,0.0899992,0.0
428,318499.0,-0.4100008,0.0
432,318535.0,-0.26000023,0.0
436,318571.0,-0.19000053,0.0
440,318607.0,-0.010000229,0.0
444,318643.0,0.3399992,0.0
448,318679.0,0.35999966,0.0
452,318715.0,-0.21000004,0.0
456,318751.0,-0.12000084,0.0
460,318787.0,0.049999237,0.0
464,318823.0,0.29999924,0.0
468,318859.0,0.22999954,0.0
472,318895.0,0.30999947,0.0
476,318931.0,0.10999966,0.0
480,318967.0,0.069999695,0.0
484,319003.0,0.15999985,0.0
488,319039.0,0.16999912,0.0
492,319075.0,0.10999966,0.0
496,319111.0,0.019999504,0.0
500,319147.0,0.069999695,0.0
504,319183.0,0.09999943,0.0
508,319219.0,-0.15000057,0.0
512,319255.0,-0.1800003,0.0
516,319291.0,0.019999504,0.0
520,319327.0,-0.020000458,0.0
524,319363.0,0.03999996,0.0
528,319399.0,0.10999966,0.0
532,319435.0,0.15999985,0.0
536,319471.0,0.0899992,0.0
540,319507.0,0.21999931,0.0
544,319543.0,0.15999985,0.0
548,319579.0,0.059999466,0.0
552,319615.0,0.0899992,0.0
556,319651.0,-0.03999996,0.0
560,319687.0,-0.030000687,0.0
564,319723.0,-0.05000019,0.0
568,319759.0,-0.09000015,0.0
572,319795.0,0.22999954,0.0
576,319831.0,0.23999977,0.0
580,319867.0,-0.08000088,0.0
584,319903.0,-0.03999996,0.0
588,319939.0,0.09999943,0.0
592,319975.0,0.049999237,0.0
596,320011.0,0.16999912,0.0
600,320047.0,0.30999947,0.0
604,320083.0,0.10999966,0.0
608,320119.0,-0.03999996,0.0
612,320155.0,-0.20000076,0.0
616,320191.0,-0.14000034,0.0
620,320227.0,-0.13000011,0.0
624,320263.0,0.049999237,0.0
628,320299.0,-0.40000057,0.0
632,320335.0,-1.1500006,0.0
636,320371.0,-1.5200005,0.0
640,320407.0,-1.3800001,0.0
644,320443.0,-1.21,0.0
