i,time,ay,h
400,1180712.0,0.059999466,0.0
404,1180748.0,0.2699995,0.0
408,1180784.0,0.25999928,0.0
412,1180820.0,0.39999962,0.0
416,1180856.0,0.15999985,0.0
420,1180892.0,0.069999695,0.0
424,1180928.0,0.059999466,0.0
428,1180964.0,0.03999996,0.0
432,1181000.0,0.21000004,0.0
436,1181036.0,0.18999958,0.0
440,1181072.0,0.12999916,0.0
444,1181108.0,0.09999943,0.0
448,1181144.0,0.0899992,0.0
452,1181180.0,0.12999916,0.0
456,1181216.0,0.13999939,0.0
460,1181252.0,0.059999466,0.0
464,1181288.0,0.069999695,0.0
468,1181324.0,0.0899992,0.0
472,1181360.0,0.069999695,0.0
476,1181396.0,0.009999275,0.0
480,1181432.0,0.049999237,0.0
484,1181468.0,0.13999939,0.0
488,1181504.0,0.059999466,0.0
492,1181540.0,0.059999466,0.0
496,1181576.0,0.14999962,0.0
500,1181612.0,0.10999966,0.0
504,1181648.0,0.059999466,0.0
508,1181684.0,0.049999237,0.0
512,1181720.0,0.09999943,0.0
516,1181756.0,-0.12000084,0.0
520,1181792.0,-0.45000076,0.0
524,1181828.0,-0.71000004,0.0
528,1181864.0,-1.0500002,0.0
532,1181900.0,-1.3800001,0.0
536,1181936.0,-1.3000002,0.0
540,1181972.0,-0.8500004,0.0
544,1182008.0,-0.21000004,0.0
548,1182044.0,-0.15000057,0.0
552,1182080.0,-0.17000008,0.0
556,1182116.0,-0.2800007,0.0
560,1182152.0,0.009999275,0.0
564,1182188.0,0.10999966,0.0
568,1182224.0,-0.03999996,0.0
572,1182260.0,0.21999931,0.0
576,1182296.0,0.2699995,0.0
580,1182332.0,0.46000004,0.0
584,1182368.0,0.48999977,0.0
588,1182404.0,0.40999985,0.0
592,1182440.0,0.5999994,0.0
596,1182476.0,0.7199993,0.0
600,1182512.0,0.5999994,0.0
604,1182548.0,0.7399998,0.0
608,1182584.0,0.6399994,0.0
612,1182620.0,0.48999977,0.0
616,1182656.0,0.5,0.0
620,1182692.0,0.5,0.0
624,1182728.0,0.43999958,0.0
628,1182764.0,0.3199997,0.0
632,1182800.0,0.19999981,0.0
636,1182836.0,0.09999943,0.0
640,1182872.0,-0.03999996,0.0
644,1182908.0,0.009999275,0.0
648,1182944.0,0.069999695,0.0
652,1182980.0,-0.19000053,0.0
656,1183016.0,-0.24000072,0.0
660,1183052.0,-0.07000065,0.0
664,1183088.0,-0.08000088,0.0
668,1183124.0,-0.09000015,0.0
672,1183160.0,0.019999504,0.0
676,1183196.0,0.18999958,0.0
680,1183232.0,0.17999935,0.0
684,1183268.0,-0.030000687,0.0
688,1183304.0,-0.030000687,0.0
692,1183340.0,0.019999504,0.0
696,1183376.0,-0.030000687,0.0
700,1183412.0,-0.03999996,0.0
704,1183448.0,-0.14000034,0.0
708,1183484.0,-0.31000042,0.0
712,1183520.0,-0.46000004,0.0
716,1183556.0,-0.78999996,0.0
720,1183592.0,-1.2700005,0.0
724,1183628.0,-0.8800001,0.0
728,1183664.0,2.08,0.0
732,1183700.0,7.329999,0.0
736,1183736.0,11.11,0.0
740,1183772.0,17.009998,0.0
744,1183808.0,16.98,0.0
748,1183844.0,8.179999,0.0
752,1183880.0,-0.42000008,0.0
756,1183916.0,-7.8900003,0.0
760,1183952.0,-13.740001,0.0
764,1183988.0,-11.92,0.0
768,1184024.0,-9.110001,0.0
772,1184060.0,-9.440001,0.0
776,1184096.0,-10.870001,0.0
780,1184132.0,-10.8,0.0
784,1184168.0,-9.81,0.0
788,1184204.0,-9.190001,0.0
792,1184240.0,-8.3,0.0
796,1184276.0,-6.9000006,0.0
800,1184312.0,-3.9500003,0.0
804,1184348.0,5.04,0.0
808,1184384.0,12.47,0.0
812,1184420.0,18.05,0.0
816,1184456.0,18.07,0.0
820,1184492.0,12.12,0.0
824,1184528.0,6.909999,0.0
828,1184550.0,4.1099997,0.0
832,1184586.0,0.049999237,0.0
836,1184622.0,-2.3100004,0.0
840,1184658.0,-4.2000003,0.0
844,1184694.0,-4.8600006,0.0
848,1184730.0,-4.3100004,0.0
852,1184766.0,-3.2600002,0.0
856,1184802.0,-2.0900006,0.0
860,1184838.0,-0.64000034,0.0
864,1184874.0,0.03999996,0.0
868,1184910.0,0.27999973,0.0
872,1184946.0,0.3699999,0.0
876,1184982.0,0.4499998,0.0
880,1185018.0,0.41999912,0.0
884,1185054.0,0.42999935,0.0
888,1185090.0,0.19999981,0.0
892,1185126.0,0.0,0.0
896,1185162.0,-0.03999996,0.0
900,1185198.0,-0.06000042,0.0
904,1185234.0,0.009999275,0.0
908,1185270.0,0.07999992,0.0
912,1185306.0,0.09999943,0.0
916,1185342.0,0.16999912,0.0
920,1185378.0,0.10999966,0.0
924,1185414.0,0.10999966,0.0
928,1185450.0,0.119999886,0.0
932,1185486.0,0.049999237,0.0
936,1185522.0,0.019999504,0.0
940,1185558.0,0.029999733,0.0
944,1185594.0,0.10999966,0.0
948,1185630.0,0.09999943,0.0
952,1185666.0,0.119999886,0.0
956,1185702.0,0.12999916,0.0
960,1185738.0,0.069999695,0.0
964,1185774.0,0.069999695,0.0
968,1185810.0,0.069999695,0.0
972,1185846.0,0.049999237,0.0
976,1185882.0,0.0899992,0.0
980,1185918.0,0.15999985,0.0
984,1185954.0,0.10999966,0.0
988,1185990.0,0.049999237,0.0
992,1186026.0,0.029999733,0.0
996,1186062.0,0.059999466,0.0
1000,1186098.0,0.09999943,0.0
1004,1186134.0,0.029999733,0.0
1008,1186170.0,-0.020000458,0.0
