i,time,ay,h
400,1059365.0,-0.53999996,0.0
404,1059401.0,0.6399994,0.0
408,1059437.0,1.54,0.0
412,1059473.0,0.62999916,0.0
416,1059509.0,-0.87000084,0.0
420,1059545.0,-1.3100004,0.0
424,1059581.0,-0.4300003,0.0
428,1059617.0,0.009999275,0.0
432,1059653.0,0.009999275,0.0
436,1059689.0,-0.09000015,0.0
440,1059725.0,-0.5100002,0.0
444,1059761.0,-0.59000015,0.0
448,1059797.0,-0.03999996,0.0
452,1059833.0,0.54999924,0.0
456,1059869.0,0.22999954,0.0
460,1059905.0,-0.2300005,0.0
464,1059941.0,-0.44000053,0.0
468,1059977.0,-0.8100004,0.0
472,1060013.0,-1.0100002,0.0
476,1060049.0,-0.82000065,0.0
480,1060085.0,0.16999912,0.0
484,1060121.0,0.6699991,0.0
488,1060157.0,1.2299995,0.0
492,1060193.0,1.1399994,0.0
496,1060229.0,0.28999996,0.0
500,1060265.0,-0.5300007,0.0
504,1060301.0,-0.010000229,0.0
508,1060337.0,0.22999954,0.0
512,1060373.0,0.009999275,0.0
516,1060409.0,-0.49000072,0.0
520,1060445.0,-0.14000034,0.0
524,1060481.0,0.3399992,0.0
528,1060517.0,0.29999924,0.0
532,1060553.0,-0.27000046,0.0
536,1060589.0,-0.27000046,0.0
540,1060625.0,-0.030000687,0.0
544,1060661.0,0.2699995,0.0
548,1060697.0,0.39999962,0.0
552,1060733.0,0.54999924,0.0
556,1060769.0,0.28999996,0.0
560,1060805.0,-0.03999996,0.0
564,1060841.0,-0.06000042,0.0
568,1060877.0,0.009999275,0.0
572,1060913.0,0.21999931,0.0
576,1060949.0,0.22999954,0.0
580,1060985.0,-0.11000061,0.0
584,1061021.0,-0.24000072,0.0
588,1061057.0,-0.20000076,0.0
592,1061093.0,0.10999966,0.0
596,1061129.0,0.43999958,0.0
600,1061165.0,0.4699993,0.0
604,1061201.0,0.03999996,0.0
608,1061237.0,-0.3000002,0.0
612,1061273.0,-0.22000027,0.0
616,1061309.0,0.17999935,0.0
620,1061345.0,0.25999928,0.0
624,1061381.0,0.019999504,0.0
628,1061417.0,0.029999733,0.0
632,1061453.0,0.09999943,0.0
636,1061489.0,0.15999985,0.0
640,1061525.0,0.029999733,0.0
644,1061561.0,-0.21000004,0.0
648,1061597.0,0.07999992,0.0
652,1061633.0,0.019999504,0.0
656,1061669.0,-0.28999996,0.0
660,1061705.0,-0.39000034,0.0
664,1061741.0,-0.030000687,0.0
668,1061777.0,0.35999966,0.0
672,1061813.0,0.42999935,0.0
676,1061849.0,0.27999973,0.0
680,1061885.0,0.19999981,0.0
684,1061921.0,-0.010000229,0.0
688,1061957.0,0.059999466,0.0
692,1061993.0,0.09999943,0.0
696,1062029.0,0.34999943,0.0
700,1062065.0,0.009999275,0.0
704,1062101.0,-0.3800001,0.0
708,1062137.0,-0.35000038,0.0
712,1062173.0,-0.4100008,0.0
716,1062209.0,-0.5500002,0.0
720,1062245.0,-0.59000015,0.0
724,1062281.0,-0.3800001,0.0
728,1062317.0,-0.2300005,0.0
732,1062353.0,-0.4100008,0.0
736,1062389.0,-0.84000015,0.0
740,1062425.0,-1.1300001,0.0
744,1062461.0,-0.96000004,0.0
748,1062497.0,-0.20000076,0.0
752,1062533.0,0.14999962,0.0
756,1062569.0,0.3399992,0.0
760,1062605.0,-0.05000019,0.0
764,1062641.0,0.13999939,0.0
768,1062677.0,0.15999985,0.0
772,1062713.0,-0.1600008,0.0
776,1062749.0,-0.25,0.0
780,1062785.0,-0.2300005,0.0
784,1062821.0,-0.37000084,0.0
788,1062857.0,-0.40000057,0.0
792,1062893.0,-0.4800005,0.0
796,1062929.0,-0.59000015,0.0
800,1062965.0,-0.52000046,0.0
804,1063001.0,-0.5600004,0.0
808,1063037.0,-0.27000046,0.0
812,1063073.0,0.15999985,0.0
816,1063109.0,0.7699995,0.0
820,1063145.0,0.90999985,0.0
824,1063181.0,0.79999924,0.0
828,1063217.0,0.7599993,0.0
832,1063253.0,0.60999966,0.0
836,1063289.0,0.23999977,0.0
840,1063325.0,-0.47000027,0.0
844,1063361.0,-0.5,0.0
848,1063397.0,-0.3000002,0.0
852,1063433.0,-0.1800003,0.0
856,1063469.0,-0.15000057,0.0
860,1063505.0,-0.13000011,0.0
864,1063541.0,-0.05000019,0.0
868,1063577.0,-0.21000004,0.0
872,1063613.0,-0.45000076,0.0
876,1063649.0,-0.25,0.0
880,1063685.0,-0.13000011,0.0
884,1063721.0,-0.19000053,0.0
888,1063757.0,-0.34000015,0.0
892,1063793.0,-0.5,0.0
896,1063829.0,-0.6000004,0.0
900,1063865.0,-0.5300007,0.0
904,1063901.0,0.069999695,0.0
908,1063937.0,-0.08000088,0.0
912,1063973.0,-0.37000084,0.0
916,1064009.0,-0.17000008,0.0
920,1064045.0,0.17999935,0.0
924,1064081.0,0.30999947,0.0
928,1064117.0,-0.22000027,0.0
932,1064153.0,-0.1600008,0.0
936,1064189.0,0.16999912,0.0
940,1064225.0,0.47999954,0.0
944,1064261.0,0.5199995,0.0
948,1064297.0,0.3199997,0.0
952,1064333.0,-0.10000038,0.0
956,1064369.0,-0.6100006,0.0
960,1064405.0,-0.7800007,0.0
964,1064441.0,-0.82000065,0.0
968,1064477.0,-0.35000038,0.0
972,1064513.0,0.17999935,0.0
976,1064549.0,0.47999954,0.0
980,1064585.0,1.9499998,0.0
984,1064621.0,3.8999996,0.0
988,1064657.0,6.0,0.0
992,1064693.0,7.919999,0.0
996,1064729.0,10.7300005,0.0
1000,1064765.0,14.4800005,0.0
1004,1064801.0,14.909999,0.0
1008,1064837.0,12.159999,0.0
1012,1064873.0,8.659999,0.0
1016,1064909.0,3.5699997,0.0
1020,1064945.0,-0.6100006,0.0
1024,1064981.0,-15.97,0.0
1028,1065017.0,-23.720001,0.0
1032,1065053.0,-14.380001,0.0
1036,1065089.0,-6.8900003,0.0
1040,1065125.0,-14.150001,0.0
1044,1065161.0,-11.25,0.0
1048,1065197.0,-9.72,0.0
1052,1065233.0,-9.620001,0.0
1056,1065269.0,-9.690001,0.0
1060,1065305.0,-9.63,0.0
1064,1065341.0,-9.93,0.0
1068,1065377.0,-10.42,0.0
1072,1065413.0,-10.77,0.0
1076,1065449.0,-8.8,0.0
1080,1065485.0,-3.4900002,0.0
1084,1065521.0,22.359997,0.0
1088,1065557.0,25.07,0.0
1092,1065588.0,19.060001,0.0
1096,1065624.0,15.569999,0.0
1100,1065660.0,9.989999,0.0
1104,1065696.0,4.799999,0.0
1108,1065732.0,0.21999931,0.0
1112,1065768.0,-4.4100003,0.0
1116,1065804.0,-8.76,0.0
1120,1065840.0,-9.660001,0.0
1124,1065876.0,-7.700001,0.0
1128,1065912.0,-3.7000003,0.0
1132,1065948.0,-0.44000053,0.0
1136,1065984.0,4.8899994,0.0
1140,1066020.0,5.5099993,0.0
1144,1066056.0,1.3499994,0.0
1148,1066092.0,-2.5800004,0.0
1152,1066128.0,-2.5900006,0.0
1156,1066164.0,-1.1300001,0.0
1160,1066200.0,1.2599993,0.0
1164,1066236.0,2.0299997,0.0
1168,1066272.0,1.4699993,0.0
1172,1066308.0,0.069999695,0.0
1176,1066344.0,-0.5800009,0.0
1180,1066380.0,-0.27000046,0.0
1184,1066416.0,0.18999958,0.0
1188,1066452.0,0.119999886,0.0
1192,1066488.0,-0.010000229,0.0
1196,1066524.0,-0.21000004,0.0
