i,time,ay,h
400,949787.0,0.14999962,0.0
404,949823.0,0.21000004,0.0
408,949859.0,0.40999985,0.0
412,949895.0,0.13999939,0.0
416,949931.0,0.15999985,0.0
420,949967.0,0.07999992,0.0
424,950003.0,0.119999886,0.0
428,950039.0,0.119999886,0.0
432,950075.0,0.13999939,0.0
436,950111.0,0.25999928,0.0
440,950147.0,0.3699999,0.0
444,950183.0,0.30999947,0.0
448,950219.0,0.03999996,0.0
452,950255.0,-0.3600006,0.0
456,950291.0,-0.5800009,0.0
460,950327.0,-0.40000057,0.0
464,950363.0,-0.10000038,0.0
468,950399.0,0.21999931,0.0
472,950435.0,0.35999966,0.0
476,950471.0,0.19999981,0.0
480,950507.0,0.3199997,0.0
484,950543.0,0.119999886,0.0
488,950579.0,-0.27000046,0.0
492,950615.0,-0.8500004,0.0
496,950651.0,-1.4000006,0.0
500,950687.0,-1.9100003,0.0
504,950723.0,-2.2400002,0.0
508,950759.0,-2.3700004,0.0
512,950795.0,-2.3200006,0.0
516,950831.0,-2.4900002,0.0
520,950867.0,-1.6000004,0.0
524,950903.0,-0.62000084,0.0
528,950939.0,-0.030000687,0.0
532,950975.0,0.47999954,0.0
536,951011.0,0.6399994,0.0
540,951047.0,0.9199991,0.0
544,951083.0,0.9399996,0.0
548,951119.0,1.0499992,0.0
552,951155.0,1.3199997,0.0
556,951191.0,1.79,0.0
560,951227.0,2.08,0.0
564,951263.0,2.12,0.0
568,951299.0,1.6299992,0.0
572,951335.0,1.25,0.0
576,951371.0,1.1799994,0.0
580,951407.0,0.9399996,0.0
584,951443.0,0.37999916,0.0
588,951479.0,0.14999962,0.0
592,951515.0,0.21999931,0.0
596,951551.0,0.25999928,0.0
600,951587.0,0.13999939,0.0
604,951623.0,0.17999935,0.0
608,951659.0,0.3699999,0.0
612,951695.0,0.43999958,0.0
616,951731.0,0.53999996,0.0
620,951767.0,0.29999924,0.0
624,951803.0,0.21000004,0.0
628,951839.0,0.16999912,0.0
632,951875.0,0.16999912,0.0
636,951911.0,-0.07000065,0.0
640,951947.0,0.09999943,0.0
644,951983.0,0.18999958,0.0
648,952019.0,0.13999939,0.0
652,952055.0,0.23999977,0.0
656,952091.0,0.21000004,0.0
660,952127.0,-0.06000042,0.0
664,952163.0,-0.010000229,0.0
668,952199.0,-0.12000084,0.0
672,952235.0,-0.010000229,0.0
676,952271.0,-0.020000458,0.0
680,952307.0,-0.030000687,0.0
684,952343.0,0.069999695,0.0
688,952379.0,0.16999912,0.0
692,952415.0,0.16999912,0.0
696,952451.0,0.0899992,0.0
700,952487.0,0.12999916,0.0
704,952523.0,0.12999916,0.0
708,952559.0,0.059999466,0.0
712,952595.0,0.22999954,0.0
716,952631.0,0.27999973,0.0
720,952667.0,0.2699995,0.0
724,952703.0,0.21000004,0.0
728,952739.0,0.16999912,0.0
732,952775.0,0.22999954,0.0
736,952811.0,0.28999996,0.0
740,952847.0,0.3199997,0.0
744,952883.0,0.25999928,0.0
748,952919.0,0.21000004,0.0
752,952955.0,0.069999695,0.0
756,952991.0,-0.030000687,0.0
760,953027.0,-0.07000065,0.0
764,953063.0,-0.2800007,0.0
768,953099.0,-0.45000076,0.0
772,953135.0,-0.8800001,0.0
776,953171.0,-1.1700001,0.0
780,953207.0,-1.0900002,0.0
784,953243.0,-1.04,0.0
788,953279.0,-0.28999996,0.0
792,953315.0,2.9899998,0.0
796,953351.0,6.88,0.0
800,953387.0,11.319999,0.0
804,953423.0,17.899998,0.0
808,953459.0,22.629997,0.0
812,953495.0,18.59,0.0
816,953531.0,7.79,0.0
820,953567.0,-2.7200003,0.0
824,953603.0,-9.89,0.0
828,953639.0,-11.76,0.0
832,953675.0,-9.440001,0.0
836,953711.0,-12.210001,0.0
840,953747.0,-12.93,0.0
844,953783.0,-10.280001,0.0
848,953819.0,-8.200001,0.0
852,953855.0,-8.42,0.0
856,953891.0,-9.52,0.0
860,953927.0,-9.820001,0.0
864,953963.0,-10.02,0.0
868,953999.0,-9.330001,0.0
872,954035.0,-8.38,0.0
876,954071.0,-7.450001,0.0
880,954107.0,1.5799999,0.0
884,954143.0,20.5,0.0
888,954179.0,20.369999,0.0
892,954215.0,13.31,0.0
896,954251.0,11.14,0.0
900,954287.0,4.16,0.0
904,954323.0,-0.17000008,0.0
908,954359.0,-1.9200006,0.0
912,954395.0,-2.8400006,0.0
916,954431.0,-2.4300003,0.0
920,954467.0,-2.1100006,0.0
924,954503.0,-1.6100006,0.0
928,954539.0,-0.72000027,0.0
932,954575.0,-0.39000034,0.0
936,954611.0,-0.1800003,0.0
940,954647.0,-0.05000019,0.0
944,954683.0,0.019999504,0.0
948,954719.0,0.09999943,0.0
952,954755.0,-0.10000038,0.0
956,954791.0,-0.05000019,0.0
960,954827.0,0.17999935,0.0
964,954863.0,0.28999996,0.0
968,954899.0,0.27999973,0.0
972,954935.0,0.3899994,0.0
976,954971.0,0.19999981,0.0
980,955007.0,0.029999733,0.0
984,955043.0,-0.010000229,0.0
988,955079.0,0.10999966,0.0
992,955115.0,0.22999954,0.0
996,955151.0,0.049999237,0.0
1000,955187.0,0.069999695,0.0
1004,955223.0,0.03999996,0.0
1008,955259.0,-0.030000687,0.0
1012,955295.0,0.069999695,0.0
1016,955331.0,0.069999695,0.0
1020,955367.0,0.14999962,0.0
1024,955403.0,0.12999916,0.0
1028,955439.0,0.10999966,0.0
1032,955475.0,0.10999966,0.0
1036,955511.0,0.059999466,0.0
1040,955547.0,-0.10000038,0.0
