i,time,ay,h
400,610711.0,0.0899992,0.0
404,610747.0,0.029999733,0.0
408,610783.0,-0.020000458,0.0
412,610819.0,0.029999733,0.0
416,610855.0,0.049999237,0.0
420,610891.0,0.03999996,0.0
424,610927.0,0.119999886,0.0
428,610963.0,0.19999981,0.0
432,610999.0,0.17999935,0.0
436,611035.0,0.48999977,0.0
440,611071.0,0.67999935,0.0
444,611107.0,0.6699991,0.0
448,611143.0,0.54999924,0.0
452,611179.0,0.30999947,0.0
456,611215.0,0.10999966,0.0
460,611251.0,0.019999504,0.0
464,611287.0,-0.020000458,0.0
468,611323.0,0.03999996,0.0
472,611359.0,0.069999695,0.0
476,611395.0,0.07999992,0.0
480,611431.0,0.119999886,0.0
484,611467.0,0.069999695,0.0
488,611503.0,0.0899992,0.0
492,611539.0,0.10999966,0.0
496,611575.0,0.059999466,0.0
500,611611.0,0.0899992,0.0
504,611647.0,0.09999943,0.0
508,611683.0,0.0899992,0.0
512,611719.0,0.17999935,0.0
516,611755.0,0.25999928,0.0
520,611791.0,0.3199997,0.0
524,611827.0,0.2699995,0.0
528,611863.0,0.21000004,0.0
532,611899.0,0.09999943,0.0
536,611935.0,-0.03999996,0.0
540,611971.0,-0.08000088,0.0
544,612007.0,-0.03999996,0.0
548,612043.0,-0.08000088,0.0
552,612079.0,0.069999695,0.0
556,612115.0,0.19999981,0.0
560,612151.0,0.29999924,0.0
564,612187.0,0.25999928,0.0
568,612223.0,0.03999996,0.0
572,612259.0,-0.28999996,0.0
576,612295.0,-0.7600002,0.0
580,612331.0,-0.9200001,0.0
584,612367.0,-0.75,0.0
588,612403.0,-0.8100004,0.0
592,612439.0,-0.82000065,0.0
596,612475.0,-1.1200008,0.0
600,612511.0,-0.87000084,0.0
604,612547.0,-0.7600002,0.0
608,612583.0,-0.57000065,0.0
612,612619.0,-0.37000084,0.0
616,612655.0,-0.22000027,0.0
620,612691.0,-0.19000053,0.0
624,612727.0,-0.21000004,0.0
628,612763.0,-0.1600008,0.0
632,612799.0,-0.26000023,0.0
636,612835.0,-0.2800007,0.0
640,612871.0,-0.1800003,0.0
644,612907.0,-0.32000065,0.0
648,612943.0,-0.33000088,0.0
652,612979.0,-0.12000084,0.0
656,613015.0,-0.17000008,0.0
660,613051.0,0.19999981,0.0
664,613087.0,0.29999924,0.0
668,613123.0,0.40999985,0.0
672,613159.0,0.62999916,0.0
676,613195.0,0.6199999,0.0
680,613231.0,0.79999924,0.0
684,613267.0,0.87999916,0.0
688,613303.0,0.62999916,0.0
692,613339.0,0.43999958,0.0
696,613375.0,0.43999958,0.0
700,613411.0,0.65999985,0.0
704,613447.0,1.1099997,0.0
708,613483.0,1.2399998,0.0
712,613519.0,1.0,0.0
716,613555.0,0.72999954,0.0
720,613591.0,0.53999996,0.0
724,613627.0,0.47999954,0.0
728,613663.0,0.29999924,0.0
732,613699.0,0.3699999,0.0
736,613735.0,0.25999928,0.0
740,613771.0,0.14999962,0.0
744,613807.0,0.41999912,0.0
748,613843.0,0.42999935,0.0
752,613879.0,1.1499996,0.0
756,613915.0,2.7999992,0.0
760,613951.0,7.0999994,0.0
764,613987.0,11.009999,0.0
768,614023.0,14.78,0.0
772,614059.0,14.909999,0.0
776,614095.0,13.079999,0.0
780,614131.0,9.509999,0.0
784,614167.0,5.75,0.0
788,614203.0,4.2299995,0.0
792,614239.0,1.5199995,0.0
796,614275.0,-2.5700006,0.0
800,614311.0,-6.9900007,0.0
804,614347.0,-9.330001,0.0
808,614383.0,-8.31,0.0
812,614419.0,-10.67,0.0
816,614455.0,-10.610001,0.0
820,614491.0,-10.72,0.0
824,614527.0,-10.740001,0.0
828,614563.0,-10.280001,0.0
832,614599.0,-9.580001,0.0
836,614635.0,-10.18,0.0
840,614671.0,-10.51,0.0
844,614707.0,-10.58,0.0
848,614743.0,-10.29,0.0
852,614779.0,-6.8600006,0.0
856,614815.0,0.25,0.0
860,614851.0,8.2699995,0.0
864,614887.0,14.71,0.0
868,614923.0,15.21,0.0
872,614959.0,11.649999,0.0
876,614995.0,6.8900003,0.0
880,615031.0,3.5599995,0.0
884,615067.0,1.8899994,0.0
888,615103.0,1.3599997,0.0
892,615139.0,1.21,0.0
896,615175.0,0.32999992,0.0
900,615211.0,-0.34000015,0.0
904,615247.0,-0.7300005,0.0
908,615283.0,-0.8100004,0.0
912,615319.0,-0.45000076,0.0
916,615355.0,-0.39000034,0.0
920,615391.0,-0.53999996,0.0
924,615427.0,-0.52000046,0.0
928,615463.0,-0.46000004,0.0
932,615499.0,-0.35000038,0.0
936,615535.0,-0.25,0.0
940,615571.0,-0.09000015,0.0
944,615607.0,-0.030000687,0.0
948,615643.0,-0.06000042,0.0
952,615679.0,-0.08000088,0.0
956,615715.0,-0.09000015,0.0
960,615751.0,0.03999996,0.0
964,615787.0,0.25999928,0.0
968,615823.0,0.22999954,0.0
972,615859.0,0.23999977,0.0
976,615895.0,0.21000004,0.0
980,615931.0,0.119999886,0.0
984,615967.0,0.059999466,0.0
988,616003.0,0.03999996,0.0
992,616039.0,0.07999992,0.0
996,616075.0,0.0899992,0.0
1000,616111.0,0.10999966,0.0
1004,616147.0,0.119999886,0.0
1008,616183.0,0.17999935,0.0
1012,616219.0,0.21999931,0.0
1016,616255.0,0.14999962,0.0
1020,616291.0,0.10999966,0.0
