i,time,ay,h
400,716407.0,-0.2800007,0.0
404,716443.0,-0.09000015,0.0
408,716479.0,-0.19000053,0.0
412,716515.0,-0.22000027,0.0
416,716551.0,-0.19000053,0.0
420,716587.0,-0.2300005,0.0
424,716623.0,-0.12000084,0.0
428,716659.0,-0.10000038,0.0
432,716695.0,-0.1600008,0.0
436,716731.0,-0.15000057,0.0
440,716767.0,-0.11000061,0.0
444,716803.0,-0.19000053,0.0
448,716839.0,-0.21000004,0.0
452,716875.0,-0.24000072,0.0
456,716911.0,-0.21000004,0.0
460,716947.0,-0.17000008,0.0
464,716983.0,-0.21000004,0.0
468,717019.0,-0.26000023,0.0
472,717055.0,-0.20000076,0.0
476,717091.0,-0.2300005,0.0
480,717127.0,-0.3000002,0.0
484,717163.0,-0.28999996,0.0
488,717199.0,-0.2300005,0.0
492,717235.0,-0.26000023,0.0
496,717271.0,-0.27000046,0.0
500,717307.0,-0.27000046,0.0
504,717343.0,-0.3000002,0.0
508,717379.0,-0.25,0.0
512,717415.0,-0.2300005,0.0
516,717451.0,-0.2300005,0.0
520,717487.0,-0.24000072,0.0
524,717523.0,-0.20000076,0.0
528,717559.0,-0.22000027,0.0
532,717595.0,-0.28999996,0.0
536,717631.0,-0.33000088,0.0
540,717667.0,-0.31000042,0.0
544,717703.0,-0.27000046,0.0
548,717739.0,-0.1800003,0.0
552,717775.0,-0.22000027,0.0
556,717811.0,-0.2800007,0.0
560,717847.0,-0.27000046,0.0
564,717883.0,-0.32000065,0.0
568,717919.0,-0.34000015,0.0
572,717955.0,-0.31000042,0.0
576,717991.0,-0.26000023,0.0
580,718027.0,-0.22000027,0.0
584,718063.0,-0.24000072,0.0
588,718099.0,-0.2300005,0.0
592,718135.0,-0.1800003,0.0
596,718171.0,-0.19000053,0.0
600,718207.0,-0.22000027,0.0
604,718243.0,-0.33000088,0.0
608,718279.0,-0.33000088,0.0
612,718315.0,-0.28999996,0.0
616,718351.0,-0.3600006,0.0
620,718387.0,-0.4100008,0.0
624,718423.0,-0.24000072,0.0
628,718459.0,-0.12000084,0.0
632,718495.0,-0.24000072,0.0
636,718531.0,-0.37000084,0.0
640,718567.0,-0.1800003,0.0
644,718603.0,0.019999504,0.0
648,718639.0,-0.010000229,0.0
652,718675.0,-0.10000038,0.0
656,718711.0,-0.20000076,0.0
660,718747.0,-0.4800005,0.0
664,718783.0,-1.3600006,0.0
668,718819.0,-3.0200005,0.0
672,718855.0,-4.9100003,0.0
676,718891.0,-5.9900007,0.0
680,718927.0,-5.6000004,0.0
684,718963.0,-4.3300004,0.0
688,718999.0,-2.3500004,0.0
692,719035.0,-0.49000072,0.0
696,719071.0,-0.08000088,0.0
700,719107.0,0.15999985,0.0
704,719143.0,1.0199995,0.0
708,719179.0,1.6099997,0.0
712,719215.0,2.1399994,0.0
716,719251.0,2.6599998,0.0
720,719287.0,2.4199991,0.0
724,719323.0,2.3799992,0.0
728,719359.0,1.9499998,0.0
732,719395.0,1.2399998,0.0
736,719431.0,0.77999973,0.0
740,719467.0,0.059999466,0.0
744,719503.0,-0.4100008,0.0
748,719539.0,-0.08000088,0.0
752,719575.0,-0.13000011,0.0
756,719611.0,0.5699997,0.0
760,719647.0,1.5999994,0.0
764,719683.0,1.25,0.0
768,719719.0,0.25999928,0.0
772,719755.0,0.14999962,0.0
776,719791.0,0.21000004,0.0
780,719827.0,0.39999962,0.0
784,719863.0,1.6099997,0.0
788,719899.0,4.5599995,0.0
792,719935.0,9.319999,0.0
796,719971.0,12.579999,0.0
800,720007.0,13.399999,0.0
804,720043.0,11.999999,0.0
808,720079.0,11.079999,0.0
812,720115.0,8.839999,0.0
816,720151.0,10.14,0.0
820,720187.0,6.089999,0.0
824,720223.0,-3.4900002,0.0
828,720259.0,-15.200001,0.0
832,720295.0,-17.210001,0.0
836,720331.0,-14.130001,0.0
840,720367.0,-15.22,0.0
844,720403.0,-11.410001,0.0
848,720439.0,-9.52,0.0
852,720475.0,-8.660001,0.0
856,720511.0,-9.690001,0.0
860,720547.0,-10.42,0.0
864,720583.0,-9.63,0.0
868,720619.0,-9.740001,0.0
872,720655.0,-10.3,0.0
876,720691.0,-10.5,0.0
880,720727.0,-8.89,0.0
884,720763.0,-5.5900006,0.0
888,720799.0,18.419998,0.0
892,720835.0,29.25,0.0
896,720871.0,23.169998,0.0
900,720907.0,12.4800005,0.0
904,720943.0,6.88,0.0
908,720979.0,-1.1400003,0.0
912,721015.0,-5.0000005,0.0
916,721051.0,-7.4600005,0.0
920,721087.0,-7.01,0.0
924,721123.0,-2.6900005,0.0
928,721159.0,0.5999994,0.0
932,721195.0,2.1299992,0.0
936,721231.0,1.1099997,0.0
940,721267.0,0.10999966,0.0
944,721303.0,-0.25,0.0
948,721339.0,0.07999992,0.0
