i,time,ay,h
400,49421.0,-0.11000061,0.0
404,49457.0,0.03999996,0.0
408,49493.0,0.17999935,0.0
412,49529.0,-0.020000458,0.0
416,49565.0,-0.05000019,0.0
420,49601.0,0.25999928,0.0
424,49637.0,0.32999992,0.0
428,49673.0,0.2699995,0.0
432,49709.0,0.43999958,0.0
436,49745.0,0.069999695,0.0
440,49781.0,-0.2300005,0.0
444,49817.0,0.17999935,0.0
448,49853.0,-0.06000042,0.0
452,49889.0,-0.44000053,0.0
456,49925.0,-0.03999996,0.0
460,49961.0,-0.21000004,0.0
464,49997.0,-0.21000004,0.0
468,50033.0,0.19999981,0.0
472,50062.0,0.17999935,0.0
476,50098.0,0.029999733,0.0
480,50134.0,0.07999992,0.0
484,50170.0,0.069999695,0.0
488,50206.0,0.029999733,0.0
492,50242.0,0.12999916,0.0
496,50278.0,0.29999924,0.0
500,50314.0,-0.020000458,0.0
504,50350.0,-0.1600008,0.0
508,50386.0,-0.17000008,0.0
512,50422.0,0.029999733,0.0
516,50458.0,0.23999977,0.0
520,50494.0,0.119999886,0.0
524,50530.0,-0.03999996,0.0
528,50566.0,-0.07000065,0.0
532,50602.0,-0.03999996,0.0
536,50638.0,0.0,0.0
540,50674.0,0.12999916,0.0
544,50710.0,0.16999912,0.0
548,50746.0,0.15999985,0.0
552,50782.0,-0.030000687,0.0
556,50818.0,-0.06000042,0.0
560,50854.0,0.009999275,0.0
564,50890.0,-0.09000015,0.0
568,50926.0,-0.03999996,0.0
572,50962.0,0.069999695,0.0
576,50998.0,0.03999996,0.0
580,51034.0,0.0899992,0.0
584,51070.0,0.15999985,0.0
588,51106.0,0.069999695,0.0
592,51142.0,0.07999992,0.0
596,51178.0,0.019999504,0.0
600,51214.0,-0.26000023,0.0
604,51250.0,-0.5600004,0.0
608,51286.0,-0.6700001,0.0
612,51322.0,-1.1400003,0.0
616,51358.0,-0.5600004,0.0
620,51394.0,0.9899998,0.0
624,51430.0,1.3799992,0.0
628,51466.0,1.0099993,0.0
632,51502.0,0.54999924,0.0
636,51538.0,0.40999985,0.0
640,51574.0,0.2699995,0.0
644,51610.0,0.5199995,0.0
648,51646.0,0.37999916,0.0
652,51682.0,0.29999924,0.0
656,51718.0,0.37999916,0.0
