i,time,ay,h
400,142539.0,-0.06000042,0.0
404,142575.0,0.009999275,0.0
408,142611.0,-0.010000229,0.0
412,142647.0,-0.06000042,0.0
416,142683.0,0.029999733,0.0
420,142719.0,-0.06000042,0.0
424,142755.0,0.0899992,0.0
428,142791.0,-0.06000042,0.0
432,142827.0,-0.12000084,0.0
436,142863.0,-0.12000084,0.0
440,142899.0,-0.12000084,0.0
444,142935.0,-0.12000084,0.0
448,142971.0,-0.020000458,0.0
452,143007.0,-0.020000458,0.0
456,143043.0,0.03999996,0.0
460,143079.0,0.059999466,0.0
464,143115.0,0.059999466,0.0
468,143151.0,-0.11000061,0.0
472,143187.0,0.03999996,0.0
476,143223.0,0.07999992,0.0
480,143259.0,0.09999943,0.0
484,143295.0,0.049999237,0.0
488,143331.0,0.07999992,0.0
492,143367.0,-0.24000072,0.0
496,143403.0,-0.1800003,0.0
500,143439.0,-0.03999996,0.0
504,143475.0,0.09999943,0.0
508,143511.0,0.0899992,0.0
512,143547.0,-0.07000065,0.0
516,143583.0,-0.11000061,0.0
520,143619.0,-0.25,0.0
524,143655.0,-0.22000027,0.0
528,143691.0,-0.03999996,0.0
532,143727.0,0.069999695,0.0
536,143763.0,0.009999275,0.0
540,143799.0,-0.05000019,0.0
544,143835.0,-0.010000229,0.0
548,143871.0,-0.14000034,0.0
552,143907.0,-0.2300005,0.0
556,143943.0,-0.19000053,0.0
560,143979.0,-0.07000065,0.0
564,144015.0,-0.1600008,0.0
568,144051.0,-0.12000084,0.0
572,144087.0,0.0899992,0.0
576,144123.0,0.14999962,0.0
580,144159.0,0.16999912,0.0
584,144195.0,0.21000004,0.0
588,144231.0,0.29999924,0.0
592,144267.0,0.27999973,0.0
596,144303.0,0.059999466,0.0
600,144339.0,-0.87000084,0.0
604,144375.0,-1.5500002,0.0
608,144411.0,-1.46,0.0
612,144447.0,-0.37000084,0.0
616,144483.0,0.85999966,0.0
620,144519.0,0.8199997,0.0
624,144555.0,0.42999935,0.0
628,144591.0,0.62999916,0.0
632,144627.0,0.5099993,0.0
636,144663.0,-0.6700001,0.0
640,144699.0,-1.6700001,0.0
644,144735.0,-1.6100006,0.0
648,144771.0,-1.46,0.0
652,144807.0,-1.8700004,0.0
656,144843.0,-1.2400007,0.0
660,144879.0,1.4799995,0.0
664,144915.0,2.7799997,0.0
668,144951.0,2.29,0.0
672,144987.0,1.7599993,0.0
676,145023.0,1.0099993,0.0
680,145059.0,-0.2300005,0.0
684,145095.0,-1.3100004,0.0
688,145131.0,-1.3800001,0.0
692,145167.0,-0.9000006,0.0
696,145203.0,-0.6000004,0.0
700,145239.0,-1.0700006,0.0
704,145275.0,-1.6900005,0.0
708,145311.0,-2.4100003,0.0
712,145347.0,-3.3800006,0.0
716,145383.0,-4.0900006,0.0
720,145419.0,-4.8800006,0.0
724,145455.0,-4.3100004,0.0
728,145491.0,-2.4800005,0.0
732,145527.0,-2.7700005,0.0
736,145563.0,-2.2200003,0.0
740,145599.0,-0.20000076,0.0
744,145635.0,0.3399992,0.0
748,145671.0,0.119999886,0.0
752,145707.0,0.3699999,0.0
756,145743.0,1.1499996,0.0
760,145779.0,1.2799997,0.0
764,145815.0,0.92999935,0.0
768,145851.0,1.2699995,0.0
772,145887.0,1.9299994,0.0
776,145923.0,2.6999998,0.0
780,145959.0,3.7699995,0.0
784,145995.0,4.8099995,0.0
788,146031.0,5.6799994,0.0
792,146067.0,5.62,0.0
796,146103.0,6.3499994,0.0
800,146139.0,6.6899996,0.0
804,146175.0,5.24,0.0
808,146211.0,5.24,0.0
812,146247.0,4.29,0.0
816,146283.0,3.2699995,0.0
820,146319.0,5.339999,0.0
824,146355.0,5.2299995,0.0
828,146391.0,6.9399996,0.0
832,146427.0,6.2300005,0.0
836,146463.0,5.62,0.0
840,146499.0,7.339999,0.0
844,146521.0,1.75,0.0
848,146557.0,-10.610001,0.0
852,146593.0,-11.0,0.0
856,146629.0,-8.71,0.0
860,146665.0,-11.35,0.0
864,146701.0,-14.68,0.0
868,146732.0,-15.68,0.0
872,146768.0,-15.51,0.0
876,146804.0,-14.1,0.0
880,146840.0,-12.68,0.0
884,146876.0,-11.43,0.0
888,146912.0,-9.52,0.0
892,146948.0,-9.440001,0.0
896,146984.0,-7.4900007,0.0
900,147020.0,0.77999973,0.0
904,147056.0,-0.8000002,0.0
908,147092.0,4.129999,0.0
912,147128.0,10.0199995,0.0
916,147164.0,9.04,0.0
920,147200.0,6.999999,0.0
924,147236.0,7.6499987,0.0
928,147272.0,8.2300005,0.0
932,147308.0,8.89,0.0
936,147344.0,9.64,0.0
940,147380.0,9.37,0.0
944,147416.0,8.489999,0.0
948,147452.0,7.63,0.0
952,147488.0,5.79,0.0
956,147524.0,4.339999,0.0
960,147560.0,2.4899998,0.0
964,147596.0,0.8699999,0.0
968,147632.0,0.62999916,0.0
972,147668.0,0.3699999,0.0
976,147704.0,0.09999943,0.0
980,147740.0,0.79999924,0.0
984,147776.0,0.0899992,0.0
988,147812.0,-1.9400005,0.0
992,147848.0,-3.7900004,0.0
996,147884.0,-5.1900005,0.0
1000,147920.0,-6.5700006,0.0
1004,147956.0,-7.1900005,0.0
1008,147992.0,-6.1500006,0.0
1012,148028.0,-4.28,0.0
1016,148064.0,-1.3900003,0.0
1020,148100.0,1.3899994,0.0
1024,148136.0,1.1899996,0.0
