i,time,ax
400,82046.0,-1.9700003
404,82099.0,-1.21
412,82152.0,-0.28999996
418,82205.0,0.8399992
424,82258.0,2.1899996
432,82311.0,2.37
436,82364.0,-0.72000027
444,82417.0,-2.8100004
448,82470.0,-2.6500006
456,82523.0,-2.1000004
462,82576.0,-2.1500006
468,82629.0,-1.8600006
476,82682.0,-1.4700003
482,82735.0,-0.9800005
490,82788.0,-0.39000034
492,82841.0,0.32999992
498,82894.0,1.0599995
506,82947.0,2.6799994
514,83000.0,1.21
520,83053.0,-1.6200008
526,83106.0,-2.2700005
532,83159.0,-1.6200008
540,83212.0,-2.3500004
542,83265.0,-2.8300004
550,83318.0,-2.3200006
558,83371.0,-1.3100004
562,83424.0,-0.42000008
570,83477.0,0.15999985
578,83530.0,0.53999996
584,83583.0,0.5799999
590,83636.0,1.5299997
596,83689.0,0.60999966
602,83742.0,-1.8700004
606,83795.0,-2.6900005
614,83848.0,-1.8500004
622,83901.0,-1.4800005
628,83954.0,-1.6700001
636,84007.0,-1.4100008
642,84060.0,-1.21
652,84113.0,-0.9800005
654,84166.0,-0.71000004
660,84219.0,-0.27000046
666,84272.0,-0.11000061
672,84325.0,1.0599995
680,84378.0,2.1399994
684,84431.0,-0.2800007
690,84484.0,-1.9900002
696,84537.0,-1.2700005
704,84590.0,-1.1300001
710,84643.0,-2.3400006
718,84696.0,-2.4400005
722,84749.0,-1.9500003
730,84802.0,-1.2300005
738,84855.0,-0.7600002
744,84908.0,-0.42000008
746,84961.0,-0.37000084
754,85014.0,-0.4800005
762,85067.0,-0.49000072
768,85120.0,-1.7000008
774,85173.0,-3.3500004
780,85226.0,-3.8500004
788,85279.0,-3.3600006
790,85332.0,-2.9800005
798,85385.0,-2.7400002
806,85438.0,-2.4100003
812,85491.0,-2.2900004
820,85544.0,-2.2800002
824,85597.0,-1.7700005
830,85650.0,-1.7000008
836,85703.0,-2.0900006
844,85756.0,-2.0900006
852,85809.0,-2.5900006
858,85862.0,-2.9800005
864,85915.0,-2.9700003
870,85968.0,-3.2000003
876,86021.0,-3.2200003
880,86074.0,-3.2300005
888,86127.0,-3.1200004
894,86180.0,-2.9800005
902,86233.0,-2.8600006
910,86286.0,-2.9300003
914,86339.0,-2.8900003
920,86392.0,-2.9500003
926,86445.0,-3.1500006
932,86498.0,-3.1900005
938,86551.0,-3.2000003
946,86604.0,-3.4300003
954,86657.0,-3.7100005
962,86710.0,-3.5600004
966,86764.0,-3.0300002
