i,time,ax,h
402,340109.0,-0.82000065,0.0
406,340145.0,-0.94000053,0.0
410,340181.0,-0.96000004,0.0
416,340217.0,-0.53999996,0.0
420,340253.0,-0.14000034,0.0
424,340289.0,-0.17000008,0.0
430,340325.0,0.17999935,0.0
432,340361.0,0.059999466,0.0
436,340397.0,-0.21000004,0.0
440,340433.0,-0.37000084,0.0
442,340433.0,-0.37000084,0.0
444,340469.0,-0.31000042,0.0
448,340505.0,-0.7400007,0.0
450,340505.0,-0.7400007,0.0
458,340541.0,-0.9000006,0.0
464,340577.0,-0.8300009,0.0
466,340613.0,-0.8500004,0.0
468,340649.0,-0.82000065,0.0
470,340685.0,-0.4300003,0.0
474,340721.0,0.29999924,0.0
476,340721.0,0.29999924,0.0
478,340757.0,0.5,0.0
480,340757.0,0.5,0.0
482,340793.0,0.53999996,0.0
484,340793.0,0.53999996,0.0
488,340829.0,0.8299999,0.0
492,340865.0,0.8899994,0.0
496,340901.0,0.7699995,0.0
498,340901.0,0.7699995,0.0
500,340937.0,0.71000004,0.0
502,340937.0,0.71000004,0.0
504,340973.0,0.34999943,0.0
506,340973.0,0.34999943,0.0
508,341009.0,-0.03999996,0.0
514,341045.0,-0.05000019,0.0
518,341081.0,0.09999943,0.0
522,341117.0,0.13999939,0.0
528,341153.0,0.21000004,0.0
530,341189.0,0.17999935,0.0
536,341225.0,0.049999237,0.0
540,341261.0,0.019999504,0.0
542,341261.0,0.019999504,0.0
544,341297.0,0.07999992,0.0
548,341333.0,0.15999985,0.0
552,341369.0,0.25999928,0.0
556,341405.0,0.18999958,0.0
558,341405.0,0.18999958,0.0
560,341441.0,0.30999947,0.0
562,341441.0,0.30999947,0.0
566,341477.0,0.41999912,0.0
572,341513.0,0.3199997,0.0
574,341549.0,0.3399992,0.0
578,341585.0,0.29999924,0.0
580,341585.0,0.29999924,0.0
586,341621.0,0.14999962,0.0
588,341657.0,0.17999935,0.0
592,341693.0,0.069999695,0.0
596,341729.0,-0.08000088,0.0
598,341729.0,-0.08000088,0.0
600,341765.0,0.019999504,0.0
604,341801.0,0.23999977,0.0
610,341837.0,0.17999935,0.0
614,341873.0,0.2699995,0.0
616,341873.0,0.2699995,0.0
620,341909.0,0.3199997,0.0
624,341945.0,0.25,0.0
628,341981.0,0.23999977,0.0
630,342017.0,0.19999981,0.0
634,342053.0,0.18999958,0.0
638,342089.0,0.13999939,0.0
640,342089.0,0.13999939,0.0
644,342125.0,0.22999954,0.0
648,342161.0,0.13999939,0.0
652,342197.0,0.16999912,0.0
654,342197.0,0.16999912,0.0
656,342233.0,0.119999886,0.0
660,342269.0,-0.11000061,0.0
664,342305.0,-0.34000015,0.0
670,342341.0,-0.70000076,0.0
672,342341.0,-0.70000076,0.0
674,342341.0,-0.70000076,0.0
676,342341.0,-0.70000076,0.0
678,342377.0,-0.9100008,0.0
680,342413.0,-0.8000002,0.0
684,342449.0,-0.6800003,0.0
686,342485.0,-0.5100002,0.0
688,342485.0,-0.5100002,0.0
690,342521.0,-0.20000076,0.0
692,342521.0,-0.20000076,0.0
694,342557.0,-0.17000008,0.0
696,342557.0,-0.17000008,0.0
700,342593.0,-0.4300003,0.0
704,342629.0,0.07999992,0.0
708,342665.0,0.27999973,0.0
710,342665.0,0.27999973,0.0
714,342701.0,-0.09000015,0.0
718,342737.0,0.15999985,0.0
722,342773.0,0.13999939,0.0
726,342809.0,0.12999916,0.0
730,342845.0,0.25999928,0.0
734,342881.0,0.0899992,0.0
742,342917.0,0.21999931,0.0
744,342953.0,0.15999985,0.0
750,342989.0,-0.4300003,0.0
752,343025.0,-0.5100002,0.0
754,343025.0,-0.5100002,0.0
756,343061.0,-0.45000076,0.0
760,343097.0,-0.4100008,0.0
764,343133.0,-0.010000229,0.0
770,343169.0,-0.11000061,0.0
774,343205.0,-0.03999996,0.0
780,343241.0,0.7399998,0.0
784,343277.0,1.04,0.0
786,343313.0,0.72999954,0.0
790,343349.0,1.0199995,0.0
794,343385.0,0.87999916,0.0
796,343385.0,0.87999916,0.0
798,343421.0,0.62999916,0.0
800,343421.0,0.62999916,0.0
804,343457.0,1.1599998,0.0
808,343493.0,0.8499994,0.0
812,343529.0,0.6699991,0.0
816,343565.0,0.6699991,0.0
820,343601.0,0.8399992,0.0
826,343637.0,1.2199993,0.0
828,343673.0,1.1799994,0.0
830,343673.0,1.1799994,0.0
832,343709.0,0.9699993,0.0
834,343709.0,0.9699993,0.0
836,343709.0,0.9699993,0.0
838,343709.0,0.9699993,0.0
840,343709.0,0.9699993,0.0
842,343745.0,0.97999954,0.0
844,343781.0,0.8399992,0.0
848,343817.0,0.5999994,0.0
850,343853.0,0.7399998,0.0
852,343853.0,0.7399998,0.0
856,343889.0,0.52999973,0.0
860,343925.0,0.47999954,0.0
864,343961.0,0.21000004,0.0
870,343997.0,-0.21000004,0.0
874,344033.0,-0.24000072,0.0
876,344069.0,-0.14000034,0.0
880,344105.0,-0.32000065,0.0
886,344141.0,0.13999939,0.0
890,344177.0,0.5699997,0.0
892,344213.0,0.21999931,0.0
894,344213.0,0.21999931,0.0
900,344249.0,0.14999962,0.0
902,344285.0,0.17999935,0.0
906,344321.0,0.0899992,0.0
912,344357.0,0.5899992,0.0
916,344393.0,0.8399992,0.0
920,344429.0,0.6499996,0.0
