i,time,ay,h
400,32752.0,-2.4200006,0.0
404,32788.0,-1.9000006,0.0
408,32824.0,2.1899996,0.0
412,32860.0,0.10999966,0.0
416,32896.0,-1.0500002,0.0
420,32932.0,0.9899998,0.0
424,32968.0,0.21999931,0.0
428,33004.0,-3.0200005,0.0
432,33040.0,-0.40000057,0.0
436,33076.0,0.54999924,0.0
440,33112.0,3.0499992,0.0
444,33148.0,3.5499992,0.0
448,33184.0,-1.4700003,0.0
452,33220.0,-4.01,0.0
456,33256.0,2.71,0.0
460,33292.0,3.5,0.0
464,33328.0,0.79999924,0.0
468,33364.0,-5.5700006,0.0
472,33400.0,6.2,0.0
476,33436.0,0.23999977,0.0
480,33472.0,-1.9800005,0.0
484,33508.0,-0.53999996,0.0
488,33544.0,-0.6300001,0.0
492,33580.0,0.4499998,0.0
496,33616.0,0.46000004,0.0
500,33652.0,1.8399992,0.0
504,33688.0,-0.53999996,0.0
508,33724.0,-0.5100002,0.0
512,33760.0,2.4799995,0.0
516,33796.0,-1.6900005,0.0
520,33832.0,0.27999973,0.0
524,33868.0,1.1199999,0.0
528,33904.0,-0.40000057,0.0
532,33940.0,0.049999237,0.0
536,33976.0,2.6599998,0.0
540,34012.0,-0.6000004,0.0
544,34048.0,-1.4000006,0.0
548,34084.0,-3.0800004,0.0
552,34120.0,-1.4700003,0.0
556,34156.0,-3.8200006,0.0
560,34192.0,-3.9700003,0.0
564,34228.0,-2.0600004,0.0
568,34264.0,1.5999994,0.0
572,34300.0,0.72999954,0.0
576,34336.0,3.4799995,0.0
580,34372.0,0.97999954,0.0
584,34408.0,-0.15000057,0.0
588,34444.0,-2.5700006,0.0
592,34480.0,1.9799995,0.0
596,34516.0,3.1599998,0.0
600,34552.0,1.6299992,0.0
604,34588.0,-1.4900007,0.0
608,34624.0,-2.0900006,0.0
612,34660.0,-2.0600004,0.0
616,34696.0,0.009999275,0.0
620,34732.0,-0.22000027,0.0
624,34768.0,-0.94000053,0.0
628,34804.0,0.12999916,0.0
632,34840.0,-1.4400005,0.0
636,34876.0,-2.1200004,0.0
640,34912.0,-0.9200001,0.0
644,34948.0,-1.2000008,0.0
648,34984.0,-0.3800001,0.0
652,35020.0,-0.10000038,0.0
656,35056.0,-1.29,0.0
660,35092.0,-1.21,0.0
664,35128.0,-2.8300004,0.0
668,35164.0,0.42999935,0.0
672,35200.0,0.049999237,0.0
676,35236.0,-1.46,0.0
680,35272.0,0.5999994,0.0
684,35308.0,2.1499996,0.0
688,35344.0,0.019999504,0.0
692,35380.0,-1.0600004,0.0
696,35416.0,-1.3200006,0.0
700,35452.0,1.4799995,0.0
704,35488.0,0.7699995,0.0
708,35524.0,-0.3600006,0.0
712,35560.0,0.25,0.0
716,35596.0,0.62999916,0.0
720,35632.0,0.40999985,0.0
724,35668.0,0.52999973,0.0
728,35704.0,0.30999947,0.0
732,35740.0,-0.05000019,0.0
736,35776.0,0.059999466,0.0
740,35812.0,0.32999992,0.0
744,35848.0,0.18999958,0.0
748,35884.0,0.46000004,0.0
752,35920.0,0.42999935,0.0
756,35956.0,0.019999504,0.0
760,35992.0,-0.06000042,0.0
764,36028.0,0.21999931,0.0
768,36064.0,0.25999928,0.0
772,36100.0,0.14999962,0.0
776,36136.0,0.14999962,0.0
780,36172.0,0.09999943,0.0
784,36208.0,0.25,0.0
788,36244.0,0.13999939,0.0
792,36280.0,0.19999981,0.0
796,36316.0,0.13999939,0.0
800,36352.0,0.15999985,0.0
804,36388.0,0.25,0.0
808,36424.0,0.0899992,0.0
812,36460.0,0.19999981,0.0
816,36496.0,0.17999935,0.0
820,36532.0,0.0899992,0.0
824,36568.0,0.25999928,0.0
828,36604.0,0.09999943,0.0
832,36640.0,0.14999962,0.0
836,36676.0,0.22999954,0.0
840,36712.0,0.0899992,0.0
844,36748.0,0.23999977,0.0
848,36784.0,0.14999962,0.0
852,36820.0,0.15999985,0.0
856,36856.0,0.25999928,0.0
860,36892.0,0.049999237,0.0
864,36928.0,0.15999985,0.0
868,36964.0,0.17999935,0.0
872,37000.0,0.09999943,0.0
876,37036.0,0.19999981,0.0
880,37072.0,0.03999996,0.0
884,37108.0,0.19999981,0.0
888,37144.0,0.25999928,0.0
892,37180.0,0.059999466,0.0
896,37216.0,0.16999912,0.0
900,37252.0,0.22999954,0.0
904,37288.0,0.14999962,0.0
908,37324.0,0.14999962,0.0
912,37360.0,0.13999939,0.0
916,37396.0,0.14999962,0.0
920,37432.0,0.17999935,0.0
924,37468.0,0.23999977,0.0
928,37504.0,0.09999943,0.0
932,37540.0,0.069999695,0.0
936,37576.0,0.2699995,0.0
940,37612.0,0.15999985,0.0
944,37648.0,0.13999939,0.0
948,37684.0,0.16999912,0.0
952,37720.0,0.18999958,0.0
956,37756.0,0.21000004,0.0
960,37792.0,0.07999992,0.0
964,37828.0,0.15999985,0.0
968,37864.0,0.21999931,0.0
972,37900.0,0.09999943,0.0
976,37936.0,0.13999939,0.0
980,37972.0,0.17999935,0.0
984,38008.0,0.8699999,0.0
988,38044.0,1.21,0.0
992,38080.0,1.3499994,0.0
996,38116.0,4.2199993,0.0
1000,38152.0,3.12,0.0
1004,38188.0,-0.8500004,0.0
1008,38224.0,-4.7700005,0.0
1012,38260.0,-5.4600005,0.0
1016,38296.0,-4.3400006,0.0
1020,38332.0,-0.5100002,0.0
1024,38368.0,0.7399998,0.0
1028,38404.0,-0.13000011,0.0
1032,38440.0,1.0099993,0.0
1036,38476.0,3.71,0.0
1040,38512.0,3.6999998,0.0
1044,38548.0,1.04,0.0
1048,38584.0,-0.96000004,0.0
1052,38620.0,-1.1100006,0.0
1056,38656.0,-0.95000076,0.0
1060,38692.0,-0.8100004,0.0
1064,38728.0,0.39999962,0.0
1068,38764.0,0.6499996,0.0
1072,38800.0,0.27999973,0.0
1076,38836.0,0.3699999,0.0
