i,time,ay,h
400,183736.0,-1.4900007,0.0
404,183772.0,-1.1700001,0.0
408,183808.0,-1.0500002,0.0
412,183844.0,-1.0900002,0.0
416,183880.0,-0.71000004,0.0
420,183916.0,0.059999466,0.0
424,183952.0,0.029999733,0.0
428,183988.0,-0.28999996,0.0
432,184024.0,-0.57000065,0.0
436,184060.0,0.65999985,0.0
440,184096.0,0.80999947,0.0
444,184132.0,-0.05000019,0.0
448,184168.0,0.47999954,0.0
452,184204.0,-0.4100008,0.0
456,184240.0,0.96000004,0.0
460,184276.0,-0.8600006,0.0
464,184312.0,-0.33000088,0.0
468,184348.0,-0.69000053,0.0
472,184384.0,2.5999994,0.0
476,184420.0,-0.64000034,0.0
480,184456.0,-2.5400004,0.0
484,184492.0,-0.46000004,0.0
488,184528.0,-0.32000065,0.0
492,184564.0,0.4699993,0.0
496,184600.0,0.0899992,0.0
500,184636.0,0.15999985,0.0
504,184672.0,-0.89000034,0.0
508,184708.0,-2.3900003,0.0
512,184744.0,-1.1800003,0.0
516,184780.0,-1.2700005,0.0
520,184816.0,-2.3800006,0.0
524,184852.0,-0.6300001,0.0
528,184888.0,-2.2800002,0.0
532,184924.0,-2.3000002,0.0
536,184960.0,1.0199995,0.0
540,184996.0,-1.2700005,0.0
544,185032.0,-0.7300005,0.0
548,185068.0,-2.2400002,0.0
552,185104.0,0.09999943,0.0
556,185140.0,-0.5300007,0.0
560,185176.0,-0.17000008,0.0
564,185212.0,-0.020000458,0.0
568,185248.0,-0.06000042,0.0
572,185284.0,-0.24000072,0.0
576,185320.0,-0.030000687,0.0
580,185356.0,-0.82000065,0.0
584,185392.0,-0.26000023,0.0
588,185428.0,-0.21000004,0.0
592,185464.0,-0.12000084,0.0
596,185500.0,-0.25,0.0
600,185536.0,-0.44000053,0.0
604,185572.0,-0.13000011,0.0
608,185608.0,0.23999977,0.0
612,185644.0,0.12999916,0.0
616,185680.0,0.19999981,0.0
620,185716.0,0.25,0.0
624,185752.0,0.29999924,0.0
628,185788.0,0.3699999,0.0
632,185824.0,0.40999985,0.0
636,185860.0,0.43999958,0.0
640,185896.0,0.43999958,0.0
644,185932.0,0.28999996,0.0
648,185968.0,-0.10000038,0.0
652,186004.0,-0.010000229,0.0
656,186040.0,-0.030000687,0.0
660,186076.0,0.42999935,0.0
664,186112.0,0.7399998,0.0
668,186148.0,-0.09000015,0.0
672,186184.0,-0.24000072,0.0
676,186220.0,0.07999992,0.0
680,186256.0,0.79999924,0.0
684,186292.0,1.1899996,0.0
688,186328.0,0.03999996,0.0
692,186364.0,-0.9000006,0.0
696,186400.0,-1.0200005,0.0
700,186436.0,-0.59000015,0.0
704,186472.0,0.049999237,0.0
708,186508.0,1.0699997,0.0
712,186544.0,0.8499994,0.0
716,186580.0,-0.25,0.0
720,186616.0,-0.77000046,0.0
724,186652.0,-0.7600002,0.0
728,186688.0,-0.82000065,0.0
732,186724.0,-1.1200008,0.0
736,186760.0,-1.8400006,0.0
740,186796.0,-2.9400005,0.0
744,186832.0,-3.3000002,0.0
748,186868.0,-3.1600003,0.0
752,186904.0,-2.2400002,0.0
756,186940.0,-0.84000015,0.0
760,186976.0,0.77999973,0.0
764,187012.0,2.1099997,0.0
768,187048.0,2.5899992,0.0
772,187084.0,2.3999996,0.0
776,187120.0,2.29,0.0
780,187156.0,2.3199997,0.0
784,187192.0,1.8399992,0.0
788,187228.0,1.6699991,0.0
792,187264.0,1.7199993,0.0
796,187300.0,1.3599997,0.0
800,187336.0,0.8499994,0.0
804,187372.0,0.46000004,0.0
808,187408.0,0.029999733,0.0
812,187444.0,-0.10000038,0.0
816,187480.0,-0.33000088,0.0
820,187516.0,-0.46000004,0.0
824,187552.0,-0.25,0.0
828,187588.0,-0.15000057,0.0
832,187624.0,-0.15000057,0.0
836,187660.0,-0.10000038,0.0
840,187696.0,0.12999916,0.0
844,187732.0,0.059999466,0.0
848,187768.0,-0.08000088,0.0
852,187804.0,0.10999966,0.0
856,187840.0,0.3199997,0.0
860,187876.0,0.47999954,0.0
864,187912.0,0.10999966,0.0
868,187948.0,0.059999466,0.0
872,187984.0,0.029999733,0.0
876,188020.0,-0.07000065,0.0
880,188056.0,-0.37000084,0.0
884,188092.0,-0.71000004,0.0
888,188128.0,-0.9800005,0.0
892,188164.0,-1.3800001,0.0
896,188200.0,-1.3200006,0.0
900,188236.0,-0.9000006,0.0
904,188272.0,1.4699993,0.0
908,188308.0,4.669999,0.0
912,188344.0,8.88,0.0
916,188380.0,13.3,0.0
920,188416.0,13.079999,0.0
924,188452.0,11.86,0.0
928,188488.0,8.499999,0.0
932,188524.0,-0.15000057,0.0
936,188560.0,-3.2700005,0.0
940,188596.0,-10.540001,0.0
944,188632.0,-12.89,0.0
948,188668.0,-12.460001,0.0
952,188704.0,-11.85,0.0
956,188740.0,-10.2300005,0.0
960,188776.0,-8.22,0.0
964,188812.0,-8.35,0.0
968,188848.0,-8.8,0.0
972,188884.0,-9.150001,0.0
976,188920.0,-9.070001,0.0
980,188956.0,-6.7500005,0.0
984,188992.0,-0.17000008,0.0
988,189028.0,2.5999994,0.0
992,189064.0,17.09,0.0
996,189100.0,17.86,0.0
1000,189136.0,10.7699995,0.0
1004,189172.0,8.409999,0.0
1008,189208.0,8.31,0.0
1012,189244.0,7.7599993,0.0
1016,189280.0,5.12,0.0
1020,189316.0,1.8799992,0.0
1024,189352.0,-0.4800005,0.0
1028,189388.0,-2.6100006,0.0
1032,189424.0,-4.9200006,0.0
1036,189460.0,-5.8300004,0.0
1040,189496.0,-5.78,0.0
