i,time,ax,h
400,373001.0,9.82,0.0
402,373037.0,9.91,0.0
408,373073.0,9.83,0.0
412,373109.0,9.53,0.0
414,373109.0,9.53,0.0
418,373145.0,9.34,0.0
420,373181.0,9.41,0.0
426,373217.0,9.54,0.0
428,373217.0,9.54,0.0
430,373253.0,9.79,0.0
434,373289.0,9.96,0.0
438,373325.0,9.95,0.0
444,373361.0,9.63,0.0
446,373397.0,9.21,0.0
450,373433.0,9.02,0.0
452,373433.0,9.02,0.0
454,373433.0,9.02,0.0
456,373433.0,9.02,0.0
462,373469.0,8.96,0.0
464,373505.0,9.02,0.0
466,373541.0,9.09,0.0
468,373577.0,9.15,0.0
470,373577.0,9.15,0.0
476,373613.0,9.31,0.0
478,373613.0,9.31,0.0
480,373649.0,9.32,0.0
482,373685.0,9.35,0.0
484,373685.0,9.35,0.0
488,373721.0,9.34,0.0
490,373757.0,9.3,0.0
494,373793.0,9.3,0.0
498,373829.0,9.22,0.0
500,373829.0,9.22,0.0
502,373865.0,9.14,0.0
506,373901.0,8.96,0.0
512,373937.0,8.76,0.0
516,373973.0,8.45,0.0
520,374009.0,8.22,0.0
524,374045.0,8.19,0.0
530,374081.0,8.4,0.0
532,374117.0,9.24,0.0
536,374153.0,9.97,0.0
538,374153.0,9.97,0.0
540,374153.0,9.97,0.0
546,374189.0,9.53,0.0
548,374189.0,9.53,0.0
550,374225.0,9.43,0.0
552,374261.0,9.49,0.0
554,374297.0,9.37,0.0
558,374333.0,9.27,0.0
562,374369.0,9.74,0.0
564,374369.0,9.74,0.0
570,374405.0,9.55,0.0
578,374441.0,9.39,0.0
580,374477.0,9.29,0.0
582,374513.0,9.42,0.0
586,374549.0,9.74,0.0
590,374585.0,9.84,0.0
594,374621.0,10.28,0.0
598,374657.0,10.72,0.0
602,374693.0,10.91,0.0
606,374729.0,11.03,0.0
612,374765.0,10.53,0.0
616,374801.0,9.8,0.0
620,374837.0,9.84,0.0
624,374873.0,10.24,0.0
626,374873.0,10.24,0.0
630,374909.0,10.12,0.0
632,374945.0,9.73,0.0
638,374981.0,9.44,0.0
640,374981.0,9.44,0.0
642,375017.0,9.33,0.0
646,375053.0,9.18,0.0
650,375089.0,8.88,0.0
654,375125.0,8.74,0.0
656,375125.0,8.74,0.0
658,375161.0,8.76,0.0
662,375197.0,9.2,0.0
668,375233.0,9.93,0.0
672,375269.0,10.41,0.0
676,375305.0,10.61,0.0
680,375341.0,10.48,0.0
682,375341.0,10.48,0.0
686,375377.0,10.26,0.0
688,375413.0,10.18,0.0
692,375449.0,10.03,0.0
694,375449.0,10.03,0.0
696,375449.0,10.03,0.0
702,375485.0,10.01,0.0
704,375485.0,10.01,0.0
712,375521.0,10.1,0.0
716,375557.0,10.0,0.0
718,375593.0,9.65,0.0
720,375629.0,9.64,0.0
722,375665.0,9.7,0.0
724,375701.0,9.9,0.0
730,375737.0,10.12,0.0
732,375773.0,10.22,0.0
736,375809.0,10.3,0.0
738,375809.0,10.3,0.0
742,375845.0,10.25,0.0
744,375881.0,10.16,0.0
750,375917.0,10.03,0.0
754,375953.0,10.02,0.0
756,375989.0,10.05,0.0
762,376025.0,10.14,0.0
768,376061.0,10.17,0.0
770,376097.0,10.1,0.0
774,376133.0,10.07,0.0
776,376133.0,10.07,0.0
780,376169.0,9.97,0.0
786,376205.0,10.0,0.0
788,376241.0,10.03,0.0
796,376277.0,10.05,0.0
798,376277.0,10.05,0.0
