i,time,ax,h
402,457254.0,-0.40000057,0.0
406,457290.0,-0.44000053,0.0
410,457326.0,-0.4300003,0.0
412,457362.0,-0.47000027,0.0
416,457398.0,-0.5800009,0.0
418,457398.0,-0.5800009,0.0
422,457434.0,-0.62000084,0.0
424,457470.0,-0.62000084,0.0
428,457506.0,-0.4800005,0.0
434,457542.0,-0.33000088,0.0
436,457542.0,-0.33000088,0.0
438,457578.0,-0.22000027,0.0
440,457614.0,-0.15000057,0.0
442,457614.0,-0.15000057,0.0
446,457650.0,-0.11000061,0.0
452,457686.0,-0.10000038,0.0
454,457722.0,-0.20000076,0.0
458,457758.0,-0.21000004,0.0
460,457758.0,-0.21000004,0.0
466,457794.0,-0.25,0.0
468,457830.0,-0.3600006,0.0
472,457866.0,-0.39000034,0.0
478,457902.0,-0.46000004,0.0
480,457938.0,-0.49000072,0.0
482,457938.0,-0.49000072,0.0
486,457974.0,-0.49000072,0.0
490,458010.0,-0.5100002,0.0
492,458010.0,-0.5100002,0.0
494,458046.0,-0.52000046,0.0
498,458082.0,-0.52000046,0.0
502,458118.0,-0.5500002,0.0
504,458118.0,-0.5500002,0.0
508,458154.0,-0.5100002,0.0
510,458190.0,-0.42000008,0.0
516,458226.0,-0.33000088,0.0
518,458226.0,-0.33000088,0.0
520,458226.0,-0.33000088,0.0
526,458262.0,-0.28999996,0.0
528,458298.0,-0.27000046,0.0
530,458334.0,-0.2300005,0.0
532,458370.0,-0.19000053,0.0
534,458370.0,-0.19000053,0.0
536,458406.0,-0.1600008,0.0
542,458442.0,-0.15000057,0.0
546,458478.0,-0.17000008,0.0
548,458514.0,-0.33000088,0.0
550,458514.0,-0.33000088,0.0
554,458550.0,-0.62000084,0.0
558,458586.0,-0.94000053,0.0
560,458586.0,-0.94000053,0.0
564,458622.0,-1.4900007,0.0
568,458658.0,-1.8800006,0.0
572,458694.0,-2.0800004,0.0
578,458730.0,-2.3700004,0.0
580,458766.0,-2.4800005,0.0
584,458802.0,-1.8100004,0.0
590,458838.0,0.67999935,0.0
592,458874.0,4.7299995,0.0
596,458910.0,9.659999,0.0
602,458946.0,13.54,0.0
604,458946.0,13.54,0.0
606,458982.0,14.349999,0.0
610,459018.0,12.53,0.0
614,459054.0,7.669999,0.0
616,459054.0,7.669999,0.0
620,459090.0,1.3399992,0.0
622,459126.0,-5.4800005,0.0
628,459162.0,-9.110001,0.0
632,459198.0,-8.88,0.0
642,459234.0,-8.14,0.0
646,459270.0,-9.59,0.0
648,459306.0,-10.2300005,0.0
650,459342.0,-9.330001,0.0
654,459378.0,-8.540001,0.0
656,459414.0,-7.6900005,0.0
658,459414.0,-7.6900005,0.0
664,459450.0,-7.1400003,0.0
666,459486.0,-7.4100003,0.0
670,459522.0,-6.9900007,0.0
676,459558.0,-5.7300005,0.0
678,459594.0,-1.3100004,0.0
680,459594.0,-1.3100004,0.0
684,459630.0,6.46,0.0
688,459666.0,9.329999,0.0
690,459666.0,9.329999,0.0
692,459702.0,10.669999,0.0
696,459738.0,10.8,0.0
700,459774.0,9.679999,0.0
706,459810.0,8.349999,0.0
708,459846.0,6.339999,0.0
710,459846.0,6.339999,0.0
716,459882.0,2.9799995,0.0
720,459918.0,0.30999947,0.0
722,459954.0,-1.7000008,0.0
726,459990.0,-2.9300003,0.0
728,459990.0,-2.9300003,0.0
734,460026.0,-3.5100002,0.0
736,460062.0,-3.8200006,0.0
738,460098.0,-3.6000004,0.0
740,460098.0,-3.6000004,0.0
746,460134.0,-2.6700006,0.0
748,460170.0,-1.29,0.0
752,460206.0,-0.31000042,0.0
762,460242.0,0.03999996,0.0
766,460278.0,0.009999275,0.0
768,460314.0,-0.10000038,0.0
770,460350.0,-0.1600008,0.0
776,460386.0,-0.24000072,0.0
778,460422.0,-0.19000053,0.0
782,460458.0,0.03999996,0.0
784,460458.0,0.03999996,0.0
788,460494.0,0.25999928,0.0
796,460530.0,0.32999992,0.0
798,460566.0,0.119999886,0.0
800,460602.0,-0.22000027,0.0
