i,time,ax
404,90128.0,-0.6300001
412,90181.0,-0.7300005
414,90234.0,-0.9900007
422,90287.0,-0.95000076
428,90340.0,-0.87000084
436,90393.0,-0.9800005
444,90446.0,-0.8800001
448,90499.0,-0.97000027
456,90552.0,-1.0100002
460,90605.0,-0.82000065
468,90658.0,-0.7600002
474,90711.0,-0.77000046
480,90764.0,-0.6600008
486,90817.0,-0.5600004
492,90870.0,-0.49000072
500,90923.0,-0.33000088
504,90976.0,-0.6700001
512,91029.0,-0.87000084
516,91082.0,-1.0700006
524,91135.0,-1.1900005
532,91188.0,-1.21
538,91241.0,-0.97000027
546,91294.0,-0.44000053
548,91347.0,-0.39000034
556,91400.0,-0.6500006
564,91453.0,-0.82000065
570,91506.0,-0.8300009
574,91559.0,-0.8600006
582,91612.0,-0.8300009
590,91665.0,-1.1900005
592,91718.0,-1.5500002
600,91771.0,-1.75
606,91824.0,-1.6500006
614,91877.0,-0.75
620,91930.0,0.92999935
628,91983.0,3.0099993
630,92036.0,5.8999996
640,92089.0,5.129999
648,92142.0,3.8999996
652,92195.0,0.62999916
660,92248.0,-4.8
662,92301.0,-7.2100005
670,92354.0,-9.25
676,92407.0,-7.9100003
684,92460.0,-4.9200006
688,92513.0,-0.84000015
696,92566.0,3.5099993
704,92619.0,6.71
710,92672.0,3.7799997
712,92725.0,1.7599993
720,92778.0,-1.6100006
728,92831.0,-3.3500004
734,92884.0,-2.0600004
