i,time,ay,h
400,415274.0,0.09999943,77.91
404,415297.0,0.10999966,89.64
408,415321.0,0.10999966,65.62
412,415344.0,0.09999943,90.46
416,415368.0,0.09999943,73.27
420,415391.0,0.09999943,90.85
424,415415.0,0.10999966,91.26
428,415439.0,0.10999966,90.46
432,415463.0,0.10999966,88.74
436,415487.0,0.10999966,91.68
440,415511.0,0.119999886,65.42
444,415534.0,0.119999886,89.66
448,415558.0,0.119999886,90.44
452,415582.0,0.09999943,91.27
456,415606.0,0.119999886,86.56
460,415630.0,0.12999916,90.03
464,415654.0,0.10999966,89.64
468,415678.0,0.10999966,91.68
472,415702.0,0.10999966,90.44
476,415726.0,0.10999966,90.07
480,415750.0,0.10999966,61.1
484,415772.0,0.12999916,90.03
488,415796.0,0.12999916,90.07
492,415820.0,0.10999966,61.27
496,415842.0,0.10999966,55.81
500,415864.0,0.10999966,78.15
504,415887.0,0.10999966,91.71
508,415911.0,0.10999966,65.72
512,415934.0,0.119999886,91.29
516,415958.0,0.119999886,73.78
520,415981.0,0.10999966,66.16
524,416004.0,0.10999966,90.05
528,416028.0,0.10999966,91.29
532,416052.0,0.10999966,69.73
536,416075.0,0.119999886,61.88
540,416097.0,0.119999886,90.46
544,416121.0,0.13999939,91.26
548,416145.0,0.12999916,90.88
552,416169.0,0.13999939,83.64
556,416193.0,0.12999916,73.97
560,416216.0,0.119999886,72.79
564,416239.0,0.10999966,88.79
568,416263.0,0.119999886,90.86
572,416287.0,0.119999886,92.12
576,416311.0,0.10999966,72.79
580,416334.0,0.0899992,91.26
584,416358.0,0.09999943,90.85
588,416382.0,0.10999966,92.12
592,416406.0,0.12999916,71.54
596,416429.0,0.119999886,89.23
600,416453.0,0.119999886,88.33
604,416477.0,0.09999943,92.12
608,416501.0,0.07999992,65.94
612,416524.0,0.10999966,91.7
616,416548.0,0.12999916,90.05
620,416572.0,0.119999886,70.14
624,416595.0,0.10999966,90.46
628,416619.0,0.119999886,83.81
632,416643.0,0.10999966,90.46
636,416667.0,0.10999966,91.7
640,416691.0,0.119999886,91.29
644,416715.0,0.16999912,90.46
648,416739.0,0.15999985,91.26
652,416763.0,0.16999912,90.47
656,416787.0,0.0899992,91.31
660,416811.0,-0.05000019,66.42
664,416834.0,-0.10000038,90.46
668,416858.0,-0.13000011,85.31
672,416882.0,-0.14000034,91.65
676,416906.0,-0.10000038,90.76
680,416930.0,-0.14000034,91.54
684,416954.0,-0.1800003,90.25
688,416978.0,-0.28999996,74.1
692,417001.0,-0.34000015,90.05
696,417025.0,-0.45000076,67.61
700,417048.0,-0.5100002,79.41
704,417071.0,-0.6000004,89.59
708,417095.0,-0.77000046,68.85
712,417118.0,-0.7800007,89.9
716,417142.0,-0.5500002,70.81
720,417165.0,-0.47000027,89.76
724,417189.0,-0.87000084,90.61
728,417213.0,-1.0600004,57.99
732,417235.0,-1.3200006,89.33
736,417259.0,-1.3700008,78.96
740,417282.0,-1.1700001,91.65
744,417306.0,-0.87000084,91.07
748,417330.0,-0.6100006,61.86
752,417352.0,-0.45000076,84.76
756,417376.0,-0.45000076,84.86
760,417400.0,-0.34000015,82.77
764,417424.0,-0.2800007,84.1
768,417448.0,0.0,84.56
772,417472.0,0.34999943,81.72
776,417496.0,0.40999985,87.18
780,417520.0,0.39999962,81.97
784,417544.0,0.2699995,95.44
788,417568.0,0.29999924,95.73
792,417592.0,0.47999954,101.54
796,417617.0,0.029999733,70.69
800,417640.0,-0.07000065,77.55
804,417663.0,0.03999996,77.84
808,417686.0,0.059999466,66.45
812,417709.0,0.0,142.87
816,417736.0,-0.05000019,66.76
820,417759.0,-0.13000011,152.29
824,417787.0,0.019999504,101.57
828,417812.0,0.14999962,55.76
832,417834.0,0.119999886,89.85
836,417858.0,0.29999924,75.51
840,417881.0,0.4499998,70.57
844,417904.0,0.5999994,151.98
848,417932.0,0.28999996,71.2
852,417955.0,0.15999985,62.63
856,417977.0,0.25999928,71.09
860,418000.0,0.29999924,62.42
864,418022.0,0.18999958,105.26
868,418047.0,-0.27000046,168.86
872,418076.0,-0.6100006,69.9
876,418099.0,-0.5800009,121.74
880,418125.0,-0.42000008,96.93
884,418149.0,-0.47000027,62.75
888,418171.0,-0.24000072,136.6
892,418198.0,0.8699999,76.43
896,418221.0,2.1899996,250.58
900,418255.0,3.3199997,169.07
904,418284.0,3.2999992,82.42
908,418308.0,2.9499998,75.33
912,418331.0,2.2199993,164.42
916,418359.0,1.4699993,114.68
920,418384.0,1.7199993,62.81
924,418406.0,2.4799995,67.13
928,418429.0,3.7799997,77.54
932,418452.0,6.3999987,76.79
936,418475.0,10.13,69.26
940,418498.0,12.38,81.46
944,418522.0,12.53,70.82
948,418545.0,13.53,90.15
952,418569.0,10.12,63.83
956,418592.0,3.04,101.12
960,418617.0,-4.5200005,107.03
964,418642.0,-6.4300003,71.49
968,418665.0,-9.18,114.8
972,418690.0,-12.75,117.35
976,418716.0,-13.200001,103.05
980,418741.0,-12.0,74.22
984,418764.0,-10.4800005,120.68
988,418790.0,-9.05,62.76
992,418812.0,-8.440001,124.41
996,418838.0,-8.610001,122.3
1000,418864.0,-9.27,60.91
1004,418886.0,-9.75,119.63
1008,418912.0,-10.22,117.16
1012,418938.0,-10.52,76.67
1016,418961.0,-10.84,113.08
1020,418986.0,-10.58,74.71
1024,419009.0,-10.740001,106.42
1028,419034.0,-9.92,64.02
1032,419057.0,-7.0300007,91.0
1036,419081.0,-4.2900004,85.2
1040,419105.0,9.86,63.0
1044,419127.0,29.419998,71.62
1048,419150.0,13.339999,76.48
1052,419173.0,2.3799992,74.56
1056,419196.0,8.31,71.84
1060,419219.0,13.29,70.92
1064,419242.0,9.37,73.44
1068,419265.0,3.6399994,73.76
1072,419288.0,3.54,70.89
1076,419311.0,3.37,68.17
1080,419334.0,3.37,65.67
1084,419357.0,2.04,56.41
1088,419379.0,1.3299999,69.55
1092,419402.0,1.0799999,70.52
1096,419425.0,1.2999992,69.48
1100,419448.0,1.8699999,69.79
1104,419471.0,2.0999994,70.69
1108,419494.0,2.21,70.84
1112,419517.0,2.3799992,72.37
1116,419540.0,2.5199995,72.79
1120,419563.0,2.6399994,74.63
1124,419586.0,2.6099997,67.03
1128,419609.0,2.3499994,61.74
1132,419631.0,1.7399998,70.57
1136,419654.0,1.2699995,82.28
1140,419678.0,0.8299999,100.72
1144,419703.0,0.16999912,102.44
1148,419728.0,-0.7400007,97.34
1152,419752.0,-1.21,72.25
1156,419775.0,-1.4100008,95.49
1160,419799.0,-1.7000008,90.25
1164,419823.0,-2.1300006,75.07
1168,419846.0,-2.3400006,88.28
1172,419870.0,-2.3300004,86.12
1176,419894.0,-2.2600002,91.05
1180,419918.0,-2.2000003,93.23
1184,419942.0,-2.2700005,93.11
1188,419966.0,-1.9800005,73.64
1192,419989.0,-1.8600006,65.74
1196,420012.0,-1.8400006,101.52
1200,420037.0,-1.4300003,94.94
1204,420061.0,-0.89000034,68.02
1208,420084.0,-0.46000004,64.68
1212,420107.0,-0.24000072,91.48
1216,420131.0,0.009999275,91.39
1220,420155.0,0.13999939,84.8
1224,420179.0,0.18999958,64.58
1228,420202.0,0.21000004,91.73
1232,420226.0,0.14999962,68.2
1236,420249.0,0.17999935,59.23
1240,420271.0,0.17999935,89.18
1244,420295.0,0.10999966,64.02
1248,420318.0,0.21000004,92.04
1252,420342.0,0.25,92.04
1256,420366.0,0.21000004,70.91
1260,420389.0,0.13999939,92.0
1264,420413.0,0.13999939,75.89
1268,420436.0,0.16999912,91.14
1272,420460.0,0.14999962,63.82
1276,420483.0,0.14999962,86.65
1280,420507.0,0.14999962,57.61
