i,time,ax
404,637702.0,0.18999958
410,637745.0,0.19999981
412,637788.0,0.2699995
420,637831.0,0.2699995
426,637874.0,0.27999973
434,637917.0,0.35999966
436,637960.0,0.4499998
442,638003.0,0.21999931
444,638046.0,-0.03999996
452,638089.0,0.03999996
456,638132.0,0.19999981
458,638175.0,0.14999962
466,638218.0,0.16999912
468,638261.0,0.30999947
476,638304.0,0.30999947
480,638347.0,0.19999981
488,638390.0,0.2699995
490,638433.0,0.18999958
498,638476.0,0.119999886
500,638519.0,0.17999935
508,638562.0,0.16999912
512,638605.0,0.059999466
522,638648.0,0.07999992
524,638691.0,0.19999981
526,638734.0,0.25
534,638777.0,0.22999954
536,638820.0,0.16999912
544,638863.0,0.19999981
548,638906.0,0.25
558,638949.0,0.21999931
560,638992.0,0.21000004
566,639035.0,0.18999958
568,639078.0,0.10999966
576,639121.0,0.13999939
580,639164.0,0.21999931
584,639207.0,0.21000004
590,639250.0,0.17999935
592,639293.0,0.19999981
600,639336.0,0.18999958
604,639379.0,0.22999954
610,639422.0,0.21000004
614,639465.0,0.14999962
622,639508.0,0.13999939
624,639551.0,0.21000004
632,639594.0,0.15999985
636,639637.0,0.15999985
642,639680.0,0.14999962
646,639723.0,0.17999935
654,639766.0,0.22999954
656,639809.0,0.17999935
662,639852.0,0.12999916
668,639895.0,0.09999943
670,639938.0,0.10999966
680,639981.0,0.19999981
682,640024.0,0.25999928
686,640067.0,0.18999958
694,640110.0,0.16999912
700,640153.0,0.15999985
704,640196.0,0.27999973
706,640239.0,0.22999954
712,640282.0,0.07999992
720,640325.0,0.03999996
724,640368.0,0.19999981
730,640411.0,0.32999992
734,640454.0,0.23999977
736,640497.0,0.10999966
744,640540.0,0.0899992
748,640583.0,0.16999912
754,640626.0,0.21999931
758,640669.0,0.21999931
766,640712.0,0.19999981
768,640755.0,0.19999981
776,640798.0,0.13999939
780,640841.0,0.18999958
786,640884.0,0.21999931
790,640927.0,0.14999962
796,640970.0,0.13999939
800,641013.0,0.12999916
806,641056.0,-0.020000458
812,641099.0,-0.49000072
814,641142.0,-1.4400005
822,641185.0,-2.6500006
826,641228.0,-4.55
832,641271.0,-6.0700006
838,641314.0,-6.6200004
840,641357.0,-6.3300004
848,641400.0,-5.28
852,641443.0,-2.5900006
858,641486.0,0.8999996
862,641529.0,3.5699997
870,641572.0,3.4699993
872,641615.0,3.7999992
880,641658.0,5.8499994
884,641701.0,9.239999
886,641744.0,10.47
894,641787.0,9.37
900,641830.0,8.509999
906,641873.0,7.739999
908,641916.0,8.14
916,641959.0,7.8100004
918,642002.0,6.87
928,642045.0,-1.1300001
930,642088.0,-12.56
936,642131.0,-17.54
940,642174.0,-11.960001
948,642217.0,-8.59
950,642260.0,-10.200001
956,642303.0,-11.120001
960,642346.0,-11.47
966,642389.0,-11.72
972,642432.0,-11.46
976,642475.0,-11.09
982,642518.0,-9.9800005
990,642561.0,-6.9300003
992,642604.0,2.9399996
996,642647.0,14.9800005
1002,642690.0,13.319999
1008,642733.0,11.78
1012,642776.0,13.36
1020,642819.0,11.989999
1024,642862.0,7.8100004
1030,642905.0,5.08
1032,642948.0,3.7399998
1040,642991.0,3.1699991
1044,643034.0,1.8299999
1050,643077.0,-0.9000006
1054,643120.0,-6.0700006
1056,643163.0,-10.22
1064,643206.0,-12.05
1068,643249.0,-12.58
1074,643292.0,-9.240001
1078,643335.0,2.2999992
1086,643378.0,5.799999
1088,643421.0,-0.5
1096,643464.0,-2.3900003
1100,643507.0,-0.39000034
1106,643550.0,1.5599995
1110,643593.0,0.35999966
1118,643636.0,-0.35000038
1120,643679.0,-0.15000057
1128,643722.0,0.21999931
1134,643765.0,0.23999977
1136,643809.0,0.029999733
