i,time,ax
404,167529.0,-1.0100002
406,167572.0,-0.47000027
410,167615.0,0.4699993
416,167658.0,0.5799999
420,167701.0,0.5
426,167744.0,0.019999504
428,167787.0,-0.42000008
434,167830.0,-0.5800009
442,167873.0,-0.6600008
446,167916.0,-0.45000076
448,167959.0,-0.42000008
456,168002.0,-0.71000004
460,168045.0,-0.7800007
468,168088.0,-0.78999996
470,168131.0,-0.77000046
478,168174.0,-0.47000027
484,168217.0,-0.5300007
488,168260.0,-0.6700001
492,168303.0,-0.7300005
498,168346.0,-0.94000053
502,168389.0,-0.97000027
508,168432.0,-0.9800005
512,168475.0,-1.1400003
522,168518.0,-0.9800005
524,168561.0,-0.6600008
528,168604.0,-0.7600002
532,168647.0,-1.0
538,168690.0,-1.1300001
544,168733.0,-1.1600008
548,168776.0,-1.0100002
554,168819.0,-0.6800003
560,168862.0,-0.6000004
566,168905.0,-1.0
568,168948.0,-1.4200001
576,168991.0,-1.6600008
584,169034.0,-1.6200008
586,169077.0,-1.2200003
592,169120.0,-1.0600004
596,169163.0,-1.3300009
602,169206.0,-1.7800007
606,169249.0,-1.8100004
610,169292.0,-1.4000006
616,169335.0,-1.3700008
622,169378.0,-1.25
626,169421.0,-0.87000084
630,169464.0,-0.72000027
638,169507.0,-0.96000004
640,169550.0,-1.3000002
646,169593.0,-1.4000006
660,169636.0,-1.1800003
662,169679.0,-1.0800009
664,169722.0,-1.1900005
666,169765.0,-1.3400002
674,169808.0,-1.3600006
678,169851.0,-1.3700008
684,169894.0,-1.3400002
688,169937.0,-1.29
692,169980.0,-1.3200006
698,170023.0,-1.2400007
702,170066.0,-1.3000002
712,170109.0,-1.3800001
716,170152.0,-1.21
720,170195.0,-1.3400002
722,170238.0,-1.3200006
730,170281.0,-1.1100006
736,170324.0,-1.04
740,170367.0,-1.4400005
744,170410.0,-1.7000008
756,170453.0,-1.79
758,170496.0,-1.8200006
762,170539.0,-1.6700001
764,170582.0,-1.29
772,170625.0,-1.04
774,170668.0,-1.0700006
780,170711.0,-1.4300003
788,170754.0,-1.8000002
790,170797.0,-2.1000004
796,170840.0,-2.2100005
802,170883.0,-1.9200006
808,170926.0,-1.7000008
812,170969.0,-2.0800004
818,171012.0,-2.4600005
822,171055.0,-2.4000006
828,171098.0,-2.2800002
832,171141.0,-2.2600002
840,171184.0,-2.1400003
842,171227.0,-2.0200005
850,171270.0,-2.1000004
854,171313.0,-2.1400003
856,171356.0,-1.9900002
864,171399.0,-1.5700006
870,171442.0,-1.4200001
872,171485.0,-1.7700005
880,171528.0,-2.0100002
884,171571.0,-1.8000002
892,171614.0,-1.5900002
894,171657.0,-1.54
902,171700.0,-1.6000004
906,171743.0,-1.6200008
912,171786.0,-1.6300001
914,171829.0,-1.4000006
920,171872.0,-1.0600004
924,171915.0,-0.53999996
932,171958.0,-0.11000061
934,172001.0,0.07999992
942,172044.0,-0.35000038
946,172087.0,-0.8500004
952,172130.0,-1.1200008
956,172173.0,-0.9800005
964,172216.0,-0.70000076
966,172259.0,-0.78999996
978,172302.0,-1.0700006
980,172345.0,-1.0500002
982,172388.0,-0.59000015
988,172431.0,-0.46000004
992,172474.0,-0.26000023
998,172517.0,0.09999943
1002,172560.0,0.5899992
1012,172603.0,0.67999935
1014,172646.0,0.32999992
1020,172689.0,-0.14000034
1024,172732.0,-0.4100008
1028,172775.0,-0.5800009
1034,172818.0,-0.5300007
1040,172861.0,-0.52000046
1044,172904.0,-0.5500002
1050,172947.0,-0.71000004
1056,172990.0,-0.8600006
1062,173033.0,-0.5500002
1064,173076.0,-0.06000042
1072,173119.0,0.28999996
1076,173162.0,0.25
1082,173205.0,0.119999886
1084,173248.0,0.119999886
1092,173291.0,0.22999954
1096,173334.0,0.0
1098,173377.0,-0.19000053
1106,173420.0,-0.26000023
1110,173463.0,-0.32000065
1116,173506.0,-0.6300001
1120,173549.0,-1.1000004
1128,173592.0,-1.6400003
1130,173635.0,-2.0400004
1138,173678.0,-2.8700004
1142,173721.0,-4.1700006
1148,173764.0,-4.51
1154,173807.0,-2.7100005
1156,173850.0,0.28999996
1162,173893.0,6.9399996
1170,173936.0,12.2699995
1172,173979.0,15.489999
1178,174022.0,15.54
1184,174065.0,14.72
1190,174108.0,10.409999
1194,174151.0,3.4499998
1200,174194.0,-2.8800006
1202,174237.0,-8.22
1212,174280.0,-14.650001
1214,174323.0,-11.68
1222,174366.0,-10.110001
1224,174409.0,-10.790001
1234,174452.0,-10.790001
1236,174495.0,-9.740001
1242,174538.0,-9.690001
1244,174581.0,-8.27
1252,174624.0,-3.5200005
1256,174667.0,2.9299994
1260,174710.0,8.79
1266,174753.0,13.28
1272,174796.0,11.06
1276,174839.0,6.8900003
1282,174882.0,3.8199997
1288,174925.0,1.2299995
1292,174968.0,-0.5300007
1296,175011.0,-1.5900002
1304,175054.0,-1.6100006
1310,175097.0,-1.6600008
1312,175140.0,-1.3300009
1318,175183.0,-0.62000084
1320,175226.0,-0.3800001
1328,175269.0,-0.09000015
1334,175312.0,0.13999939
1336,175355.0,0.059999466
1342,175398.0,0.3199997
