i,time,ax
402,82317.0,0.13999939
406,82360.0,0.029999733
412,82403.0,0.10999966
416,82446.0,0.12999916
424,82489.0,0.09999943
426,82532.0,0.12999916
434,82575.0,0.17999935
438,82618.0,0.12999916
442,82661.0,0.09999943
448,82704.0,0.10999966
454,82747.0,0.049999237
458,82790.0,0.18999958
464,82833.0,0.15999985
470,82876.0,0.0899992
474,82919.0,0.16999912
480,82962.0,0.119999886
482,83005.0,0.10999966
490,83048.0,0.12999916
502,83091.0,0.09999943
504,83134.0,0.09999943
506,83177.0,0.019999504
508,83220.0,0.049999237
518,83263.0,0.03999996
520,83306.0,0.07999992
526,83349.0,-0.08000088
530,83392.0,-0.07000065
536,83435.0,-0.13000011
542,83478.0,-0.28999996
546,83521.0,-0.4800005
552,83564.0,-0.94000053
558,83607.0,-0.87000084
562,83650.0,-0.6100006
566,83693.0,-0.6600008
570,83736.0,-1.0800009
578,83779.0,-1.6900005
582,83822.0,-1.3200006
586,83865.0,-0.5800009
592,83908.0,-0.4100008
598,83951.0,-0.34000015
602,83994.0,-0.19000053
608,84037.0,0.13999939
614,84080.0,0.4699993
618,84123.0,1.0199995
626,84166.0,1.3299999
630,84209.0,1.4199991
632,84252.0,1.3499994
640,84295.0,1.0199995
644,84338.0,0.8199997
650,84381.0,0.7399998
654,84424.0,0.96000004
662,84467.0,0.77999973
666,84510.0,0.17999935
672,84553.0,0.0
676,84596.0,-0.1600008
680,84639.0,-0.37000084
686,84682.0,-0.46000004
688,84725.0,-0.6600008
696,84768.0,-0.39000034
698,84811.0,-0.42000008
706,84854.0,-0.3800001
710,84897.0,-0.35000038
716,84940.0,-0.28999996
720,84983.0,-0.20000076
728,85026.0,-0.40000057
730,85069.0,-0.08000088
738,85112.0,-0.31000042
742,85155.0,-0.32000065
746,85198.0,-0.27000046
752,85241.0,-0.2300005
756,85284.0,-0.28999996
762,85327.0,-0.24000072
768,85370.0,-0.26000023
774,85413.0,-0.31000042
776,85456.0,-0.2300005
784,85499.0,-0.40000057
788,85542.0,-0.31000042
794,85585.0,-0.32000065
798,85628.0,-0.40000057
806,85671.0,-0.6600008
808,85714.0,-0.44000053
818,85757.0,-0.3800001
822,85800.0,-0.6500006
824,85843.0,-0.62000084
830,85886.0,-0.82000065
834,85929.0,-0.34000015
840,85972.0,0.049999237
846,86015.0,-0.44000053
850,86058.0,-1.1500006
856,86101.0,-1.9300003
860,86144.0,-2.0700006
868,86187.0,-1.6800003
870,86230.0,-0.71000004
876,86273.0,1.5199995
882,86316.0,5.0999994
888,86359.0,8.53
892,86402.0,12.9800005
898,86445.0,17.02
902,86488.0,12.149999
906,86531.0,5.8499994
914,86574.0,-0.6500006
916,86617.0,-17.460001
922,86660.0,-14.700001
928,86703.0,-6.4600005
932,86746.0,-10.55
938,86789.0,-10.92
944,86832.0,-8.700001
948,86875.0,-8.31
954,86918.0,-9.3
960,86961.0,-11.570001
964,87004.0,-10.900001
974,87047.0,-9.440001
976,87090.0,-7.8100004
982,87133.0,3.2799997
984,87176.0,6.79
990,87219.0,8.499999
996,87262.0,8.46
1002,87305.0,7.159999
1006,87348.0,4.37
1010,87391.0,5.0599995
1016,87434.0,4.5
1022,87477.0,5.7
1026,87520.0,3.9699993
1032,87563.0,1.8499994
1034,87606.0,0.6899996
1042,87649.0,-0.53999996
1046,87692.0,0.54999924
1052,87735.0,0.2699995
1056,87778.0,-0.6500006
1064,87821.0,0.25
1066,87864.0,-0.12000084
1072,87907.0,-0.62000084
1078,87950.0,-1.2300005
1082,87993.0,-1.9000006
1088,88036.0,-1.8900003
1094,88079.0,-2.1400003
1098,88122.0,-2.2500005
1104,88165.0,-1.8000002
1110,88208.0,-1.5100002
1118,88251.0,-1.3400002
1122,88294.0,-1.2700005
1124,88337.0,-0.78999996
1128,88380.0,-0.40000057
1138,88423.0,-0.09000015
1142,88466.0,0.14999962
1144,88509.0,-0.08000088
1150,88552.0,-0.06000042
1156,88595.0,0.059999466
