i,time,ax
402,558185.0,-0.5600004
408,558238.0,-0.5600004
414,558291.0,-0.42000008
426,558344.0,-0.26000023
428,558397.0,-0.4300003
434,558450.0,-0.57000065
442,558503.0,-0.5500002
452,558556.0,-0.32000065
454,558609.0,-0.33000088
462,558662.0,-0.46000004
466,558715.0,-0.4100008
476,558768.0,-0.42000008
482,558821.0,-0.4300003
486,558874.0,-0.40000057
494,558927.0,-0.45000076
498,558980.0,-0.47000027
510,559033.0,-0.40000057
512,559086.0,-0.39000034
518,559139.0,-0.44000053
524,559192.0,-0.4100008
530,559245.0,-0.4800005
538,559298.0,-0.47000027
544,559351.0,-0.34000015
548,559404.0,-0.34000015
554,559457.0,-0.47000027
562,559510.0,-0.53999996
568,559563.0,-0.3600006
576,559616.0,-0.4100008
582,559669.0,-0.32000065
588,559722.0,-0.39000034
592,559775.0,-0.44000053
602,559828.0,-0.4100008
606,559881.0,-0.42000008
612,559934.0,-0.46000004
618,559987.0,-0.42000008
626,560040.0,-0.44000053
634,560093.0,-0.42000008
636,560146.0,-0.40000057
644,560199.0,-0.3600006
650,560252.0,-0.46000004
658,560305.0,-0.49000072
666,560358.0,-0.40000057
670,560411.0,-0.42000008
676,560464.0,-0.44000053
682,560517.0,-0.46000004
690,560570.0,-0.45000076
696,560623.0,-0.4800005
704,560676.0,-0.5100002
708,560729.0,-0.47000027
714,560782.0,-0.5
720,560835.0,-0.33000088
728,560888.0,-0.2300005
734,560941.0,-0.31000042
740,560994.0,-0.52000046
748,561047.0,-0.7400007
758,561100.0,-0.97000027
760,561153.0,-1.3200006
764,561206.0,-1.3100004
772,561259.0,-0.87000084
778,561312.0,-0.37000084
784,561365.0,-0.1800003
792,561418.0,-1.2400007
798,561471.0,-0.52000046
802,561524.0,-0.37000084
808,561577.0,-0.32000065
816,561630.0,0.21000004
822,561683.0,0.46000004
830,561736.0,0.25999928
836,561789.0,0.6699991
842,561842.0,0.5199995
850,561895.0,0.53999996
854,561948.0,0.9699993
860,562001.0,0.77999973
866,562054.0,0.96000004
874,562107.0,1.1799994
880,562160.0,1.0
888,562213.0,0.8999996
892,562266.0,0.53999996
898,562319.0,0.7399998
904,562372.0,1.1099997
912,562425.0,1.1699991
920,562478.0,0.53999996
926,562531.0,0.35999966
930,562584.0,0.32999992
938,562637.0,0.16999912
944,562690.0,0.009999275
948,562743.0,-0.15000057
956,562796.0,-0.06000042
962,562849.0,0.16999912
968,562902.0,0.28999996
980,562955.0,0.3399992
984,563008.0,0.16999912
988,563061.0,0.21999931
994,563114.0,0.13999939
1002,563167.0,0.15999985
1008,563220.0,0.14999962
1014,563273.0,0.16999912
1018,563326.0,0.14999962
1026,563379.0,0.28999996
1032,563432.0,0.21999931
1038,563485.0,0.0899992
1046,563538.0,0.21000004
1056,563591.0,1.25
1060,563644.0,2.4099998
1068,563697.0,3.6799994
1070,563750.0,5.7699995
1080,563803.0,10.28
1084,563856.0,19.43
1088,563909.0,7.5199995
1094,563962.0,-4.8100004
1102,564015.0,-14.210001
1108,564068.0,-11.89
1116,564121.0,-11.450001
1122,564174.0,-6.950001
1130,564227.0,-8.59
1132,564280.0,-10.5
1142,564333.0,-10.71
1146,564386.0,-9.1
1154,564439.0,-7.3300004
1160,564492.0,20.05
1168,564545.0,11.3
1172,564598.0,1.6999998
1178,564651.0,3.3199997
1184,564704.0,-1.3100004
1192,564757.0,-0.6800003
1198,564810.0,-0.62000084
1204,564863.0,-1.1000004
1212,564916.0,2.0999994
1218,564969.0,1.6399994
1222,565022.0,3.2799997
1230,565075.0,2.8999996
1242,565128.0,2.0499992
1244,565181.0,1.1099997
1248,565234.0,1.0999994
1256,565287.0,0.46000004
1262,565340.0,-0.26000023
1268,565393.0,-0.22000027
1272,565446.0,-0.8000002
1282,565499.0,-1.3600006
1286,565552.0,-1.8200006
1292,565605.0,-1.3700008
1300,565658.0,-1.29
1306,565711.0,-1.4100008
1314,565764.0,-1.2000008
1320,565817.0,-1.25
1324,565870.0,-1.6700001
1330,565923.0,-1.3000002
