i,time,ax,h
400,35723.0,7.72,0.0
402,35760.0,7.73,0.0
404,35760.0,7.73,0.0
406,35760.0,7.73,0.0
408,35797.0,7.7,0.0
410,35797.0,7.7,0.0
412,35797.0,7.7,0.0
414,35834.0,7.73,0.0
416,35871.0,7.8,0.0
418,35871.0,7.8,0.0
420,35908.0,7.71,0.0
422,35908.0,7.71,0.0
424,35908.0,7.71,0.0
426,35945.0,7.48,0.0
428,35982.0,7.22,0.0
430,35982.0,7.22,0.0
432,35982.0,7.22,0.0
434,35982.0,7.22,0.0
436,35982.0,7.22,0.0
438,36019.0,6.8,0.0
440,36019.0,6.8,0.0
442,36056.0,6.89,0.0
444,36093.0,8.97,0.0
446,36093.0,8.97,0.0
448,36130.0,10.87,0.0
450,36130.0,10.87,0.0
452,36167.0,9.44,0.0
454,36167.0,9.44,0.0
456,36204.0,7.05,0.0
458,36204.0,7.05,0.0
460,36204.0,7.05,0.0
462,36241.0,5.42,0.0
464,36241.0,5.42,0.0
466,36241.0,5.42,0.0
468,36241.0,5.42,0.0
470,36241.0,5.42,0.0
472,36241.0,5.42,0.0
474,36241.0,5.42,0.0
476,36278.0,3.63,0.0
478,36315.0,4.68,0.0
480,36352.0,11.08,0.0
482,36389.0,11.75,0.0
484,36426.0,8.81,0.0
486,36426.0,8.81,0.0
488,36463.0,7.41,0.0
490,36463.0,7.41,0.0
492,36500.0,5.56,0.0
494,36500.0,5.56,0.0
496,36537.0,4.39,0.0
498,36537.0,4.39,0.0
500,36574.0,4.37,0.0
502,36574.0,4.37,0.0
504,36574.0,4.37,0.0
506,36611.0,8.86,0.0
508,36611.0,8.86,0.0
510,36648.0,12.51,0.0
512,36648.0,12.51,0.0
514,36685.0,10.48,0.0
516,36685.0,10.48,0.0
518,36722.0,8.6,0.0
520,36722.0,8.6,0.0
522,36722.0,8.6,0.0
524,36759.0,6.86,0.0
526,36759.0,6.86,0.0
528,36796.0,5.32,0.0
530,36796.0,5.32,0.0
532,36833.0,3.96,0.0
534,36833.0,3.96,0.0
536,36833.0,3.96,0.0
538,36870.0,3.39,0.0
540,36870.0,3.39,0.0
542,36907.0,7.4,0.0
544,36944.0,11.86,0.0
546,36944.0,11.86,0.0
548,36944.0,11.86,0.0
550,36981.0,11.74,0.0
552,36981.0,11.74,0.0
554,36981.0,11.74,0.0
556,37018.0,8.7,0.0
558,37055.0,6.72,0.0
560,37055.0,6.72,0.0
562,37092.0,5.8,0.0
564,37092.0,5.8,0.0
566,37092.0,5.8,0.0
568,37129.0,4.69,0.0
570,37166.0,4.14,0.0
572,37166.0,4.14,0.0
574,37166.0,4.14,0.0
576,37203.0,6.75,0.0
578,37203.0,6.75,0.0
580,37203.0,6.75,0.0
582,37240.0,10.41,0.0
584,37240.0,10.41,0.0
586,37240.0,10.41,0.0
588,37240.0,10.41,0.0
590,37277.0,11.09,0.0
592,37277.0,11.09,0.0
594,37277.0,11.09,0.0
596,37277.0,11.09,0.0
598,37314.0,9.28,0.0
600,37351.0,7.27,0.0
602,37388.0,5.92,0.0
604,37425.0,4.87,0.0
606,37462.0,4.11,0.0
608,37462.0,4.11,0.0
610,37462.0,4.11,0.0
612,37462.0,4.11,0.0
614,37499.0,6.07,0.0
616,37536.0,10.47,0.0
618,37536.0,10.47,0.0
620,37573.0,11.77,0.0
622,37573.0,11.77,0.0
624,37573.0,11.77,0.0
626,37610.0,10.3,0.0
628,37610.0,10.3,0.0
630,37647.0,6.95,0.0
632,37647.0,6.95,0.0
634,37684.0,5.17,0.0
636,37684.0,5.17,0.0
638,37684.0,5.17,0.0
640,37684.0,5.17,0.0
642,37721.0,3.81,0.0
644,37758.0,3.12,0.0
646,37795.0,8.02,0.0
648,37795.0,8.02,0.0
650,37795.0,8.02,0.0
652,37795.0,8.02,0.0
654,37832.0,11.43,0.0
656,37869.0,9.8,0.0
658,37869.0,9.8,0.0
660,37906.0,7.45,0.0
662,37906.0,7.45,0.0
664,37906.0,7.45,0.0
666,37943.0,6.47,0.0
668,37943.0,6.47,0.0
670,37980.0,5.75,0.0
672,37980.0,5.75,0.0
674,38017.0,7.01,0.0
676,38017.0,7.01,0.0
678,38054.0,8.15,0.0
680,38054.0,8.15,0.0
682,38091.0,7.86,0.0
684,38091.0,7.86,0.0
686,38128.0,7.59,0.0
688,38128.0,7.59,0.0
690,38128.0,7.59,0.0
692,38165.0,7.51,0.0
694,38165.0,7.51,0.0
696,38202.0,7.28,0.0
698,38202.0,7.28,0.0
700,38239.0,7.29,0.0
702,38239.0,7.29,0.0
704,38239.0,7.29,0.0
706,38239.0,7.29,0.0
708,38239.0,7.29,0.0
