i,time,ax,h
400,17498.0,10.15,0.0
402,17498.0,10.15,0.0
404,17534.0,10.41,0.0
406,17534.0,10.41,0.0
408,17534.0,10.41,0.0
410,17570.0,10.24,0.0
412,17606.0,10.2,0.0
414,17606.0,10.2,0.0
416,17606.0,10.2,0.0
418,17642.0,10.25,0.0
420,17642.0,10.25,0.0
422,17678.0,10.24,0.0
424,17678.0,10.24,0.0
426,17678.0,10.24,0.0
428,17714.0,10.11,0.0
430,17750.0,10.11,0.0
432,17750.0,10.11,0.0
434,17750.0,10.11,0.0
436,17786.0,10.02,0.0
438,17786.0,10.02,0.0
440,17822.0,9.94,0.0
442,17858.0,9.98,0.0
444,17858.0,9.98,0.0
446,17858.0,9.98,0.0
448,17894.0,10.07,0.0
450,17894.0,10.07,0.0
452,17894.0,10.07,0.0
454,17930.0,10.1,0.0
456,17966.0,9.98,0.0
458,17966.0,9.98,0.0
460,18002.0,9.89,0.0
462,18002.0,9.89,0.0
464,18002.0,9.89,0.0
466,18038.0,9.72,0.0
468,18038.0,9.72,0.0
470,18074.0,9.65,0.0
472,18074.0,9.65,0.0
474,18110.0,9.72,0.0
476,18110.0,9.72,0.0
478,18110.0,9.72,0.0
480,18110.0,9.72,0.0
482,18110.0,9.72,0.0
484,18146.0,9.75,0.0
486,18182.0,9.75,0.0
488,18218.0,9.83,0.0
490,18254.0,9.91,0.0
492,18254.0,9.91,0.0
494,18254.0,9.91,0.0
496,18290.0,9.8,0.0
498,18290.0,9.8,0.0
500,18326.0,9.78,0.0
502,18326.0,9.78,0.0
504,18362.0,9.75,0.0
506,18362.0,9.75,0.0
508,18398.0,9.67,0.0
510,18398.0,9.67,0.0
512,18434.0,9.63,0.0
514,18434.0,9.63,0.0
516,18434.0,9.63,0.0
518,18470.0,9.63,0.0
520,18470.0,9.63,0.0
522,18506.0,9.74,0.0
524,18506.0,9.74,0.0
526,18542.0,9.8,0.0
528,18542.0,9.8,0.0
530,18578.0,9.83,0.0
532,18578.0,9.83,0.0
534,18614.0,9.78,0.0
536,18614.0,9.78,0.0
538,18650.0,9.78,0.0
540,18650.0,9.78,0.0
542,18686.0,9.74,0.0
544,18686.0,9.74,0.0
546,18722.0,9.66,0.0
548,18722.0,9.66,0.0
550,18722.0,9.66,0.0
552,18722.0,9.66,0.0
554,18758.0,9.66,0.0
556,18794.0,9.46,0.0
558,18794.0,9.46,0.0
560,18830.0,9.02,0.0
562,18830.0,9.02,0.0
564,18866.0,8.09,0.0
566,18866.0,8.09,0.0
568,18902.0,7.61,0.0
570,18902.0,7.61,0.0
572,18902.0,7.61,0.0
574,18938.0,12.33,0.0
576,18938.0,12.33,0.0
578,18974.0,19.43,0.0
580,18974.0,19.43,0.0
582,18974.0,19.43,0.0
584,19010.0,18.99,0.0
586,19046.0,11.87,0.0
588,19046.0,11.87,0.0
590,19082.0,4.27,0.0
592,19082.0,4.27,0.0
594,19082.0,4.27,0.0
596,19118.0,-1.32,0.0
598,19118.0,-1.32,0.0
600,19118.0,-1.32,0.0
602,19118.0,-1.32,0.0
604,19118.0,-1.32,0.0
606,19154.0,-3.59,0.0
608,19190.0,-0.75,0.0
610,19226.0,7.75,0.0
612,19262.0,15.16,0.0
614,19262.0,15.16,0.0
616,19298.0,21.33,0.0
618,19298.0,21.33,0.0
620,19334.0,20.47,0.0
622,19334.0,20.47,0.0
624,19334.0,20.47,0.0
626,19370.0,15.72,0.0
628,19370.0,15.72,0.0
630,19406.0,10.13,0.0
632,19406.0,10.13,0.0
634,19442.0,4.11,0.0
636,19442.0,4.11,0.0
638,19478.0,0.18,0.0
640,19478.0,0.18,0.0
642,19514.0,-0.47,0.0
644,19514.0,-0.47,0.0
646,19550.0,2.55,0.0
648,19550.0,2.55,0.0
650,19550.0,2.55,0.0
652,19586.0,11.51,0.0
654,19622.0,19.78,0.0
656,19622.0,19.78,0.0
658,19622.0,19.78,0.0
660,19658.0,20.71,0.0
662,19658.0,20.71,0.0
664,19694.0,14.45,0.0
666,19694.0,14.45,0.0
668,19730.0,7.29,0.0
670,19730.0,7.29,0.0
672,19766.0,2.3,0.0
674,19766.0,2.3,0.0
676,19802.0,0.23,0.0
678,19802.0,0.23,0.0
680,19802.0,0.23,0.0
682,19802.0,0.23,0.0
684,19802.0,0.23,0.0
686,19838.0,2.87,0.0
688,19874.0,12.92,0.0
690,19910.0,18.32,0.0
692,19910.0,18.32,0.0
694,19910.0,18.32,0.0
696,19946.0,15.47,0.0
698,19982.0,10.3,0.0
700,19982.0,10.3,0.0
702,20018.0,6.94,0.0
704,20018.0,6.94,0.0
706,20018.0,6.94,0.0
708,20054.0,6.17,0.0
710,20054.0,6.17,0.0
712,20090.0,6.78,0.0
714,20090.0,6.78,0.0
716,20126.0,8.37,0.0
718,20126.0,8.37,0.0
720,20126.0,8.37,0.0
722,20162.0,9.85,0.0
724,20162.0,9.85,0.0
726,20162.0,9.85,0.0
728,20198.0,10.31,0.0
730,20234.0,10.19,0.0
732,20270.0,9.88,0.0
734,20270.0,9.88,0.0
736,20270.0,9.88,0.0
738,20306.0,9.72,0.0
740,20342.0,9.65,0.0
742,20342.0,9.65,0.0
