i,time,ax
400,847095.0,0.09999943
402,847118.0,0.12999916
406,847141.0,0.19999981
408,847164.0,0.29999924
412,847187.0,0.35999966
414,847210.0,0.3399992
416,847233.0,0.30999947
420,847256.0,0.3199997
422,847279.0,0.3399992
426,847302.0,0.34999943
428,847325.0,0.29999924
430,847348.0,0.21999931
434,847371.0,0.15999985
438,847394.0,0.049999237
440,847417.0,0.019999504
442,847440.0,0.09999943
446,847463.0,0.19999981
448,847486.0,0.29999924
450,847509.0,0.3199997
452,847532.0,0.27999973
456,847555.0,0.23999977
458,847578.0,0.19999981
466,847601.0,0.22999954
470,847624.0,0.3399992
472,847647.0,0.3899994
474,847670.0,0.32999992
476,847693.0,0.25999928
478,847716.0,0.18999958
480,847739.0,0.12999916
482,847762.0,0.15999985
484,847785.0,0.21000004
486,847808.0,0.22999954
488,847831.0,0.16999912
490,847854.0,0.12999916
494,847877.0,0.119999886
498,847900.0,0.16999912
500,847923.0,0.28999996
502,847946.0,0.30999947
506,847969.0,0.28999996
508,847992.0,0.22999954
512,848015.0,0.23999977
514,848038.0,0.21999931
516,848061.0,0.19999981
518,848084.0,0.18999958
522,848107.0,0.15999985
524,848130.0,0.14999962
526,848153.0,0.25999928
530,848176.0,0.35999966
534,848199.0,0.32999992
536,848222.0,0.25999928
538,848245.0,0.22999954
542,848268.0,0.25999928
544,848291.0,0.22999954
546,848314.0,0.13999939
548,848337.0,0.12999916
552,848360.0,0.14999962
556,848383.0,0.17999935
558,848406.0,0.17999935
560,848429.0,0.16999912
562,848452.0,0.21999931
566,848475.0,0.2699995
570,848498.0,0.2699995
572,848521.0,0.23999977
574,848544.0,0.27999973
576,848567.0,0.3199997
580,848590.0,0.27999973
586,848613.0,0.18999958
588,848636.0,0.17999935
590,848659.0,0.19999981
592,848682.0,0.27999973
594,848705.0,0.35999966
600,848728.0,0.3699999
602,848751.0,0.30999947
604,848774.0,0.22999954
606,848797.0,0.19999981
608,848820.0,0.14999962
610,848843.0,0.09999943
614,848866.0,0.069999695
616,848889.0,0.059999466
618,848912.0,0.09999943
620,848935.0,0.18999958
626,848958.0,0.25999928
628,848981.0,0.30999947
630,849004.0,0.41999912
632,849027.0,0.42999935
636,849050.0,0.2699995
638,849073.0,0.09999943
640,849096.0,0.059999466
644,849119.0,0.0899992
646,849142.0,0.14999962
648,849165.0,0.19999981
652,849188.0,0.21000004
654,849211.0,0.22999954
656,849234.0,0.35999966
660,849257.0,0.42999935
662,849280.0,0.41999912
664,849303.0,0.40999985
668,849326.0,0.43999958
670,849349.0,0.3899994
674,849372.0,0.32999992
676,849395.0,0.22999954
678,849418.0,0.13999939
684,849441.0,0.0899992
686,849464.0,0.12999916
688,849487.0,0.21999931
690,849510.0,0.23999977
692,849533.0,0.12999916
696,849556.0,-0.020000458
698,849579.0,-0.28999996
706,849602.0,-0.7300005
708,849625.0,-1.4200001
710,849648.0,-2.4400005
712,849671.0,-3.3500004
714,849694.0,-3.9400005
716,849717.0,-4.8500004
718,849740.0,-6.1600003
720,849763.0,-7.2200003
726,849786.0,-7.5800004
728,849809.0,-6.8300004
730,849832.0,-5.5000005
732,849855.0,-4.5700006
734,849878.0,-3.6300006
736,849901.0,-2.6600003
740,849924.0,-1.9600005
742,849947.0,-1.4300003
744,849970.0,-0.1600008
748,849993.0,1.3499994
756,850016.0,1.9899998
758,850039.0,3.3499994
760,850062.0,5.87
762,850085.0,7.2200003
764,850108.0,7.3900003
766,850131.0,8.62
768,850154.0,10.679999
770,850177.0,11.13
774,850200.0,10.7
776,850223.0,10.61
778,850246.0,10.39
782,850269.0,9.819999
784,850292.0,9.55
786,850315.0,10.009999
790,850338.0,10.45
792,850361.0,10.64
796,850384.0,10.61
798,850407.0,10.249999
802,850430.0,8.739999
804,850453.0,6.3499994
806,850476.0,3.3899994
810,850499.0,0.52999973
812,850522.0,-1.6500006
814,850545.0,-2.3500004
816,850568.0,-0.2800007
820,850591.0,-1.0
824,850614.0,-5.9900007
828,850637.0,-9.530001
830,850660.0,-9.870001
832,850683.0,-9.580001
834,850706.0,-9.38
840,850729.0,-9.88
842,850752.0,-10.820001
844,850775.0,-11.3
846,850798.0,-10.7300005
848,850821.0,-10.14
850,850844.0,-10.110001
852,850867.0,-10.440001
856,850890.0,-10.18
858,850913.0,-9.820001
862,850936.0,-9.67
864,850959.0,-10.05
868,850982.0,-10.200001
870,851005.0,-10.35
872,851028.0,-9.5
874,851051.0,-8.070001
878,851074.0,-6.1100006
880,851097.0,-2.4100003
882,851120.0,3.9499998
886,851143.0,10.329999
888,851166.0,17.77
892,851189.0,22.399998
896,851212.0,20.119999
898,851235.0,17.149998
900,851258.0,15.419999
902,851281.0,11.06
908,851304.0,5.3199997
910,851327.0,0.8199997
912,851350.0,-1.8500004
914,851373.0,-3.0100002
916,851396.0,-3.6900005
922,851419.0,-3.8200006
926,851442.0,-3.4900002
928,851465.0,-2.8600006
930,851488.0,-1.5500002
932,851511.0,-0.06000042
934,851534.0,1.3099995
938,851557.0,1.8199997
940,851580.0,1.1999998
944,851603.0,0.30999947
946,851626.0,-0.21000004
948,851649.0,-0.34000015
950,851672.0,-0.27000046
952,851695.0,-0.06000042
954,851718.0,0.18999958
956,851741.0,0.18999958
958,851764.0,0.14999962
960,851786.0,0.27999973
962,851810.0,0.29999924
964,851833.0,0.27999973
966,851856.0,0.13999939
970,851879.0,0.119999886
