i,time,ax,h
400,10547.0,0.3399992,0.0
402,10583.0,0.37999916,0.0
404,10619.0,0.34999943,0.0
406,10655.0,0.25999928,0.0
408,10691.0,0.25999928,0.0
410,10727.0,0.25999928,0.0
412,10763.0,0.27999973,0.0
414,10799.0,0.28999996,0.0
416,10835.0,0.25,0.0
418,10871.0,0.15999985,0.0
420,10907.0,0.15999985,0.0
422,10943.0,0.09999943,0.0
424,10979.0,0.14999962,0.0
426,11015.0,0.3899994,0.0
428,11051.0,1.2399998,0.0
430,11087.0,2.71,0.0
432,11123.0,4.41,0.0
434,11159.0,3.3199997,0.0
436,11195.0,1.1399994,0.0
438,11231.0,-1.3400002,0.0
440,11267.0,-4.0800004,0.0
442,11303.0,-6.8700004,0.0
444,11339.0,-6.13,0.0
446,11375.0,-1.4900007,0.0
448,11411.0,3.2799997,0.0
450,11447.0,6.7300005,0.0
452,11483.0,7.54,0.0
454,11519.0,5.1499996,0.0
456,11555.0,1.0999994,0.0
458,11591.0,-2.3700004,0.0
460,11627.0,-3.9900002,0.0
462,11663.0,-6.3500004,0.0
464,11699.0,-7.0700006,0.0
466,11735.0,-4.6100006,0.0
468,11771.0,0.34999943,0.0
470,11807.0,5.9799995,0.0
472,11843.0,8.31,0.0
474,11879.0,6.8,0.0
476,11915.0,2.62,0.0
478,11951.0,-1.7700005,0.0
480,11987.0,-4.76,0.0
482,12023.0,-5.4600005,0.0
484,12059.0,-4.5000005,0.0
486,12095.0,-1.1700001,0.0
488,12131.0,1.7599993,0.0
490,12167.0,2.9099998,0.0
492,12203.0,2.5999994,0.0
494,12239.0,1.1599998,0.0
496,12275.0,-0.05000019,0.0
498,12311.0,-0.47000027,0.0
500,12347.0,-0.45000076,0.0
502,12383.0,-0.17000008,0.0
504,12419.0,0.119999886,0.0
506,12455.0,0.2699995,0.0
508,12491.0,0.5,0.0
510,12527.0,0.54999924,0.0
512,12563.0,0.48999977,0.0
514,12599.0,0.3699999,0.0
516,12635.0,0.2699995,0.0
518,12671.0,0.25,0.0
520,12707.0,0.03999996,0.0
522,12743.0,0.17999935,0.0
524,12779.0,0.0,0.0
526,12815.0,0.049999237,0.0
528,12851.0,0.019999504,0.0
530,12887.0,-0.06000042,0.0
532,12923.0,-0.05000019,0.0
534,12959.0,-0.24000072,0.0
536,12995.0,-0.8100004,0.0
538,13031.0,-0.94000053,0.0
540,13067.0,0.03999996,0.0
542,13103.0,3.5199995,0.0
544,13139.0,6.499999,0.0
546,13175.0,8.04,0.0
548,13211.0,5.5699997,0.0
550,13247.0,0.069999695,0.0
552,13283.0,-5.3800006,0.0
554,13319.0,-8.700001,0.0
556,13355.0,-10.81,0.0
558,13391.0,-9.93,0.0
560,13427.0,-3.9600005,0.0
562,13463.0,3.4099998,0.0
564,13499.0,9.88,0.0
566,13535.0,11.829999,0.0
568,13571.0,6.71,0.0
570,13607.0,0.92999935,0.0
572,13643.0,-3.0600004,0.0
574,13679.0,-5.51,0.0
576,13715.0,-4.9300003,0.0
578,13751.0,-1.5800009,0.0
580,13787.0,1.0199995,0.0
582,13823.0,2.0,0.0
584,13859.0,1.1399994,0.0
586,13895.0,0.60999966,0.0
588,13931.0,0.30999947,0.0
590,13967.0,0.029999733,0.0
592,14003.0,0.25999928,0.0
594,14039.0,0.3199997,0.0
596,14075.0,0.17999935,0.0
598,14111.0,0.27999973,0.0
600,14147.0,0.23999977,0.0
602,14183.0,0.119999886,0.0
604,14219.0,0.07999992,0.0
606,14255.0,0.049999237,0.0
608,14291.0,-0.030000687,0.0
610,14327.0,-0.34000015,0.0
612,14363.0,-0.8100004,0.0
614,14399.0,-1.2400007,0.0
616,14435.0,-0.84000015,0.0
618,14471.0,1.0199995,0.0
620,14507.0,4.049999,0.0
622,14543.0,6.4299994,0.0
624,14579.0,6.12,0.0
626,14615.0,2.3499994,0.0
628,14651.0,-2.4200006,0.0
630,14687.0,-7.2400007,0.0
632,14723.0,-9.81,0.0
634,14759.0,-8.990001,0.0
636,14795.0,-3.4000006,0.0
638,14831.0,4.549999,0.0
640,14867.0,11.429999,0.0
642,14903.0,10.679999,0.0
644,14939.0,3.5,0.0
646,14975.0,-2.6000004,0.0
648,15011.0,-5.3,0.0
650,15047.0,-4.8400006,0.0
652,15083.0,-1.8200006,0.0
654,15119.0,0.5,0.0
656,15155.0,1.7199993,0.0
658,15191.0,1.46,0.0
660,15227.0,0.40999985,0.0
662,15263.0,0.03999996,0.0
664,15299.0,-0.08000088,0.0
666,15335.0,0.13999939,0.0
668,15371.0,0.3899994,0.0
670,15407.0,0.22999954,0.0
672,15443.0,0.25999928,0.0
674,15479.0,0.3899994,0.0
676,15515.0,0.22999954,0.0
678,15551.0,0.12999916,0.0
680,15587.0,0.10999966,0.0
682,15623.0,-0.05000019,0.0
684,15659.0,0.13999939,0.0
686,15695.0,0.30999947,0.0
688,15731.0,0.25,0.0
690,15767.0,0.34999943,0.0
692,15803.0,0.2699995,0.0
694,15839.0,0.17999935,0.0
696,15875.0,0.19999981,0.0
698,15911.0,0.09999943,0.0
700,15947.0,0.119999886,0.0
702,15983.0,0.12999916,0.0
704,16019.0,0.15999985,0.0
706,16055.0,0.12999916,0.0
708,16091.0,0.10999966,0.0
710,16127.0,0.119999886,0.0
712,16163.0,0.13999939,0.0
714,16199.0,0.21999931,0.0
716,16235.0,0.23999977,0.0
718,16271.0,0.30999947,0.0
720,16307.0,0.21000004,0.0
722,16343.0,0.23999977,0.0
724,16379.0,0.22999954,0.0
726,16415.0,0.16999912,0.0
728,16451.0,0.16999912,0.0
