i,time,ax,h
400,626297.0,-0.7800007,0.0
402,626297.0,-0.7800007,0.0
404,626333.0,-0.89000034,0.0
406,626333.0,-0.89000034,0.0
408,626333.0,-0.89000034,0.0
410,626369.0,-0.84000015,0.0
412,626405.0,-0.8600006,0.0
414,626441.0,-0.8500004,0.0
416,626441.0,-0.8500004,0.0
418,626441.0,-0.8500004,0.0
420,626477.0,-0.82000065,0.0
422,626513.0,-0.87000084,0.0
424,626513.0,-0.87000084,0.0
426,626513.0,-0.87000084,0.0
428,626549.0,-0.8500004,0.0
430,626549.0,-0.8500004,0.0
432,626585.0,-0.84000015,0.0
434,626585.0,-0.84000015,0.0
436,626621.0,-0.8600006,0.0
438,626621.0,-0.8600006,0.0
440,626657.0,-0.5500002,0.0
442,626657.0,-0.5500002,0.0
444,626657.0,-0.5500002,0.0
446,626693.0,0.3199997,0.0
448,626729.0,0.5099993,0.0
450,626729.0,0.5099993,0.0
452,626765.0,-1.4100008,0.0
454,626765.0,-1.4100008,0.0
456,626765.0,-1.4100008,0.0
458,626765.0,-1.4100008,0.0
460,626801.0,-1.4200001,0.0
462,626801.0,-1.4200001,0.0
464,626801.0,-1.4200001,0.0
466,626801.0,-1.4200001,0.0
468,626837.0,-1.2700005,0.0
470,626873.0,-2.0700006,0.0
472,626909.0,-3.2300005,0.0
474,626909.0,-3.2300005,0.0
476,626945.0,-1.0700006,0.0
478,626981.0,2.1099997,0.0
480,626981.0,2.1099997,0.0
482,626981.0,2.1099997,0.0
484,627017.0,0.8199997,0.0
486,627017.0,0.8199997,0.0
488,627053.0,2.04,0.0
490,627053.0,2.04,0.0
492,627089.0,-1.1100006,0.0
494,627089.0,-1.1100006,0.0
496,627125.0,-3.4600005,0.0
498,627125.0,-3.4600005,0.0
500,627161.0,-1.9900002,0.0
502,627161.0,-1.9900002,0.0
504,627197.0,-4.1600003,0.0
506,627197.0,-4.1600003,0.0
508,627197.0,-4.1600003,0.0
510,627233.0,-2.8000002,0.0
