i,time,ax
402,24064.0,0.22999954
404,24087.0,0.13999939
406,24110.0,0.10999966
408,24133.0,0.119999886
410,24156.0,0.13999939
414,24179.0,0.13999939
416,24202.0,0.18999958
418,24225.0,0.23999977
422,24248.0,0.28999996
424,24271.0,0.28999996
426,24294.0,0.32999992
430,24317.0,0.32999992
432,24340.0,0.34999943
436,24363.0,0.39999962
438,24386.0,0.42999935
440,24409.0,0.37999916
444,24432.0,0.2699995
446,24455.0,0.21000004
448,24478.0,0.18999958
452,24501.0,0.18999958
454,24524.0,0.16999912
458,24547.0,0.119999886
462,24570.0,0.119999886
464,24593.0,0.119999886
466,24616.0,0.0899992
468,24639.0,0.0899992
472,24662.0,0.13999939
474,24685.0,0.13999939
476,24708.0,0.13999939
480,24731.0,0.15999985
482,24754.0,0.18999958
486,24777.0,0.16999912
490,24800.0,0.19999981
492,24823.0,0.23999977
494,24846.0,0.23999977
498,24869.0,0.17999935
500,24892.0,0.17999935
502,24915.0,0.14999962
504,24938.0,0.119999886
508,24961.0,0.17999935
510,24984.0,0.22999954
512,25007.0,0.22999954
516,25030.0,0.21000004
518,25053.0,0.21999931
520,25076.0,0.22999954
524,25099.0,0.15999985
526,25122.0,0.13999939
530,25145.0,0.21999931
532,25168.0,0.29999924
534,25191.0,0.27999973
538,25214.0,0.2699995
540,25237.0,0.34999943
544,25260.0,0.40999985
546,25283.0,0.3899994
548,25306.0,0.32999992
552,25329.0,0.27999973
556,25352.0,0.17999935
560,25375.0,0.0899992
562,25398.0,0.029999733
564,25421.0,0.03999996
566,25444.0,0.0899992
568,25467.0,0.10999966
574,25490.0,0.14999962
576,25513.0,0.21999931
578,25536.0,0.22999954
580,25559.0,0.18999958
582,25582.0,0.14999962
584,25605.0,0.13999939
588,25628.0,0.13999939
590,25651.0,0.17999935
592,25674.0,0.21000004
594,25697.0,0.21999931
598,25720.0,0.18999958
602,25743.0,0.14999962
604,25766.0,0.14999962
606,25789.0,0.19999981
608,25812.0,0.2699995
612,25835.0,0.28999996
616,25858.0,0.3199997
618,25881.0,0.3399992
620,25904.0,0.3399992
622,25927.0,0.27999973
626,25950.0,0.23999977
628,25973.0,0.18999958
630,25996.0,0.14999962
634,26019.0,0.16999912
638,26042.0,0.21000004
640,26065.0,0.27999973
642,26088.0,0.28999996
646,26111.0,0.30999947
648,26134.0,0.32999992
650,26157.0,0.30999947
654,26180.0,0.21000004
658,26203.0,0.10999966
660,26226.0,0.059999466
662,26249.0,0.03999996
664,26272.0,0.029999733
666,26295.0,0.07999992
672,26318.0,0.16999912
674,26341.0,0.21999931
676,26364.0,0.2699995
678,26387.0,0.30999947
680,26410.0,0.28999996
682,26433.0,0.19999981
684,26456.0,0.12999916
686,26479.0,0.14999962
688,26502.0,0.21000004
690,26525.0,0.2699995
692,26548.0,0.28999996
694,26571.0,0.27999973
696,26594.0,0.19999981
698,26617.0,0.09999943
700,26640.0,0.019999504
704,26663.0,0.029999733
706,26686.0,0.119999886
708,26709.0,0.22999954
710,26732.0,0.34999943
712,26755.0,0.41999912
718,26778.0,0.40999985
720,26801.0,0.3399992
722,26824.0,0.22999954
724,26847.0,0.17999935
726,26870.0,0.119999886
730,26893.0,0.0899992
732,26916.0,0.0899992
734,26939.0,0.10999966
736,26962.0,0.13999939
738,26985.0,0.19999981
740,27008.0,0.30999947
744,27031.0,0.46000004
746,27054.0,0.8499994
748,27077.0,1.8199997
754,27100.0,3.7399998
756,27123.0,5.5699997
758,27146.0,5.96
760,27169.0,5.3199997
762,27192.0,4.0099993
764,27215.0,2.8499994
768,27238.0,2.1599998
772,27261.0,0.48999977
774,27284.0,-2.0600004
776,27307.0,-4.4100003
778,27330.0,-6.4600005
782,27353.0,-7.9000006
784,27376.0,-9.150001
786,27399.0,-9.940001
788,27422.0,-9.89
792,27445.0,-9.52
794,27468.0,-8.55
798,27491.0,-6.3300004
802,27514.0,-3.1200004
804,27537.0,1.3599997
806,27560.0,5.4799995
808,27583.0,8.11
810,27606.0,10.399999
814,27629.0,8.2699995
816,27652.0,5.299999
820,27675.0,2.1799994
822,27698.0,0.049999237
824,27721.0,-1.2700005
828,27744.0,-2.0400004
830,27767.0,-2.6700006
832,27790.0,-3.0000005
836,27813.0,-2.8900003
838,27836.0,-2.3900003
842,27859.0,-1.5300007
844,27882.0,-0.5800009
846,27905.0,-0.09000015
850,27928.0,0.3199997
852,27951.0,0.7399998
856,27974.0,0.9899998
858,27997.0,0.9699993
860,28020.0,0.78999996
864,28043.0,0.5099993
866,28066.0,0.10999966
870,28089.0,-0.1800003
874,28112.0,-0.34000015
876,28135.0,-0.3600006
878,28158.0,-0.21000004
880,28181.0,-0.19000053
886,28204.0,-0.26000023
888,28227.0,-0.35000038
890,28250.0,-0.34000015
892,28273.0,-0.21000004
894,28296.0,-0.07000065
900,28319.0,-0.09000015
902,28342.0,-0.11000061
904,28365.0,-0.15000057
906,28388.0,-0.14000034
908,28411.0,-0.12000084
910,28434.0,-0.10000038
914,28457.0,0.21000004
916,28480.0,1.1799994
918,28503.0,3.08
922,28526.0,5.1499996
924,28549.0,5.8899994
928,28572.0,5.0199995
930,28595.0,3.2699995
932,28618.0,1.9499998
936,28641.0,0.6399994
938,28664.0,-0.97000027
940,28687.0,-2.8300004
942,28710.0,-4.78
946,28733.0,-6.55
948,28756.0,-8.150001
952,28779.0,-9.31
956,28802.0,-9.77
958,28825.0,-9.9800005
960,28848.0,-9.740001
962,28871.0,-8.360001
966,28894.0,-5.5600004
970,28917.0,-0.8100004
972,28940.0,3.8899994
974,28963.0,8.11
976,28986.0,9.919999
982,29009.0,8.069999
