i,time,ax
406,77628.0,-0.28999996
412,77681.0,0.0
418,77734.0,0.12999916
424,77787.0,0.15999985
432,77840.0,0.03999996
438,77893.0,-0.08000088
444,77946.0,-0.1600008
452,77999.0,-0.12000084
458,78052.0,-0.19000053
462,78105.0,-0.1600008
468,78158.0,-0.13000011
476,78211.0,-0.22000027
482,78264.0,-0.21000004
488,78317.0,-0.25
494,78370.0,-0.22000027
500,78423.0,0.39999962
508,78476.0,2.2799997
514,78529.0,3.1899996
522,78582.0,2.3599997
526,78635.0,0.37999916
534,78688.0,-2.4500003
538,78741.0,-4.8
546,78794.0,-6.42
552,78847.0,-7.1900005
558,78900.0,-5.1600003
568,78953.0,-3.6000004
572,79006.0,0.16999912
578,79059.0,5.589999
584,79112.0,5.7299995
592,79165.0,2.0599995
596,79218.0,-2.0000005
604,79271.0,-4.78
612,79324.0,-5.6500006
616,79377.0,-4.3300004
624,79430.0,-2.5900006
628,79483.0,0.3699999
636,79536.0,2.5199995
642,79589.0,1.3299999
648,79642.0,-1.1500006
654,79695.0,-2.5600004
660,79748.0,-2.2700005
666,79801.0,-1.3800001
672,79854.0,-0.8100004
684,79907.0,-0.64000034
686,79960.0,-0.69000053
694,80013.0,-0.5300007
698,80066.0,-0.77000046
704,80119.0,-1.1300001
710,80172.0,-1.1700001
718,80225.0,-1.0700006
726,80278.0,-1.0200005
732,80331.0,-1.1300001
736,80384.0,-1.0500002
742,80437.0,0.09999943
750,80490.0,4.2
756,80543.0,3.5299997
762,80596.0,0.55999947
768,80649.0,-3.4800005
774,80702.0,-6.2300005
780,80755.0,-7.0400004
786,80808.0,-6.6500006
794,80861.0,-6.1800003
804,80914.0,-4.4500003
806,80967.0,1.1899996
812,81020.0,6.659999
818,81073.0,6.0599995
826,81126.0,0.9699993
834,81179.0,-3.0800004
840,81232.0,-4.5400004
844,81285.0,-3.7400002
852,81338.0,-2.7000003
856,81391.0,-1.04
864,81444.0,0.48999977
870,81497.0,0.46000004
876,81550.0,-0.13000011
882,81603.0,-0.9000006
890,81656.0,-1.1100006
896,81709.0,-1.25
902,81762.0,-1.21
908,81815.0,-0.9200001
914,81868.0,-0.9800005
922,81921.0,-1.0
926,81974.0,-0.97000027
934,82027.0,-0.8800001
940,82080.0,-0.97000027
948,82133.0,-1.04
950,82186.0,-0.95000076
958,82239.0,-0.97000027
964,82292.0,-0.9200001
972,82345.0,-0.8800001
978,82398.0,-1.0100002
984,82451.0,-1.0200005
990,82504.0,-0.9100008
998,82557.0,-0.9200001
1004,82610.0,-0.9800005
1010,82663.0,-0.97000027
1016,82716.0,-0.82000065
1026,82769.0,-0.8800001
1028,82822.0,-0.9200001
1036,82875.0,-0.9800005
1042,82928.0,-0.94000053
