i,time,ax,h
400,1861954.0,2.41,0.0
402,1861954.0,2.41,0.0
404,1861990.0,2.4,0.0
406,1861990.0,2.4,0.0
408,1861990.0,2.4,0.0
410,1862026.0,2.42,0.0
412,1862062.0,2.53,0.0
414,1862062.0,2.53,0.0
416,1862062.0,2.53,0.0
418,1862098.0,2.77,0.0
420,1862098.0,2.77,0.0
422,1862134.0,3.21,0.0
424,1862134.0,3.21,0.0
426,1862134.0,3.21,0.0
428,1862170.0,3.59,0.0
430,1862206.0,3.97,0.0
432,1862206.0,3.97,0.0
434,1862206.0,3.97,0.0
436,1862242.0,4.51,0.0
438,1862242.0,4.51,0.0
440,1862278.0,5.24,0.0
442,1862314.0,5.73,0.0
444,1862314.0,5.73,0.0
446,1862314.0,5.73,0.0
448,1862350.0,6.26,0.0
450,1862350.0,6.26,0.0
452,1862386.0,7.14,0.0
454,1862386.0,7.14,0.0
456,1862422.0,7.5,0.0
458,1862422.0,7.5,0.0
460,1862458.0,7.89,0.0
462,1862458.0,7.89,0.0
464,1862494.0,8.5,0.0
466,1862494.0,8.5,0.0
468,1862494.0,8.5,0.0
470,1862530.0,8.87,0.0
472,1862530.0,8.87,0.0
474,1862566.0,9.11,0.0
476,1862566.0,9.11,0.0
478,1862602.0,8.5,0.0
480,1862638.0,8.3,0.0
482,1862638.0,8.3,0.0
484,1862638.0,8.3,0.0
486,1862674.0,7.86,0.0
488,1862674.0,7.86,0.0
490,1862674.0,7.86,0.0
492,1862710.0,6.69,0.0
494,1862710.0,6.69,0.0
496,1862710.0,6.69,0.0
498,1862746.0,5.67,0.0
500,1862746.0,5.67,0.0
502,1862782.0,4.47,0.0
504,1862818.0,2.45,0.0
506,1862854.0,2.07,0.0
508,1862854.0,2.07,0.0
510,1862854.0,2.07,0.0
512,1862854.0,2.07,0.0
514,1862890.0,1.81,0.0
516,1862926.0,0.27,0.0
518,1862926.0,0.27,0.0
520,1862962.0,0.54,0.0
522,1862962.0,0.54,0.0
524,1862962.0,0.54,0.0
526,1862998.0,-0.54,0.0
528,1863034.0,-1.38,0.0
530,1863034.0,-1.38,0.0
532,1863070.0,-1.86,0.0
534,1863070.0,-1.86,0.0
536,1863106.0,-1.81,0.0
538,1863106.0,-1.81,0.0
540,1863106.0,-1.81,0.0
542,1863142.0,-2.08,0.0
544,1863142.0,-2.08,0.0
546,1863178.0,-2.1,0.0
548,1863178.0,-2.1,0.0
550,1863214.0,-2.01,0.0
552,1863214.0,-2.01,0.0
554,1863250.0,-2.18,0.0
556,1863250.0,-2.18,0.0
558,1863250.0,-2.18,0.0
560,1863286.0,-2.13,0.0
562,1863286.0,-2.13,0.0
564,1863322.0,-2.26,0.0
566,1863322.0,-2.26,0.0
568,1863358.0,-2.27,0.0
570,1863358.0,-2.27,0.0
572,1863394.0,-2.07,0.0
574,1863394.0,-2.07,0.0
576,1863430.0,-2.02,0.0
578,1863430.0,-2.02,0.0
580,1863466.0,-1.2,0.0
582,1863466.0,-1.2,0.0
584,1863502.0,-0.4,0.0
586,1863502.0,-0.4,0.0
588,1863538.0,0.36,0.0
590,1863538.0,0.36,0.0
592,1863538.0,0.36,0.0
594,1863574.0,0.98,0.0
596,1863574.0,0.98,0.0
598,1863610.0,2.12,0.0
600,1863610.0,2.12,0.0
602,1863646.0,2.95,0.0
604,1863646.0,2.95,0.0
606,1863682.0,3.79,0.0
608,1863682.0,3.79,0.0
610,1863682.0,3.79,0.0
612,1863718.0,4.36,0.0
614,1863718.0,4.36,0.0
616,1863718.0,4.36,0.0
618,1863718.0,4.36,0.0
