i,time,ax
402,177209.0,4.2199993
418,177312.0,-4.6400003
430,177415.0,-4.1500006
440,177518.0,2.8899994
458,177621.0,-0.15000057
468,177724.0,-0.22000027
480,177827.0,0.29999924
490,177930.0,0.029999733
506,178033.0,0.19999981
516,178136.0,0.13999939
528,178239.0,0.059999466
542,178342.0,0.0899992
554,178445.0,0.16999912
566,178548.0,0.049999237
578,178651.0,0.21999931
588,178754.0,0.29999924
602,178857.0,0.2699995
614,178960.0,0.17999935
626,179063.0,-0.5300007
640,179166.0,6.839999
652,179269.0,-6.5200005
664,179372.0,-2.3000002
674,179475.0,2.9299994
688,179578.0,-0.26000023
700,179681.0,-0.22000027
712,179784.0,-0.06000042
726,179887.0,0.069999695
738,179990.0,-0.07000065
750,180093.0,0.27999973
760,180196.0,0.54999924
774,180299.0,0.39999962
788,180402.0,0.53999996
800,180505.0,0.27999973
810,180608.0,2.5999994
822,180711.0,5.5599995
836,180814.0,-10.04
848,180917.0,-1.3400002
860,181020.0,1.96
872,181123.0,-0.52000046
884,181226.0,0.23999977
896,181329.0,0.75
908,181432.0,0.18999958
920,181535.0,0.21999931
936,181638.0,0.3399992
948,181741.0,0.6999998
960,181844.0,4.049999
974,181947.0,-0.69000053
984,182050.0,-6.1600003
996,182153.0,-1.3700008
1008,182256.0,5.9699993
1022,182359.0,1.0799999
1034,182462.0,-0.030000687
1046,182565.0,-0.17000008
1056,182668.0,0.3899994
1070,182771.0,0.21000004
1082,182874.0,0.13999939
1094,182977.0,0.27999973
1108,183080.0,0.5699997
1120,183183.0,2.8199997
1132,183286.0,2.33
1144,183389.0,-4.8800006
1154,183492.0,-3.9900002
1168,183595.0,-1.71
1180,183698.0,4.7
1192,183801.0,0.22999954
1208,183904.0,0.119999886
1218,184007.0,0.069999695
1234,184110.0,-0.03999996
1244,184213.0,0.119999886
1254,184316.0,0.13999939
1266,184419.0,0.27999973
1284,184522.0,0.19999981
1292,184625.0,0.17999935
1302,184728.0,0.3699999
1314,184831.0,0.18999958
1328,184934.0,0.48999977
1340,185037.0,0.3899994
1354,185140.0,0.29999924
1364,185243.0,0.25
1378,185346.0,0.13999939
1390,185449.0,0.39999962
1402,185552.0,0.30999947
1418,185655.0,0.25
1428,185758.0,0.25
1440,185861.0,0.21999931
1450,185964.0,0.3199997
1466,186067.0,0.22999954
1476,186170.0,0.25999928
1488,186273.0,0.27999973
