i,time,ax
402,63177.0,-0.030000687
410,63220.0,0.009999275
416,63263.0,0.10999966
420,63306.0,0.09999943
422,63349.0,0.09999943
430,63392.0,0.059999466
434,63435.0,0.029999733
442,63478.0,0.019999504
444,63521.0,0.029999733
450,63564.0,0.049999237
456,63607.0,0.07999992
460,63650.0,0.10999966
464,63693.0,0.10999966
472,63736.0,0.0899992
474,63779.0,0.049999237
482,63822.0,0.049999237
486,63865.0,0.009999275
494,63908.0,-0.07000065
496,63951.0,-0.13000011
500,63994.0,-0.22000027
508,64037.0,-0.35000038
512,64080.0,-0.5100002
518,64123.0,-0.53999996
524,64166.0,-0.5300007
528,64209.0,-0.6000004
532,64252.0,-0.6800003
538,64295.0,-0.9000006
546,64338.0,-1.1100006
550,64381.0,-1.2700005
552,64424.0,-1.3500004
560,64467.0,-1.2600002
566,64510.0,-1.1500006
570,64553.0,-0.8500004
576,64596.0,-0.26000023
578,64639.0,0.21999931
586,64682.0,0.6199999
590,64725.0,0.5899992
592,64768.0,0.47999954
600,64811.0,0.6899996
604,64854.0,1.0
612,64897.0,1.3099995
614,64940.0,1.3699999
618,64983.0,0.85999966
626,65026.0,0.22999954
630,65069.0,-0.24000072
638,65112.0,-0.5
640,65155.0,-0.75
648,65198.0,-0.9000006
654,65241.0,-0.97000027
658,65284.0,-0.84000015
662,65327.0,-0.6500006
666,65370.0,-0.44000053
672,65413.0,-0.27000046
676,65456.0,-0.2800007
682,65499.0,-0.32000065
688,65542.0,-0.4100008
692,65585.0,-0.42000008
704,65628.0,-0.5
706,65671.0,-0.52000046
708,65714.0,-0.4300003
714,65757.0,-0.28999996
718,65800.0,-0.2300005
722,65843.0,-0.35000038
730,65886.0,-0.46000004
732,65929.0,-0.5100002
740,65972.0,-0.5600004
744,66015.0,-0.62000084
750,66058.0,-0.78999996
756,66101.0,-0.87000084
760,66144.0,-0.89000034
764,66187.0,-0.9000006
772,66230.0,-0.8800001
774,66273.0,-0.77000046
782,66316.0,-0.5100002
786,66359.0,-0.27000046
788,66402.0,-0.24000072
796,66445.0,-0.4800005
800,66488.0,-0.69000053
808,66531.0,-0.7800007
810,66574.0,-0.77000046
818,66617.0,-0.6500006
822,66660.0,-0.52000046
828,66703.0,-0.47000027
832,66746.0,-0.5600004
838,66789.0,-0.5800009
842,66832.0,-0.6300001
848,66875.0,-0.6600008
852,66918.0,-0.6000004
860,66961.0,-0.5800009
862,67004.0,-0.64000034
868,67047.0,-0.7800007
874,67090.0,-1.0
880,67133.0,-1.3300009
884,67176.0,-1.7700005
890,67219.0,-2.2100005
894,67262.0,-2.3700004
898,67305.0,-2.2000003
904,67348.0,-1.4300003
908,67391.0,-0.020000458
914,67434.0,2.4099998
922,67477.0,6.2799997
924,67520.0,11.3
928,67563.0,14.989999
936,67606.0,13.11
938,67649.0,6.0099993
946,67692.0,0.62999916
950,67735.0,-4.0900006
954,67778.0,-6.6900005
962,67821.0,-8.34
966,67864.0,-8.070001
972,67907.0,-7.7700005
978,67950.0,-8.7300005
980,67993.0,-8.81
988,68036.0,-9.27
992,68079.0,-9.360001
1000,68122.0,-9.51
1002,68165.0,-9.240001
1006,68208.0,-8.25
1014,68251.0,-6.0600004
1016,68294.0,-1.5600004
1024,68337.0,4.49
1028,68380.0,5.49
1032,68423.0,8.069999
1038,68466.0,7.489999
1044,68509.0,8.71
1050,68552.0,8.009999
1054,68595.0,7.159999
1060,68638.0,5.66
1066,68681.0,3.3999996
1070,68724.0,1.4799995
1074,68767.0,-0.13000011
1082,68810.0,-1.7200003
1086,68853.0,-2.7600002
1090,68896.0,-3.5900006
1096,68939.0,-3.9000006
1102,68982.0,-3.6700006
1104,69025.0,-3.1000004
1110,69068.0,-2.5500002
1116,69111.0,-1.4200001
1122,69154.0,-0.78999996
1126,69197.0,-0.3000002
1130,69240.0,0.14999962
1138,69283.0,0.3399992
1142,69326.0,0.3199997
1146,69369.0,0.3199997
1154,69412.0,0.07999992
1156,69455.0,-0.05000019
1162,69498.0,-0.05000019
1168,69541.0,-0.13000011
1172,69584.0,-0.010000229
1176,69627.0,0.069999695
1184,69670.0,0.16999912
1188,69713.0,0.14999962
1192,69756.0,0.21000004
1200,69799.0,0.21999931
1204,69842.0,0.14999962
1210,69885.0,0.14999962
1214,69928.0,0.119999886
1220,69971.0,0.12999916
1224,70014.0,0.16999912
