i,time,ax
402,174152.0,0.22999954
410,174205.0,0.14999962
414,174258.0,0.07999992
422,174311.0,0.049999237
428,174364.0,0.07999992
432,174417.0,0.16999912
440,174470.0,0.17999935
448,174523.0,0.119999886
452,174576.0,0.21000004
458,174629.0,0.42999935
466,174682.0,0.5099993
474,174735.0,0.3899994
478,174788.0,0.19999981
486,174841.0,0.019999504
492,174894.0,0.069999695
502,174947.0,0.21000004
504,175000.0,0.21000004
510,175053.0,0.21999931
516,175106.0,0.19999981
524,175159.0,0.21000004
530,175212.0,0.17999935
534,175265.0,0.13999939
542,175318.0,0.10999966
548,175371.0,0.17999935
556,175424.0,0.25999928
562,175477.0,0.23999977
574,175530.0,0.17999935
576,175583.0,0.17999935
580,175636.0,0.19999981
588,175689.0,0.18999958
594,175742.0,0.17999935
600,175795.0,0.21999931
606,175848.0,0.19999981
612,175901.0,0.13999939
618,175954.0,0.15999985
626,176007.0,0.22999954
630,176060.0,0.2699995
638,176113.0,0.21999931
646,176166.0,0.12999916
652,176219.0,0.059999466
656,176272.0,-0.030000687
662,176325.0,-0.1600008
668,176378.0,-0.7600002
676,176431.0,-2.3500004
682,176484.0,-3.2000003
690,176537.0,-2.1700006
694,176590.0,1.8199997
700,176643.0,10.28
708,176696.0,17.71
714,176749.0,14.44
722,176802.0,-0.8300009
726,176855.0,-8.67
738,176908.0,-10.63
740,176961.0,-10.150001
748,177014.0,-9.530001
752,177067.0,-9.440001
758,177120.0,-9.620001
764,177173.0,-8.370001
772,177226.0,0.5999994
778,177279.0,11.22
786,177332.0,15.55
790,177385.0,12.579999
796,177438.0,3.5099993
804,177491.0,-3.2700005
812,177544.0,-5.4200006
818,177597.0,-4.1800003
822,177650.0,-0.05000019
828,177703.0,1.6799994
836,177756.0,1.1799994
842,177809.0,0.43999958
846,177862.0,-0.39000034
852,177915.0,-0.45000076
860,177968.0,0.049999237
866,178021.0,0.42999935
874,178074.0,0.4699993
880,178127.0,0.42999935
894,178180.0,0.25
896,178233.0,0.10999966
906,178286.0,0.10999966
908,178339.0,0.3199997
910,178392.0,0.4699993
918,178445.0,0.46000004
924,178498.0,0.25
930,178551.0,0.10999966
934,178604.0,0.10999966
944,178657.0,0.21000004
950,178710.0,0.3899994
954,178763.0,0.41999912
960,178816.0,0.32999992
974,178869.0,0.2699995
976,178922.0,0.2699995
980,178975.0,0.28999996
986,179028.0,0.29999924
994,179081.0,0.39999962
1000,179134.0,0.37999916
1006,179187.0,0.30999947
1014,179240.0,0.25999928
1020,179293.0,0.29999924
