i,time,ax
400,0.0,0.084635735
402,0.0,0.60999966
404,0.0,0.9399996
406,0.0,1.0899992
408,0.0,1.2699995
412,0.0,1.2699995
414,0.0,0.14999962
416,0.0,0.049999237
418,0.0,-0.06000042
420,0.0,-0.07000065
424,0.0,-0.03999996
426,0.0,0.27999973
428,0.0,0.5489483
430,0.0,0.9589491
432,0.0,0.049999237
436,0.0,-0.52000046
438,0.0,-0.71000004
440,0.0,-0.57000065
442,0.0,-0.3600006
444,0.0,-0.17000008
448,0.0,-0.020000458
450,0.0,0.029999733
452,0.0,0.12999916
454,0.0,0.30999947
458,0.0,1.089512E7
460,0.0,1.0299997
462,0.0,1.1699991
464,0.0,1.0199995
466,0.0,1.0895278E7
468,0.0,0.3899994
472,0.0,0.21999931
474,0.0,-0.3800001
476,0.0,-0.59000015
478,0.0,-0.9200001
480,0.0,-1.1300001
484,0.0,-1.0600004
486,0.0,-0.89000034
488,0.0,-0.72000027
490,0.0,-0.57000065
492,0.0,-0.5
496,0.0,-0.5
498,0.0,-0.5600004
500,0.0,-0.95000076
502,0.0,-1.1000004
504,0.0,-1.1900005
508,0.0,-1.2000008
510,0.0,-1.0800009
512,0.0,-0.8500004
514,0.0,-0.6100006
516,0.0,-0.3800001
520,0.0,-0.1600008
522,0.0,0.14999962
524,0.0,0.32999992
526,0.0,-0.17000008
528,0.0,-0.2800007
532,0.0,-0.31000042
534,0.0,-0.27000046
536,0.0,-0.10000038
538,0.0,0.18999958
540,0.0,0.48999977
544,0.0,0.67999935
546,0.0,0.72999954
548,0.0,0.6399994
550,0.0,0.48999977
552,0.0,0.39999962
556,0.0,0.30999947
558,0.0,0.29999924
560,0.0,0.32999992
562,0.0,0.34999943
566,0.0,0.3699999
568,0.0,0.32895947
570,0.0,-0.05000019
572,0.0,-0.19000053
574,0.0,-0.2800007
576,0.0,-0.28999996
580,0.0,0.14999962
582,0.0,1.3399992
584,0.0,1.6189613
586,0.0,0.009999275
588,0.0,-1.29
592,0.0,-1.1300001
594,0.0,-0.8100004
596,0.0,-0.030000687
598,0.0,0.3699999
600,0.0,0.6399994
604,0.0,0.80999947
606,0.0,0.8899994
608,0.0,1.0863714
610,0.0,0.65896416
612,0.0,0.25999928
616,0.0,0.09999943
618,0.0,-0.030000687
620,0.0,-0.13000011
622,0.0,-0.3600006
624,0.0,-0.4100008
628,0.0,-0.40000057
630,0.0,-0.3600006
632,0.0,-0.21000004
634,0.0,-0.12000084
636,0.0,0.009999275
640,0.0,0.10999966
642,0.0,0.3199997
644,0.0,0.37999916
646,0.0,0.37999916
650,0.0,1.0896713E7
652,0.0,0.019999504
654,0.0,-0.39000034
656,0.0,-0.45000076
658,0.0,-0.4300003
660,0.0,-0.42000008
664,0.0,-0.40000057
666,0.0,-0.4100008
668,0.0,-0.5500002
670,0.0,-0.59000015
672,0.0,-0.5500002
676,0.0,-0.42000008
678,0.0,-0.26000023
680,0.0,0.13999939
682,0.0,0.3699999
684,0.0,0.5999994
688,0.0,0.75
690,0.0,0.7599993
692,0.0,0.65999985
694,0.0,0.43999958
696,0.0,0.17999935
700,0.0,897116.2
702,0.0,-0.33000088
704,0.0,-0.39000034
706,0.0,9897181.0
708,0.0,-0.030000687
712,0.0,0.16999912
714,0.0,0.23999977
716,0.0,0.119999886
718,0.0,-0.11000061
720,0.0,-0.6000004
