i,time,ax
402,2.1221272E7,-0.9900007
404,21286.0,-0.8000002
406,21312.0,-0.89000034
412,21390.0,0.13999939
414,21416.0,-0.27000046
416,21429.0,-0.35000038
418,21442.0,-0.17000008
420,2145.0,0.07999992
424,21468.0,0.15999985
426,21481.0,0.119999886
428,21494.0,0.12999916
430,21507.0,0.22999954
432,21520.0,0.37999916
434,2.15332147E9,0.28999996
438,21572.0,0.23999977
440,2.1521598E7,0.029999733
442,21611.0,-0.05000019
444,21637.0,-0.2800007
448,21650.0,-0.3600006
450,21663.0,-0.3800001
452,21689.0,-0.32000065
454,,-0.20000076
456,2.17152179E9,-0.1800003
460,21754.0,-0.24000072
462,21767.0,-0.4800005
464,21793.0,-0.4300003
466,21806.0,-0.21000004
468,221832.0,0.54999924
470,21845.0,0.75
474,,0.75
476,2.18821904E8,0.47999954
478,21910.0,0.44209957
480,21962.0,0.7599993
484,2.1921988E7,0.6399994
486,22001.0,0.18999958
488,22027.0,0.39999962
492,22079.0,0.09999943
494,22105.0,-0.2800007
498,22118.0,-0.21000004
500,22131.0,0.019999504
502,22144.0,0.35999966
504,22157.0,0.6999998
506,2.21722176E8,0.80999947
510,22196.0,0.6122217
512,22235.0,-0.1800003
514,22261.0,-0.34000015
516,22274.0,-0.20000076
518,222300.0,-0.010000229
522,22313.0,0.03999996
526,22352.0,0.5
528,2222378.0,0.6899996
532,22391.0,0.78224087
534,22430.0,0.7599993
536,22443.0,0.41455936
540,2250.0,0.5
544,2.25222528E8,0.43999958
546,2.25622576E8,0.28999996
552,2.26622672E8,0.16999912
556,22690.0,0.21000004
558,22703.0,0.2699995
560,22716.0,0.3199997
562,22729.0,0.32999992
564,22742.0,0.30999947
568,22755.0,0.2699995
570,22768.0,0.21000004
572,22781.0,0.21999931
574,2279.0,0.14999962
576,22820.0,0.16999912
580,22833.0,0.18999958
582,2284.0,0.25999928
584,2.28592282E9,0.28999996
586,22913.0,0.25999928
588,2.29222944E8,0.21000004
590,22952.0,0.17999935
594,22965.0,0.11297798
596,22991.0,-0.07000065
598,,-0.14000034
602,23056.0,-0.1800003
606,23069.0,-0.15000057
608,23082.0,-0.18690586
610,23108.0,-0.07000065
612,23121.0,-0.020000458
614,23134.0,0.029999733
618,23147.0,0.049999237
620,23160.0,0.059999466
622,2323187.0,0.019999504
624,23200.0,-0.010000229
626,23213.0,-0.06000042
630,23226.0,-0.11000061
632,23239.0,-0.13000011
634,23252.0,-0.10000038
636,23265.0,-0.12000084
640,23278.0,-0.15000057
642,23291.0,-0.22000027
644,23304.0,-0.3000002
646,23317.0,-0.37000084
648,23330.0,-0.49000072
650,23343.0,-0.6500006
654,23356.0,-0.82000065
656,23369.0,-1.04
660,23408.0,-2.0300002
664,2323434.0,-2.6900005
666,23447.0,-2.9500003
668,2323473.0,-3.3100004
670,23486.0,-3.4500003
672,23525.0,-3.5100002
674,223551.0,-3.0100002
678,23564.0,-2.6300006
682,2.36032358E9,-1.3600006
684,23629.0,-1.0800009
688,23642.0,-0.7863455
692,23707.0,3.0299997
694,2.37223728E8,4.3599997
702,23980.0,9.6524
704,24019.0,7.2224035
706,24058.0,0.53240776
708,24097.0,-6.6400003
712,24123.0,-9.290001
714,24136.0,-10.0
716,24149.0,-10.38
718,24175.0,-11.320001
720,2.42024208E8,-12.27
724,24227.0,-12.200001
726,24253.0,-11.950001
728,24266.0,-11.76
730,24279.0,-11.70243
732,24331.0,-12.22
734,24344.0,-12.200001
738,24357.0,-12.030001
740,24383.0,-12.053961
742,24422.0,-11.22
744,24435.0,-10.59
746,24448.0,-9.67
750,2.4424478E7,-7.51
752,24491.0,-7.1000004
754,24504.0,-5.3200006
756,24517.0,-2.6800003
758,24530.0,0.21999931
762,24543.0,3.12
764,24556.0,5.74
766,24569.0,7.829999
768,24582.0,9.669999
772,24595.0,11.489999
774,24608.0,13.409999
776,24621.0,15.159999
778,24634.0,16.14
780,24647.0,16.07
784,24660.0,15.329999
786,24673.0,14.19
788,24686.0,12.819999
790,24699.0,11.47
792,24712.0,10.2300005
796,24725.0,9.14
798,24738.0,8.21
800,24751.0,7.4800005
802,24764.0,6.55
804,24777.0,5.5599995
806,24790.0,4.6099997
810,24803.0,3.6299992
812,24816.0,2.6499996
814,24829.0,1.8799992
816,24842.0,1.25
818,24855.0,0.71000004
822,24868.0,0.25
824,24881.0,-0.14000034
826,24894.0,-0.46000004
828,24907.0,-0.75
832,24920.0,-1.0700006
834,24933.0,-1.4700003
836,24946.0,-1.7600002
838,24959.0,-1.8900003
840,24972.0,-1.9000006
842,24985.0,-1.9800005
846,24998.0,-2.0700006
848,25011.0,-2.2200003
850,25024.0,-2.3600006
852,25037.0,-2.4600005
854,25050.0,-2.5600004
858,25063.0,-2.6100006
860,25076.0,-2.6200004
862,25089.0,-2.6700006
864,25102.0,-2.6100006
868,25115.0,-2.4400005
870,25128.0,-2.1200004
872,25141.0,-2.0500002
874,25154.0,-1.9000006
876,25167.0,-1.7000008
880,2525193.0,-1.7800007
882,2.0,-1.8800006
886,2.0,-1.3000002
892,225297.0,-0.5300007
894,25310.0,-0.53999996
896,25.0,-0.62000084
898,25349.0,0.0899992
902,25388.0,0.30999947
906,25427.0,0.3199997
908,25440.0,0.46000004
910,25466.0,0.8499994
912,25479.0,0.67999935
916,25492.0,0.55999947
918,25505.0,0.5899992
920,25518.0,0.6199999
922,25557.0,0.4699993
924,25571.0,0.5825596
928,25610.0,0.8025627
930,25649.0,1.0499992
932,25662.0,1.1699991
934,25675.0,0.87999916
936,25688.0,-0.55286026
940,25727.0,0.029999733
942,25782.0,0.21999931
944,25795.0,0.29999924
946,25808.0,0.315835
948,25848.0,0.03999996
950,25887.0,0.009999275
954,,0.3699999
956,25926.0,0.3399992
958,2.5925964E7,0.6499996
960,25978.0,0.7226
964,26017.0,0.53999996
966,26043.0,0.40999985
968,26056.0,0.4499998
970,26082.0,0.4499998
972,26095.0,0.37999916
974,26121.0,0.059999466
978,26134.0,-0.06000042
980,226160.0,-0.20000076
982,26173.0,-0.28380108
984,26212.0,-0.10000038
988,26225.0,-0.28376198
990,26251.0,-0.47000027
992,2626277.0,-0.5100002
994,26290.0,-0.5800009
996,2626316.0,-0.42000008
1000,26329.0,-0.33000088
1002,2626355.0,-0.27000046
1004,26368.0,-0.27000046
1006,2626394.0,-0.24000072
1008,26407.0,-0.34000015
1010,26420.0,-0.3800001
1014,26433.0,-0.39000034
1016,26446.0,-0.35000038
1018,26459.0,-0.1600008
1020,26472.0,0.069999695
1022,2.6426498E7,0.42999935
1026,26511.0,0.5899992
1030,26550.0,0.71000004
1032,26576.0,0.6399994
1036,26589.0,0.71000004
1038,26602.0,0.77999973
1040,26615.0,0.7599993
1042,26628.0,0.8299999
1044,226667.0,0.7699995
1048,26680.0,0.78999996
1050,266.0,0.72999954
1052,26706.0,0.7399998
1054,26719.0,0.7399998
1056,2.6726744E7,0.87999916
1058,26758.0,0.9199991
1062,26784.0,0.8199997
1064,26797.0,0.7399998
1066,26810.0,0.67999935
1068,2.68326848E8,0.5699997
1070,26875.0,0.48999977
1074,26888.0,0.42999935
1078,26927.0,0.10999966
1084,26966.0,0.23999977
1086,26992.0,0.21000004
1088,227018.0,0.119999886
1090,27031.0,0.119999886
1092,27044.0,0.17999935
1094,27.0,0.27999973
1100,27096.0,0.46000004
1102,271.0,0.5
1104,27148.0,0.5199995
1108,2.7127188E7,0.77999973
1110,27200.0,0.7127209
1112,27226.0,0.60999966
1114,2.7227252E7,0.47999954
1116,27266.0,0.43999958
1118,27279.0,0.42999935
1124,2.73182746E9,0.53999996
1126,27358.0,0.5999994
1128,27371.0,0.5999994
1130,27397.0,0.5099993
1134,27410.0,0.4499998
1136,227436.0,0.3827448
1138,,0.3699999
1140,27488.0,0.3899994
1146,27540.0,0.35999966
1148,,0.30999947
1150,27566.0,0.25999928
1152,27579.0,0.21999931
1156,27618.0,0.15999985
1160,27657.0,0.21000004
1164,27696.0,0.22999954
1170,27735.0,0.23999977
1172,27761.0,0.21000004
1174,27774.0,0.16999912
1176,27800.0,0.27999973
1180,27813.0,0.4683895
1182,27852.0,0.28999996
1184,227878.0,0.35999966
1186,27891.0,0.38279152
1188,27930.0,0.32999992
1190,27943.0,0.28999996
1194,27956.0,0.25999928
1196,27969.0,0.23999977
1198,2.79828E8,0.21000004
1200,28008.0,0.19999981
1204,28034.0,0.23999977
1206,28047.0,0.27999973
1210,,0.3399992
1212,2.80992819E9,0.3399992
1216,28125.0,0.3399992
1218,28138.0,0.3199997
1220,28151.0,0.35999966
1224,28203.0,0.3399992
1232,28294.0,0.22999954
1234,28307.0,0.25283146
