i,time,ax
402,132746.0,-1.3000002
404,132759.0,-1.2700005
406,132772.0,-1.2400007
408,132785.0,-1.21
410,132798.0,-1.1700001
412,132811.0,-1.1500006
414,132824.0,-1.1400003
416,132837.0,-1.1300001
418,132850.0,-1.1100006
420,132863.0,-1.1000004
422,132876.0,-1.0900002
424,132889.0,-1.0800009
426,132902.0,-1.0700006
428,132915.0,-1.0600004
430,132928.0,-1.04
432,132941.0,-1.0200005
434,132954.0,-1.0200005
436,132967.0,-1.0200005
438,132980.0,-1.0300007
440,132993.0,-1.0500002
442,133006.0,-1.0500002
444,133019.0,-1.0500002
446,133032.0,-1.04
448,133045.0,-1.0200005
450,133058.0,-1.0200005
452,133071.0,-1.04
454,133084.0,-1.0700006
456,133097.0,-1.1200008
458,133110.0,-1.1800003
460,133123.0,-1.2400007
462,133136.0,-1.29
464,133149.0,-1.3100004
466,133162.0,-1.3300009
468,133175.0,-1.3400002
470,133188.0,-1.3400002
472,133201.0,-1.3600006
474,133214.0,-1.3900003
476,133227.0,-1.4300003
478,133240.0,-1.4800005
480,133253.0,-1.5200005
482,133266.0,-1.5600004
484,133279.0,-1.5600004
486,133292.0,-1.5600004
488,133305.0,-1.54
490,133318.0,-1.4900007
492,133331.0,-1.4200001
494,133344.0,-1.3300009
496,133357.0,-1.2400007
498,133370.0,-1.1600008
500,133383.0,-1.0900002
502,133396.0,-1.04
504,133409.0,-1.0200005
506,133422.0,-1.0100002
508,133435.0,-1.0200005
510,133448.0,-1.0300007
512,133461.0,-1.0300007
514,133474.0,-1.0200005
516,133487.0,-1.0
518,133500.0,-0.9800005
520,133513.0,-0.97000027
522,133526.0,-0.97000027
524,133539.0,-0.9900007
526,133552.0,-1.0200005
528,133565.0,-1.0800009
530,133578.0,-1.1400003
532,133591.0,-1.2000008
534,133604.0,-1.25
536,133617.0,-1.29
538,133630.0,-1.3300009
540,133643.0,-1.3500004
542,133656.0,-1.3400002
544,133669.0,-1.3300009
546,133682.0,-1.3100004
548,133695.0,-1.3100004
550,133708.0,-1.3100004
552,133721.0,-1.3000002
554,133734.0,-1.29
556,133747.0,-1.2700005
558,133760.0,-1.25
560,133773.0,-1.2300005
562,133786.0,-1.21
564,133799.0,-1.21
566,133812.0,-1.2200003
568,133825.0,-1.2400007
570,133838.0,-1.2700005
572,133851.0,-1.2700005
574,133864.0,-1.25
576,133877.0,-1.2200003
578,133890.0,-1.1700001
580,133903.0,-1.1200008
582,133916.0,-1.0900002
584,133929.0,-1.0800009
586,133942.0,-1.0600004
588,133955.0,-1.0600004
590,133968.0,-1.0800009
592,133981.0,-1.0700006
594,133994.0,-1.0500002
596,134007.0,-1.0300007
598,134020.0,-1.0
600,134033.0,-0.95000076
602,134046.0,-0.9100008
604,134059.0,-0.8500004
606,134072.0,-0.77000046
608,134085.0,-0.6600008
610,134098.0,-0.5500002
612,134111.0,-0.4300003
614,134124.0,-0.32000065
616,134137.0,-0.24000072
618,134150.0,-0.1800003
620,134163.0,-0.11000061
622,134176.0,-0.03999996
624,134189.0,-0.020000458
626,134202.0,-0.020000458
628,134215.0,-0.03999996
630,134228.0,-0.07000065
632,134241.0,-0.12000084
634,134254.0,-0.1800003
636,134267.0,-0.27000046
638,134280.0,-0.35000038
640,134293.0,-0.45000076
642,134306.0,-0.53999996
644,134319.0,-0.64000034
646,134332.0,-0.7300005
648,134345.0,-0.84000015
650,134358.0,-0.95000076
652,134371.0,-1.04
654,134384.0,-1.1000004
656,134397.0,-1.1600008
658,134410.0,-1.2000008
660,134423.0,-1.2200003
662,134436.0,-1.2200003
664,134449.0,-1.21
666,134462.0,-1.2300005
668,134475.0,-1.25
670,134488.0,-1.2600002
672,134501.0,-1.2800007
674,134514.0,-1.3200006
676,134527.0,-1.3900003
678,134540.0,-1.4800005
680,134553.0,-1.5900002
682,134566.0,-1.6600008
684,134579.0,-1.6600008
686,134592.0,-1.5700006
688,134605.0,-1.4200001
690,134618.0,-1.3000002
692,134631.0,-1.25
694,134644.0,-1.2700005
696,134657.0,-1.2700005
698,134670.0,-1.21
700,134683.0,-1.1100006
702,134696.0,-1.04
704,134709.0,-1.04
706,134722.0,-1.0800009
708,134735.0,-1.1600008
710,134748.0,-1.1800003
712,134761.0,-1.1700001
714,134774.0,-1.1500006
716,134787.0,-1.0700006
718,134800.0,-0.9100008
720,134813.0,-0.6600008
722,134826.0,-0.39000034
724,134839.0,-0.17000008
726,134852.0,-0.010000229
728,134865.0,0.12999916
730,134878.0,0.29999924
732,134891.0,0.53999996
734,134904.0,0.78999996
736,134917.0,0.96000004
738,134930.0,1.0199995
740,134943.0,1.0199995
742,134956.0,1.0
744,134969.0,0.9499998
746,134982.0,0.8399992
748,134995.0,0.6399994
750,135008.0,0.39999962
752,135021.0,0.18999958
754,135034.0,0.049999237
756,135047.0,-0.06000042
758,135060.0,-0.17000008
760,135073.0,-0.3000002
762,135086.0,-0.42000008
764,135099.0,-0.5
766,135112.0,-0.5800009
768,135125.0,-0.6100006
770,135138.0,-0.62000084
772,135151.0,-0.6300001
774,135164.0,-0.62000084
776,135177.0,-0.6500006
778,135190.0,-0.71000004
780,135203.0,-0.75
782,135216.0,-0.75
784,135229.0,-0.75
786,135242.0,-0.77000046
788,135255.0,-0.8100004
790,135268.0,-0.8600006
792,135281.0,-0.89000034
794,135294.0,-0.8800001
796,135307.0,-0.8300009
798,135320.0,-0.7300005
800,135333.0,-0.6100006
802,135346.0,-0.49000072
804,135359.0,-0.39000034
806,135372.0,-0.33000088
808,135385.0,-0.27000046
810,135398.0,-0.2300005
812,135411.0,-0.17000008
814,135424.0,-0.11000061
816,135437.0,-0.03999996
818,135450.0,0.019999504
820,135463.0,0.069999695
822,135476.0,0.0899992
824,135489.0,0.09999943
826,135502.0,0.09999943
828,135515.0,0.119999886
830,135528.0,0.14999962
832,135541.0,0.19999981
834,135554.0,0.25999928
836,135567.0,0.29999924
838,135580.0,0.29999924
840,135593.0,0.27999973
842,135606.0,0.25
844,135619.0,0.23999977
846,135632.0,0.23999977
848,135645.0,0.2699995
850,135658.0,0.29999924
852,135671.0,0.32999992
854,135684.0,0.32999992
856,135697.0,0.30999947
858,135710.0,0.25
860,135723.0,0.16999912
862,135736.0,0.10999966
864,135749.0,0.069999695
866,135762.0,0.069999695
868,135775.0,0.0899992
870,135788.0,0.119999886
872,135801.0,0.14999962
874,135814.0,0.15999985
876,135827.0,0.15999985
878,135840.0,0.14999962
880,135853.0,0.12999916
882,135866.0,0.10999966
884,135879.0,0.119999886
886,135892.0,0.12999916
888,135905.0,0.14999962
890,135918.0,0.14999962
892,135931.0,0.16999912
894,135944.0,0.18999958
896,135957.0,0.19999981
898,135970.0,0.19999981
900,135983.0,0.17999935
902,135996.0,0.12999916
904,136009.0,0.069999695
906,136022.0,0.029999733
908,136035.0,0.009999275
910,136048.0,0.009999275
912,136061.0,0.029999733
914,136074.0,0.069999695
916,136087.0,0.12999916
918,136100.0,0.19999981
920,136113.0,0.23999977
922,136126.0,0.23999977
924,136139.0,0.21999931
926,136152.0,0.19999981
928,136165.0,0.16999912
930,136178.0,0.14999962
932,136191.0,0.15999985
934,136204.0,0.19999981
936,136217.0,0.2699995
938,136230.0,0.3199997
940,136243.0,0.35999966
942,136256.0,0.34999943
944,136269.0,0.30999947
946,136282.0,0.22999954
948,136295.0,0.09999943
950,136308.0,-0.05000019
952,136321.0,-0.2300005
954,136334.0,-0.44000053
956,136347.0,-0.70000076
958,136360.0,-0.97000027
960,136373.0,-1.2800007
962,136386.0,-1.5900002
964,136399.0,-1.9200006
966,136412.0,-2.2700005
968,136425.0,-2.6500006
970,136438.0,-3.0500002
972,136451.0,-3.4800005
974,136464.0,-3.9200006
976,136477.0,-4.3300004
978,136490.0,-4.6700006
980,136503.0,-4.9100003
982,136516.0,-5.1200004
984,136529.0,-5.2400002
986,136542.0,-5.2900004
988,136555.0,-5.2400002
990,136568.0,-5.0600004
992,136581.0,-4.76
994,136594.0,-4.3600006
996,136607.0,-3.9500003
998,136620.0,-3.5200005
1000,136633.0,-3.1100006
1002,136646.0,-2.6800003
1004,136659.0,-2.2300005
1006,136672.0,-1.7400007
1008,136685.0,-1.1500006
1010,136698.0,-0.5
1012,136711.0,0.23999977
1014,136724.0,1.0799999
1016,136737.0,2.0999994
1018,136750.0,3.21
1020,136763.0,4.2699995
1022,136776.0,5.1799994
1024,136789.0,6.0
1026,136802.0,6.88
1028,136815.0,7.7699995
1030,136828.0,8.54
1032,136841.0,9.14
1034,136854.0,9.679999
1036,136867.0,10.28
1038,136880.0,10.96
1040,136893.0,11.569999
1042,136906.0,11.929999
1044,136919.0,12.0199995
1046,136932.0,12.079999
1048,136945.0,12.2699995
1050,136958.0,12.56
1052,136971.0,12.7
1054,136984.0,12.569999
1056,136997.0,12.079999
1058,137010.0,11.2300005
1060,137023.0,10.12
1062,137036.0,8.7300005
1064,137049.0,7.0099993
1066,137062.0,5.04
1068,137075.0,3.0599995
1070,137088.0,1.3199997
1072,137101.0,-0.15000057
1074,137114.0,-1.4500008
1076,137127.0,-2.7300005
1078,137140.0,-4.01
1080,137153.0,-5.2900004
1082,137166.0,-6.51
1084,137179.0,-7.59
1086,137192.0,-8.56
1088,137205.0,-9.290001
