i,time,ax
404,80246.0,-7.450001
412,80299.0,-7.4700003
418,80352.0,-7.4900007
424,80405.0,-7.4900007
430,80458.0,-7.51
436,80511.0,-7.51
442,80564.0,-7.55
448,80617.0,-7.5400004
456,80670.0,-7.55
464,80723.0,-7.5600004
466,80776.0,-7.5800004
474,80829.0,-7.5700006
480,80882.0,-7.6000004
488,80935.0,-7.6100006
492,80988.0,-7.6200004
500,81041.0,-7.63
508,81094.0,-7.6400003
510,81147.0,-7.6600003
518,81200.0,-7.67
524,81253.0,-7.700001
532,81306.0,-7.67
540,81359.0,-7.7200003
544,81412.0,-7.6800003
552,81465.0,-7.7400007
558,81518.0,-7.7200003
562,81571.0,-7.7500005
568,81624.0,-7.7500005
576,81677.0,-7.76
586,81730.0,-7.76
590,81783.0,-7.7700005
594,81836.0,-7.7900004
602,81889.0,-7.7800007
608,81942.0,-7.8
612,81995.0,-7.8
620,82048.0,-7.8100004
626,82101.0,-7.8100004
634,82154.0,-7.84
642,82207.0,-7.8300004
644,82260.0,-7.8600006
650,82313.0,-7.8500004
658,82366.0,-7.8600006
666,82419.0,-7.8700004
672,82472.0,-7.8600006
678,82525.0,-7.8800006
684,82578.0,-7.8900003
692,82631.0,-7.8900003
694,82684.0,-7.8900003
702,82737.0,-7.9100003
710,82790.0,-7.9100003
716,82843.0,-7.9300003
724,82896.0,-7.9400005
728,82949.0,-7.9300003
736,83002.0,-7.9500003
746,83055.0,-7.9500003
748,83108.0,-7.9400005
752,83161.0,-7.9800005
760,83214.0,-8.01
766,83267.0,-8.06
774,83320.0,-8.06
782,83373.0,-8.030001
784,83426.0,-8.06
792,83479.0,-8.070001
800,83532.0,-8.08
804,83585.0,-8.09
812,83638.0,-8.09
816,83691.0,-8.1
824,83744.0,-8.1
828,83797.0,-8.110001
836,83850.0,-8.110001
844,83903.0,-8.110001
850,83956.0,-8.13
858,84009.0,-8.14
862,84062.0,-8.14
868,84115.0,-8.14
874,84168.0,-8.150001
880,84221.0,-8.17
886,84274.0,-8.150001
894,84327.0,-8.18
904,84380.0,-8.17
908,84433.0,-8.18
912,84486.0,-8.18
918,84539.0,-8.18
926,84592.0,-8.200001
932,84645.0,-8.200001
938,84698.0,-8.21
944,84751.0,-8.200001
954,84804.0,-8.200001
958,84857.0,-8.240001
966,84910.0,-8.2300005
970,84963.0,-8.25
976,85016.0,-8.240001
982,85069.0,-8.26
990,85122.0,-8.26
994,85175.0,-8.27
1002,85228.0,-8.27
1008,85281.0,-8.290001
1016,85334.0,-8.290001
1018,85387.0,-8.280001
1026,85440.0,-8.3
1032,85493.0,-8.3
1040,85546.0,-8.320001
1048,85599.0,-8.31
1058,85652.0,-8.33
1060,85705.0,-8.31
1064,85758.0,-8.320001
1072,85811.0,-8.34
1078,85864.0,-8.33
1086,85917.0,-8.35
1088,85970.0,-8.35
1096,86023.0,-8.360001
1104,86076.0,-8.35
1110,86129.0,-8.360001
1118,86182.0,-8.370001
1122,86235.0,-8.370001
1128,86288.0,-8.370001
1134,86341.0,-8.38
1142,86394.0,-8.39
1150,86447.0,-8.400001
1156,86500.0,-8.39
1162,86553.0,-8.400001
1166,86606.0,-8.410001
1174,86659.0,-8.410001
1178,86712.0,-8.42
1186,86765.0,-8.410001
1192,86818.0,-8.43
1200,86871.0,-8.43
1208,86924.0,-8.440001
1212,86977.0,-8.43
1220,87030.0,-8.440001
1224,87083.0,-8.450001
1230,87136.0,-8.46
1238,87189.0,-8.450001
1240,87242.0,-8.47
1248,87295.0,-8.47
1254,87348.0,-8.4800005
1266,87401.0,-8.4800005
1270,87454.0,-8.320001
1274,87507.0,-9.9800005
1280,87560.0,-10.04
1288,87613.0,-9.330001
1294,87666.0,-9.79
1302,87719.0,-5.8200006
1304,87772.0,-14.190001
1310,87825.0,-14.820001
1318,87878.0,-8.7300005
1326,87931.0,-18.64
1332,87984.0,-18.3
1338,88037.0,-4.6600003
1344,88090.0,-4.6700006
1350,88143.0,-10.190001
1354,88196.0,-17.07
1362,88249.0,-18.25
1368,88302.0,-6.4600005
1376,88355.0,0.85999966
1380,88408.0,-11.85
1388,88461.0,-18.07
1394,88514.0,-16.62
1400,88567.0,-5.9400005
1408,88620.0,-1.29
1414,88673.0,-6.2800007
1418,88726.0,-17.33
1426,88779.0,-18.8
1432,88832.0,-4.6300006
1438,88885.0,-7.7700005
1446,88938.0,-25.220001
1452,88991.0,-25.27
1458,89044.0,-13.190001
1466,89097.0,-8.47
1468,89150.0,-29.420002
1476,89203.0,-29.420002
1484,89256.0,-27.619999
1490,89309.0,-22.11
