i,time,ax
408,427096.0,0.059999466
410,427139.0,-0.1800003
414,427182.0,-0.09000015
420,427225.0,0.009999275
422,427268.0,0.03999996
430,427311.0,-0.030000687
434,427354.0,-0.12000084
440,427397.0,-0.09000015
444,427440.0,-0.020000458
450,427483.0,-0.03999996
456,427526.0,-0.08000088
460,427569.0,0.009999275
466,427612.0,0.13999939
472,427655.0,0.029999733
474,427698.0,-0.1600008
482,427741.0,-0.12000084
486,427784.0,0.03999996
494,427827.0,0.07999992
496,427870.0,0.069999695
500,427913.0,-0.030000687
508,427956.0,-0.19000053
512,427999.0,-0.24000072
518,428042.0,-0.22000027
520,428085.0,-0.12000084
528,428128.0,-0.08000088
538,428171.0,0.069999695
540,428214.0,0.029999733
544,428257.0,-0.19000053
550,428300.0,-0.5600004
554,428343.0,-0.7400007
562,428386.0,-0.7600002
564,428429.0,-0.72000027
568,428472.0,-0.35000038
574,428515.0,0.19999981
578,428558.0,0.42999935
584,428601.0,-0.3800001
590,428644.0,-1.9700003
592,428687.0,-3.0600004
600,428730.0,-3.3100004
604,428773.0,-2.2900004
610,428816.0,-0.45000076
614,428859.0,0.14999962
622,428902.0,-0.8600006
624,428945.0,-1.4100008
632,428988.0,-1.2300005
636,429031.0,-0.030000687
646,429074.0,2.1299992
648,429117.0,3.4899998
650,429160.0,2.21
658,429203.0,0.7399998
662,429246.0,0.71000004
670,429289.0,1.6699991
672,429332.0,3.3599997
678,429375.0,4.16
682,429418.0,2.83
686,429461.0,1.7199993
692,429504.0,1.2799997
698,429547.0,0.62999916
702,429590.0,-0.020000458
708,429633.0,-0.31000042
714,429676.0,-0.5
722,429719.0,-0.45000076
726,429762.0,-0.2300005
730,429805.0,-0.09000015
732,429848.0,-0.030000687
740,429891.0,0.03999996
744,429934.0,0.13999939
752,429977.0,0.17999935
754,430020.0,0.0
760,430063.0,-0.010000229
766,430106.0,0.12999916
772,430149.0,0.059999466
776,430192.0,0.009999275
784,430235.0,-0.08000088
786,430278.0,0.069999695
792,430321.0,0.25
796,430364.0,0.43999958
802,430407.0,0.47999954
806,430450.0,0.47999954
814,430493.0,0.5
818,430536.0,0.32999992
822,430579.0,0.17999935
828,430622.0,0.14999962
832,430665.0,-0.06000042
838,430708.0,-0.2300005
844,430751.0,-0.11000061
850,430795.0,0.049999237
852,430837.0,0.119999886
858,430880.0,0.23999977
864,430923.0,0.4699993
868,430966.0,0.54999924
874,431009.0,0.52999973
878,431052.0,0.37999916
886,431095.0,0.25999928
888,431138.0,0.10999966
896,431181.0,0.0899992
900,431224.0,0.119999886
902,431267.0,0.14999962
910,431310.0,0.27999973
914,431353.0,0.17999935
920,431396.0,0.0
924,431439.0,0.019999504
932,431482.0,0.0899992
934,431525.0,0.10999966
942,431568.0,0.16999912
946,431611.0,0.14999962
950,431654.0,0.15999985
956,431697.0,0.2699995
962,431740.0,0.35999966
964,431783.0,0.40999985
972,431826.0,0.39999962
978,431869.0,0.27999973
980,431912.0,0.19999981
986,431955.0,0.19999981
992,431998.0,0.0899992
996,432041.0,-0.09000015
1002,432084.0,-0.27000046
1006,432127.0,-0.97000027
1012,432170.0,-2.2300005
1018,432213.0,-3.8500004
1024,432256.0,-4.3400006
1026,432299.0,-1.4400005
1034,432342.0,7.669999
1038,432385.0,16.95
1044,432428.0,17.86
1048,432471.0,14.179999
1056,432514.0,13.509999
1058,432557.0,8.7699995
1066,432600.0,-2.0900006
1070,432643.0,-10.14
1072,432686.0,-13.570001
1080,432729.0,-13.56
1084,432772.0,-10.47
1090,432815.0,-6.8700004
1094,432858.0,-7.8900003
1102,432901.0,-9.690001
1106,432944.0,-8.55
1108,432987.0,-7.8500004
1116,433030.0,-8.860001
1120,433073.0,-10.43
1128,433116.0,-9.76
1130,433160.0,-1.8600006
1140,433202.0,12.47
1142,433245.0,21.130001
1146,433288.0,22.369999
1150,433331.0,14.79
1156,433374.0,8.349999
1162,433417.0,2.0899992
1166,433460.0,-3.3300004
1172,433503.0,-6.8900003
1178,433546.0,-8.990001
1180,433589.0,-9.120001
1188,433632.0,-6.2900004
1194,433675.0,-0.46000004
1196,433718.0,5.2299995
1202,433761.0,4.2199993
1208,433804.0,-1.9700003
1214,433847.0,-2.9200006
1218,433890.0,-1.9800005
1226,433933.0,0.3399992
1230,433976.0,2.0299997
1232,434019.0,0.41999912
1240,434062.0,-1.2600002
1244,434105.0,-1.3300009
1252,434148.0,-0.3800001
1254,434191.0,0.30999947
1260,434234.0,-0.020000458
1274,434277.0,-0.45000076
1276,434320.0,-0.3600006
1280,434364.0,-0.35000038
