i,time,ax
400,990937.0,-0.46000004
408,990990.0,-0.47000027
414,991043.0,-0.47000027
422,991096.0,-0.42000008
424,991149.0,-0.4800005
432,991202.0,-0.5
438,991255.0,-0.47000027
446,991308.0,-0.44000053
454,991361.0,-0.4300003
460,991414.0,-0.47000027
464,991467.0,-0.4300003
470,991520.0,-0.4100008
478,991573.0,-0.42000008
484,991626.0,-0.40000057
488,991679.0,-0.39000034
496,991732.0,-0.39000034
504,991785.0,-0.45000076
512,991838.0,-0.46000004
514,991891.0,-0.42000008
522,991944.0,-0.35000038
530,991997.0,-0.40000057
536,992050.0,-0.46000004
540,992103.0,-0.45000076
546,992156.0,-0.39000034
554,992209.0,-0.3600006
560,992262.0,-0.3800001
568,992315.0,-0.40000057
572,992368.0,-0.39000034
578,992421.0,-0.39000034
586,992474.0,-0.37000084
592,992527.0,-0.3600006
600,992580.0,-0.28999996
604,992633.0,-0.1600008
610,992686.0,-0.13000011
618,992739.0,-0.2300005
624,992792.0,-0.87000084
632,992845.0,-1.3000002
636,992898.0,-1.0800009
642,992951.0,-0.64000034
652,993004.0,-0.44000053
656,993057.0,-0.5600004
666,993110.0,-0.78999996
668,993163.0,-0.9200001
674,993216.0,-0.95000076
680,993269.0,-0.7600002
688,993322.0,-0.62000084
696,993375.0,-0.5600004
698,993428.0,-0.6100006
706,993481.0,-0.4300003
712,993534.0,-0.31000042
718,993587.0,-0.12000084
726,993640.0,-0.020000458
732,993693.0,-0.11000061
738,993746.0,-0.31000042
744,993799.0,-0.5
750,993852.0,-0.46000004
758,993905.0,-0.47000027
764,993958.0,-0.39000034
768,994011.0,-0.39000034
776,994064.0,-0.46000004
782,994117.0,-0.4300003
790,994170.0,-0.44000053
796,994223.0,-0.3600006
802,994276.0,-0.21000004
808,994329.0,-0.17000008
818,994382.0,-0.25
822,994435.0,-0.35000038
828,994488.0,-0.40000057
834,994541.0,-0.2800007
840,994594.0,-0.06000042
846,994647.0,0.23999977
852,994700.0,0.2699995
858,994753.0,0.3399992
868,994806.0,0.32999992
872,994859.0,0.27999973
878,994912.0,0.18999958
886,994965.0,0.09999943
890,995018.0,0.25
896,995071.0,0.17999935
904,995124.0,0.18999958
908,995177.0,0.16999912
916,995230.0,0.07999992
920,995283.0,0.069999695
926,995336.0,-0.19000053
934,995389.0,-0.40000057
940,995442.0,-0.4300003
948,995495.0,-0.42000008
954,995548.0,-0.35000038
960,995601.0,-0.31000042
964,995654.0,-0.13000011
970,995707.0,0.03999996
978,995760.0,0.25
986,995813.0,0.28999996
992,995866.0,0.25
996,995919.0,0.14999962
1002,995972.0,0.019999504
1010,996025.0,-0.21000004
1016,996078.0,-0.28999996
1022,996131.0,-0.33000088
1028,996184.0,-0.3000002
1036,996237.0,-0.3000002
1042,996290.0,-0.49000072
1046,996343.0,-0.2800007
1054,996396.0,2.0499992
1060,996449.0,7.12
1066,996502.0,10.669999
1074,996555.0,9.679999
1078,996608.0,7.3100004
1084,996661.0,5.5299997
1092,996714.0,1.75
1098,996767.0,-5.1400003
1106,996820.0,-11.900001
1110,996873.0,-10.1
1118,996926.0,-8.22
1124,996979.0,-7.7200003
1132,997032.0,-9.02
1136,997085.0,-9.06
1142,997138.0,-9.51
1150,997191.0,-9.700001
1154,997244.0,-7.7300005
1160,997297.0,0.39999962
1168,997350.0,5.9299994
1176,997403.0,7.54
1182,997456.0,7.329999
1188,997510.0,6.829999
1192,997563.0,7.5999994
1200,997616.0,6.8999987
1206,997669.0,4.8099995
1214,997722.0,3.0599995
1220,997775.0,1.7399998
1224,997828.0,1.21
1230,997881.0,-0.25
1238,997934.0,-2.3500004
1244,997987.0,-4.1600003
1252,998040.0,-5.3
1262,998093.0,-5.84
1264,998146.0,-4.9600005
1270,998199.0,-2.7000003
1276,998252.0,-0.22000027
1282,998305.0,0.9399996
1294,998358.0,0.059999466
1296,998411.0,-0.2300005
1302,998464.0,0.23999977
1308,998517.0,-0.06000042
1316,998570.0,-0.010000229
1320,998623.0,-0.03999996
1326,998676.0,-0.010000229
