i,time,ax
405,41967.0,10.19
410,42070.0,10.15
415,42173.0,10.17
420,42276.0,10.1
425,42379.0,10.2
430,42482.0,10.2
435,42585.0,10.17
440,42688.0,10.1
445,42791.0,10.15
450,42894.0,10.05
455,42997.0,9.88
460,43100.0,9.3
465,43203.0,8.04
470,43306.0,8.98
480,43409.0,21.15
485,43512.0,22.69
490,43615.0,3.24
495,43718.0,0.27
500,43821.0,1.59
505,43924.0,2.29
510,44027.0,20.67
515,44130.0,19.59
520,44233.0,9.07
525,44336.0,7.32
530,44439.0,9.5
535,44542.0,11.38
540,44645.0,10.93
545,44748.0,9.77
550,44851.0,9.5
555,44954.0,10.22
560,45057.0,10.32
565,45160.0,10.22
570,45263.0,9.98
575,45366.0,9.71
580,45469.0,8.67
585,45572.0,7.36
590,45675.0,17.62
595,45778.0,21.3
600,45881.0,7.04
605,45984.0,-0.4
610,46087.0,2.26
615,46190.0,6.36
620,46293.0,20.09
625,46396.0,15.46
630,46499.0,6.89
635,46602.0,7.57
640,46705.0,10.7
645,46808.0,11.29
650,46911.0,10.31
660,47014.0,10.17
665,47117.0,9.63
670,47220.0,9.89
675,47323.0,10.34
680,47426.0,10.47
685,47529.0,9.52
690,47632.0,9.56
695,47735.0,10.25
700,47838.0,9.61
705,47941.0,10.14
710,48044.0,10.7
715,48147.0,9.34
720,48250.0,8.4
725,48353.0,7.24
730,48456.0,16.34
735,48559.0,20.63
740,48662.0,10.0
745,48765.0,-0.93
750,48868.0,-0.08
755,48971.0,3.56
760,49074.0,17.66
765,49177.0,17.83
770,49280.0,9.31
775,49383.0,8.01
785,49486.0,9.05
790,49589.0,10.64
795,49692.0,10.46
805,49795.0,9.69
815,49898.0,10.22
820,50001.0,10.05
830,50104.0,9.75
835,50207.0,10.07
840,50310.0,10.02
845,50413.0,9.78
850,50516.0,9.96
855,50619.0,9.85
860,50722.0,10.13
865,50825.0,9.87
870,50928.0,10.08
875,51031.0,10.05
880,51134.0,10.08
885,51237.0,9.98
890,51340.0,10.07
895,51443.0,9.98
900,51546.0,10.11
905,51649.0,10.02
910,51752.0,10.07
915,51855.0,10.0
920,51958.0,10.08
925,52061.0,10.05
930,52164.0,10.07
940,52267.0,10.06
945,52370.0,9.95
955,52473.0,10.15
960,52576.0,10.04
965,52679.0,10.12
970,52782.0,10.17
975,52885.0,10.07
980,52988.0,10.06
985,53091.0,10.12
990,53194.0,10.02
995,53297.0,10.04
1000,53400.0,10.08
1005,53503.0,10.04
1010,57932.0,9.93
1015,58035.0,10.01
1020,58138.0,9.91
1025,58241.0,9.95
1030,58344.0,9.93
1035,58447.0,9.89
1040,58550.0,9.96
1045,58653.0,9.84
1050,58756.0,9.67
1055,58859.0,8.44
1060,58962.0,7.14
1065,59065.0,10.51
1070,59168.0,25.88
1075,59271.0,15.72
1080,59374.0,-3.07
1085,59477.0,-0.24
1090,59580.0,0.29
1095,59683.0,6.02
1100,59786.0,21.47
1105,59889.0,20.02
1110,59992.0,5.43
1120,60095.0,5.55
1125,60198.0,9.58
1130,60301.0,10.2
1140,60404.0,10.01
1145,60507.0,9.92
1150,60610.0,9.95
1155,60713.0,9.99
1160,60816.0,9.79
1165,60919.0,9.88
1170,61022.0,9.94
1175,61125.0,10.04
