i,time,ax
415,157341.0,-2.81
420,157444.0,-2.78
425,157547.0,-2.78
430,157650.0,-2.8
435,157753.0,-2.8
440,157856.0,-2.79
445,157959.0,-2.82
450,158062.0,-2.8
455,158165.0,-2.77
460,158268.0,-2.72
465,158371.0,-3.66
470,158474.0,-3.09
480,158577.0,-2.66
490,158680.0,-2.69
495,158783.0,-3.38
500,158886.0,-2.31
510,158989.0,-8.26
520,159092.0,-8.51
525,159195.0,-7.99
530,159298.0,0.47
535,159401.0,1.33
540,159504.0,5.7
545,159607.0,6.84
550,159710.0,12.07
555,159813.0,12.08
560,159916.0,-1.65
565,160019.0,-3.47
570,160122.0,-0.48
580,160225.0,17.25
590,160328.0,8.49
600,160431.0,7.16
605,160534.0,7.04
610,160637.0,7.92
615,160740.0,7.07
620,160843.0,7.16
625,160946.0,8.69
630,161049.0,7.64
635,161152.0,7.24
640,161255.0,6.73
645,161358.0,5.06
650,161461.0,18.9
655,161564.0,-2.13
660,161667.0,-5.63
665,161770.0,19.12
670,161873.0,-11.06
675,161976.0,5.46
680,162079.0,-0.29
685,162182.0,-6.25
690,162285.0,5.47
695,162388.0,2.84
700,162491.0,8.65
705,162594.0,1.87
715,162697.0,6.56
720,162800.0,4.6
725,162903.0,6.89
730,163006.0,4.58
735,163109.0,-12.35
740,163212.0,-12.45
745,163315.0,6.91
750,163418.0,7.28
755,163521.0,6.99
760,163624.0,6.24
765,163727.0,6.79
770,163830.0,6.71
775,163933.0,4.98
780,164036.0,9.43
785,164139.0,13.48
790,164242.0,-8.79
795,164345.0,-3.55
800,164448.0,0.54
805,164551.0,11.04
810,164654.0,10.75
815,164757.0,7.86
820,164860.0,7.04
825,164963.0,7.61
830,165066.0,7.93
835,165169.0,7.69
840,165272.0,7.7
845,165375.0,7.72
850,165478.0,7.32
855,165581.0,8.35
860,165684.0,5.21
865,165787.0,-3.4
870,165890.0,16.47
875,165993.0,5.39
880,166096.0,-8.83
890,166199.0,19.9
895,166302.0,-0.86
900,166405.0,-0.51
905,166508.0,9.94
910,166611.0,-13.68
920,166714.0,23.77
930,166817.0,-2.0
935,166920.0,-7.76
940,167023.0,11.6
950,167126.0,8.28
960,167229.0,6.31
965,167332.0,6.01
975,167435.0,4.76
980,167538.0,18.53
985,167641.0,-14.44
990,167744.0,-3.15
995,167847.0,13.64
1000,167950.0,11.36
1010,168053.0,10.45
1015,168156.0,9.63
1020,168259.0,9.28
1025,168362.0,9.19
1030,168465.0,8.96
1035,168568.0,8.78
1040,168671.0,7.95
1045,168774.0,8.34
1050,168877.0,8.33
1055,168980.0,8.34
1060,169083.0,7.63
1065,169186.0,7.87
1070,169289.0,8.37
1075,169392.0,7.76
1080,169495.0,7.97
1085,169598.0,7.67
1090,169701.0,7.99
1095,169804.0,8.16
1100,169907.0,7.81
1105,170010.0,7.91
1110,170113.0,7.86
